,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0318133129593719,0,0,0,0.0448788822109274,0.0576621140615057,0.105402574680251,0,0,0.0509405249327991
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0.172268815292841,0,0,0,0,0,0.0445733305561941,0.0962383927096336,0,0
X939.HK.Equity,0,0,0,0,0.154277834951304,0.21056418921258,0,0,0,0.0370926647917426,0,0,0,0
X2628.HK.Equity,0,-0.0591091049227947,0,0,0,0.529738515659782,0,0,0,0.320375777610761,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.Equity,0,0,0,0,0.0352343823765338,0.0228083325985228,0,0,0,0.0275947539381325,0.0415588825237809,0,0,0.0273304744914679
X2388.HK.Equity,0,-0.0321310773681769,0,0,0,0.151573764357589,0,0,0,0,0.143781816049867,0.116304677471575,0,0
X2318.HK.Equity,0,0,0,0,0.512875859304929,0,0,0,0,0,0.141289020626223,0,0,0.0748640268657993
X2882.TT.Equity,0.230148170216993,0.0290788413478714,0,0,0,0.291175553113529,0,0,0.264344462444847,0.141361367308124,0,0,0,0
X600036.CH.Equity,0,0,0.213324863988465,0,-0.11354498885014,0,0,0,0.267523848846409,0.174842006116773,-0.124023456909566,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.049925567423,0,0,0,0.290030136661182,0,0,0,0.244762872948795,0.0870427074526961,0.0939041162277482,0,0
