,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.463235151846107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777108455620686,0,0,0,-0.0134640976551445,0,0,0.114165335256143,0,0,0.00186302314659788,0,0.0515822522096443,0
X1398.HK.EQUITY,0,0,0.185272574552606,0.513231035751385,0,0,0,0,0,0,0,0,0,0,0.0370833944962012,0,0,0,0,0,0.0119904322351838,0,0,0.00646187839353671,0,0,-1.73472347597681e-18,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.176665974688534,0,0,0,0,0,0,0,0.0853279896770335,0,0.24113516121655,0,0,0,0,0,0.0589305303033374,0,0,0,0,0,0.00747208979698549,0,0,0
X939.HK.EQUITY,0,0.719451847219128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270315866540282,0,0,0.0784728833081207,0,-0.0315737801856901,0,0.0805127589506051,0,0,0,0.00999188431073203,0,0.028142104794334,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.140952934152616,0,0,0,0,0,0,0,0,0,0,0.306500643260798,0.0405747264411599,0.293940257571786,0,0,-0.0389523123695516,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.511713424931708,0,0,0,0,0,0,0,0.0771243848672154,0.0365364607113568,0,0,0,0,0,0,0,0,0,0,0,0.0489493492152955,0,0,0.00948786415261184,0
X601288.CH.EQUITY,0,0,0.321529865051152,0,0.0465806169722247,0,0,0,0,0,0,0,0,0,0.0486601310853658,0,0,0,0,0,0.0201503734137221,0,0,0.136702931132028,0,0,0,-0.0186183715799489,-0.028669524892653,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0664207835729221,0,0,0,0,0,0,-0.110233399653027,0,0.1098394209015,0.0467002310573636,-0.184012138149978,0,0.0762423937248914,-0.0726478314614791,0.189249469367218,0.378867025552178,0,0,0,0.0100843750235726,0,0.00387894044640243,-0.09186103802718
X601988.CH.EQUITY,0,0.00203953337207037,0.133654887309785,0,0,0,0,0,0,0,0,0,0.134959476574344,0,0,0,0,0,0,0.110755776408014,0.0467258344036,0,0,0,0,0,0.0119118148119872,0,0,0
X3988.HK.EQUITY,0,0,0,0.372510963401272,0,0,0,0,0,0,0,0,0,0.0871505721490788,0,0,0,0,0,0,-0.0129420298876819,0,0,0.105991328193827,0,0,-0.0147881401689912,0,0.0512100640165459,0
X600036.CH.EQUITY,0,0,0,0,0.0775810842181771,0,0,0,0,0,0,0,0,0,0.175766589155994,0,0.0400373033882862,0,0,0,0.0966597419300122,0.0632851933211189,0,0.46925577904446,0,0,-8.67361737988404e-19,0,0.0334032747199478,0
X1299.HK.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0684523950139671,0,0.140035233809135,0.171345134822578,0,0,0.313565009191959,0,0,0,0.0164707988690671,0,0,-0.189601358509463
X601628.CH.EQUITY,0,0,0,-0.171428442353995,0.19709907628917,0,0,0.106351047796912,0,0,0.051715336392397,0,0,0.0563029799255314,0,0,0.299377583163126,0,-0.192209185738399,0,0.181290605810137,0.0518850077891569,0,0.460333332445966,0,0,-0.0178976747213502,0.173367210487661,0,0
X2628.HK.EQUITY,0,0,0,0,0.248376225552182,0.135689640337935,0,0,0,0,0,0,0.142102259745626,0,0,0,0,0,0,0,-0.0496628864087202,0,0,0.159680466796955,0,0,0,0.135364652052641,0,0
X601328.CH.EQUITY,0,0,0.313353947757262,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258078568175817,0,0,0.0924461589391073,0,0.0853644497066057,0,0.0351616594605794,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0.431802064547759,0,0,0,0,0,0,0,0,0.0910611824463654,0.0910237028210119,0,0,0,0,0,0,-0.0337668835383994,0,0,0,0.0999146835477082,0,0.000345929925052201,0,-0.0144918504109129,0
X601166.CH.EQUITY,0,0,0.216611806773719,0,0,0,0,0,0,0,0.385848908686057,0,0.115469947029503,0,0,0,0,0,0,0.237980045133115,0.0360693366675036,0.014800889268061,0,0,0,0,0.00683872822970356,0,0,0
X16.HK.EQUITY,0,0,0,0,0.0403626278653701,0,0,0,0,0,0,0,-0.0593329100417183,0.129493071084396,0,0,8.67361737988404e-19,0,0,0,-0.054715394593647,0,0,0,0.418819334521987,0,0.00856936441555202,0,-0.0841713080150172,0.0496189724635242
X11.HK.EQUITY,0,0,0,0,0,0.111255653713852,0,0.0614377951777408,0,0,0,0.0157232112437781,0,0,-0.0721975372494401,0,-0.0203614573185675,0.0627614181891957,0,0,-0.00463540086604103,0,0,0.0626644207932823,0.735988140660088,0,-0.0107827931873278,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250338934681086,0,0.086379468531525,0,0,0,0.14864739538679,0,0,0,0,0,0.141887271049311,0.139010832631576,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.776503052189794,0,0,0,0,0,0,-0.637289297991641,0,0,0.177843217546825,0,0,0,0,0.995175715652183,0,1.35760118995961,0,0,0,0,0.028203720332598,0,0,0.684743510342139
