,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.242866706549633,0,0,0,0,0,0,0,0.0565206466665691,0,0,0,0.09550372669845,0,8.67361737988404e-19,0,0,0.0119826595603642,0.0778449897522573,0,0,0,-0.00285258293728652,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.0894008292217725,0.647854381003039,0,0,0,0,0,0,0,0,0,0,0,0.0406823828648816,0.0290971393634738,0.0435956642251065,0.0364412253148339,0,0,0,0,0.00736427105798907,0.00941765107829183,0,0,0
X601318.CH.EQUITY,0,0,0,0.279356883216714,0,0,0,0,0.00398687815113446,0,0,0,0.175202615730498,0,0,0,0.139001857322574,0,0.0326391074072495,0,0,0.148785788493551,0.15688676906015,0.0587736606544192,0,0,-0.0302309295977473,0,0,0
X2318.HK.EQUITY,0,0,0.472380414967424,0,0,0,0,0,0,0,0,0,0.0257018361916821,0.035458261290349,0.0226226611068181,0,0,0,-0.0147632317829361,0,0,0.138882430418545,0,0,0,0.0468017396989799,0,0,0,-0.0276098553910621
X601939.CH.EQUITY,0.278113995754737,0,0,0,0,0.0189595298394985,0.587014463246147,0,0,0.0103803412711074,0,0,0.0690337951601817,0,0,0,0.0301298278043808,0,0,0,0,0.0492140902612857,0,0,0,-0.0180053508151497,-6.51652885738488e-05,0,0.038602745330574,0
X939.HK.EQUITY,0,0.716691764966671,0,0,0,0,0,0,0,-0.0398585302558734,0,0,0,0,0.0191931008557629,0,0.0565426732341118,0,-0.0525800157044505,0,0,0,0,0.0703493023793039,0.0210018033202354,0,0.011508018820472,0,0.00543617190835379,0
X601288.CH.EQUITY,0,0,0,0,0.319114407032953,0,0,0,0,0,0,0,0.0313613580879485,0,0,0,0.101714423610581,0,0.000830274823568896,0,0,0.0455785757080626,0,0,0,0,-0.00470088537597675,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.121830273440379,0,0.0444605973237306,0.155578666471001,0,0,0.0203362596477101,0,0,0,0,0.041632637729826,0,0,0,0.0114684713948221,0.0423905319704744,0,0
X3988.HK.EQUITY,0,0,0,0.156138213942029,0,0.295256099264574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733592509826076,0,0,-0.0110206923449917,0.171620650729585,0,0
X601988.CH.EQUITY,0,0.196722085798756,0,0,0.0316043762604952,0,0,0,0,0,0,0.28594196082764,0.111774489515105,0,0,0,0,0,0.00911064408907144,0,0,0.0424455515685382,0,0,0,0,0.0196966637896187,0,0.122116846474202,0
