,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0546607309108979,0,0,0.260282044739622,0,0,0,0,0,0,0,0,0,0,0.116670445179404,0,0,0,0,0,0.115747331214909,0,0,0,-0.0018433214376676,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.610554336660127,0,0,0,0.0881114773722857,0,0,0,0.0630487637146604,0,0,0,0.0152676595993157,0.0412702082566352,0,0.0673131789661951,0,-0.0445416656814529,-0.0332450175706281,0,0,0.00155002097931491,0.00909889511413691,0.00659138025686371,0.0128851496668134,0
X2318.HK.EQUITY,0,0,0,0.4683434130405,0,0,0,0,0,0,0,0,0.105267645882811,1.73472347597681e-18,0.0248087381169265,0,0,0,0,0,0,0.102247262142849,0,0,0,0.049325796296083,0,0,0,-0.0393437966715984
X601318.CH.EQUITY,0,0,0.292003232820292,0,0,0,0,0,0,0,0,0,0.00999438892040414,0.200453866632046,0,0,0.0878166053333179,0,0,0,0,0.163527528810612,0.155738834442632,0,0.035221182606933,0,-0.0296968173451692,0,0,0
X939.HK.EQUITY,0,0.68696247769482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250009547049563,0,0,-0.0477407040518127,0,0,0,0.0302742250958313,0.092816694476541,0,0.00839520704012274,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0503140435791844,0,0.455970028647698,0,0,0,0,0,0,0,0,0,0.29300281331227,0,0,0.0551655940361828,0,0.0633664336149253,0,0,0,-0.0123336271559297,0,0,0.0439868026782455,0
X601288.CH.EQUITY,0,0,0,0,0,0.328098320965714,0,0,0,0,0,0,0,0.0220785018309799,0,0,0.0745597452172816,0,0,0,0,0.0556492969959721,0,0,0,0,-0.00976314417334579,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0675820504196459,0.00493485308072437,0,0.200561384078221,0,0,0.0380028156838463,0,0,0,0,0,0.222406941236555,0,0,0.0092486621250905,0.040096389272586,0,0
X3988.HK.EQUITY,0,0,0.143167765014255,0,0.2778998334263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997409929996332,0,-0.0111497982269494,0.178798350310263,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.296166826235409,0,0.149619912791257,0,0,0,0,0,0.0685638177330061,0,0.0416920649295204,0,0.0132393810959804,0,0,0.0151896794362144,0,0.0633553941961312,-0.0329273587149553
