,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.278439591508714,0,0,0,0,0,0.130912253906299,0,0,0,0,0,0.0705455772348778,0,0,0.0308026139939244,0,0.023222673584955,0.1141455417273,0,0,0,-0.00755480965316478,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.0258053550173356,0.449365616938931,0,0,0,0,0,0,0,0.00953836280588637,0.0490024895180362,0,0,0,0,0,0,0,0,0.0733751607495481,0,0,0.0104303414008749,0.104098039763983,0,0
X2318.HK.EQUITY,0,0,0,0.470170839915729,0,0,0,0,0,0,0,0,0,0.0683228585925185,0,0.0304561794359691,0,-0.0187907841092311,0,0,0,0.106095723248724,0,0,0,0.142406938317935,0,0,0,-0.0631917245299859
X601318.CH.EQUITY,0,0,0.269906643342819,0,0,0,0,0,0.042794034444369,0,0,0,0.318824177181354,0.10600604020761,0,0,0,0,0,0,0,0.130831661944744,0.0381697872952504,0,0,0,-0.0202832613709229,0,0,0
X601939.CH.EQUITY,0,0,0,0.00672034750746696,0,0,0,0,0,0,0.321149926990669,0,0.0707786051492372,0,0,0,0,0.0280276686241933,0,0,0,0.153662935780396,0,0,0,0,0,0,0.0842678729697506,0
X939.HK.EQUITY,0,0.712365553244512,0,0,0,0,0,0,0,-0.0205920225644644,0,0.0193392872543753,0,0,0,0.0636214894304843,0.0542354321678445,-0.0626189768108707,0,0.0239043031614698,0,0,0,0.0297171094457498,0.0183593845911028,0,0.0110079872255096,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.138555043026415,0.0963356005426348,0,0,0,0.301632864538683,0,0,0.0461669412555093,0,0.0279114408670957,0,0,0,0,0.00947500742282851,0,0.0746750117059422,0
X5.HK.EQUITY,0,0,0,0.0364345751502385,0,0,0,0,0,0.0450108447514445,0,0.0572864805496627,0,0.04138207019569,0,0.15716317539561,0.0648283924617792,0,0,0,0,0,0,0,0,0,0.00596566170307937,0,0,0
X3988.HK.EQUITY,-0.164136023590415,0,0,0,0,0.430649459505309,-0.129325279955123,0,0,0,0,0,0,0,0,0,0,-0.0314502125823971,0,0.00312007445595977,0,0.0731877932308274,0.16026773185099,-6.93889390390723e-18,0,0,-0.0116449268259609,0.177470884173827,0,0.0856048235581389
X601988.CH.EQUITY,0,0,0,0.0870085974550777,0.0742556874243722,0,0,0,0,0,0,0,0.0806704457079267,0,0,0,0.010488110218055,0,0,0,0,0.0164773575488772,0,0.181039810507258,0,0,0.0188250674917749,0,0.0789692479525986,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.408596258560167,0,0.0400450529910428,0.0533295977281299,0,0.145423247779167,-0.076849928504431,0,0.257163322345893,0,0,0,0.0349189086366064,0,0.135342135893092,0
X1299.HK.EQUITY,0,0,0.206834920482809,0.0542110255150244,0,0,0,0.100419176600839,0,0,0,0,0,0,0,0,0,-0.0571510067453571,0,0.0580300693717738,0.245012435983782,0,0,0.215656155853717,0,0,0.0287269809241401,0,0,-0.258769514290519
X601628.CH.EQUITY,0,0,0,-1.38777878078145e-17,0.0597669532324817,0,0.0514034565503143,0,0,0,0.0876673901296912,0,0,0,0.330759904674687,0,0,0.25603478258314,0,0,0,0,0.597982826221838,0,0,-0.111328149427655,-0.0455317644834451,0.158544701899061,0,0
X2628.HK.EQUITY,0,0,0.432832917183778,0.0741812245143732,0,0,0,0,0,0,0,0,0.189754133519585,0,0,0.0222385892253898,0,0,0,0,0,0.0628359824320828,0,0.0657362557812024,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0485923244555066,0,0,0,0,0,0.254048606474291,0,0.088097635394739,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00069660032444265,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.247024833160836,0,0,0,0,0,0.156615489913043,0.0672515986944025,0.0906521978445892,0,0,0,0,0,0,0,0,0,0.0294275546791058,0.0699581304822477,0,0.00181354795271134,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.222795292214794,0,0,0,0,0,0.0910188103055222,0,0,0,0,-0.0158363728406537,0.474201297692926,0,0,0.0110465559480547,0,0,0,-0.139399908576998,-0.0214745962082791,0,0,0
X601319.CH.EQUITY,0,0.558682512627931,-0.594078167241556,0,0,0,0,-0.198619386561024,-0.675657612991735,0,0,0,0,0.296769472134908,0,-0.218544917929013,0,0,0,0,0,0.862048885765769,0.3500914294998,0,0,0,-0.00830580538397787,0.153571318597345,0,0.402287354064779
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.122709611430047,3.46944695195361e-18,0.0197782430161582,0,0,0,0.650017139071397,-0.0440642139300262,0,0,0,0,0,0,0,0,-0.00679758075340581,0,-0.0515872801117651,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.612835862530546,0,0,0,0,0,0,-0.0699020117006622,0,0,0.0401627921332445,0,0,0,0.0466136547309122,0.0326767047231778,0.0390243486530742,0,0.112461128218986
X11.HK.EQUITY,0,0,0.145815001142532,0,0.341591182152515,0,0,0,0,0,0,0,0,0,0,0,0,0.0407698893926954,0,0.0751818883339581,0,0.0896463795988003,0,0.00867266254757437,0,0,0,0.0234957401319459,0,0
X000002.CH.EQUITY,0,0,0,0.251305216292169,0.044840694456604,0,0,0,0,0,0,0,0,0,0,0,0,0.21480386221129,0,0.610713562828585,0,0,0,0,0,-0.237330885505075,-0.00799570556857663,0,0.106088914304273,0
