,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.11816101701221,-0.217621811727184,0.243044478252423,0,0,0,0,0,0.60204667646827,0.00699807617151909,0,0,0,0,0.544628291786973,0,0,-0.171276119536326,-0.0876652723131677,0.188613394902836,0,-0.000791409453260539,0,0,0,0.00350677019949687,0,-0.0301473829442148,0
X601398.CH.EQUITY,0.0686520649971434,0,0,0,0,0,0,-0.0419981771070354,0,0,0.00374656932165088,0,0,0,0,0,0,0,0.286790449805914,0,0,-0.0262091592742398,-0.153049525539578,0,0,0,-0.00516590074783467,0,0.193382929813377,0
X2318.HK.EQUITY,0,0,0,0.227757157736901,0,0,0,0,0,0,0,0.042226319519269,0,0,0.0493155885341041,0,0,0,0,0.0590682557571637,0,0,0,0,0.320108762531634,0.206919965537158,0.038669267653961,0,0,0
X601318.CH.EQUITY,0,0,0.132838044775995,0,0,0,0,0,0,0,0,0.0650736528552149,0,0.171525982863751,0.012941422066815,0,0,0.160746057955287,-6.93889390390723e-18,0.149536417612572,0,0,-0.0233920433014565,0,0,0,0.00882528319982672,0,0.0304667557422399,0
X601939.CH.EQUITY,0,-8.67361737988404e-19,0,0,0,0,0,0,0.524362587872591,0,0.204713797060302,0,0.00417979401155543,0.0416790005350757,0,0,0,0,0,-0.026809298439021,0.0306052073385784,0,0.0338338819929632,0,0,0,0.00868445129756558,0,0,0
X939.HK.EQUITY,0,0.0328976610945798,0,0,0,0,0,0,0,0,0,0,0.19096521867138,0,0,0,0,0,0.0670780122819726,0,0.0580885205239616,0,0.105714037210894,0,0.0835741930170041,0,0.00802940768768225,0,0.0902388560588014,0
X601288.CH.EQUITY,0,0,-0.267705186775399,0,0,0,0,0,0,0,0,-0.103385172644491,0,0.0281509359194564,0.0133134538837804,0,0.289277105360121,0,0.164866109189558,0,0,0,0,0,0,0,0,0,0.151617965864464,0
X5.HK.EQUITY,0,0,0,-0.194368428833174,0,0,0,0,0,0,0,0.178810743036651,0,0,0,0,0,0,0.120101640802949,0,0,0.358042971504298,-0.0212418621516692,0,0.111511654727103,0,0.0113865377429501,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0381878673686915,0,0.0749483060501061,0,0,0,0.0469024498123166,0.166770311030163,0.0121201093942769,0,0.079905513273994,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.0313167775017775,0,0,0,0,0.247910713796676,0,0,0,0,0,0.0782796808811498,0.0762694598861844,0,0,0,0,0,0,0,0.033612173518149,0.119320927961357,0,0,0.0520214184094983,-0.00896535790683139,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.577528270398549,0,0,0,0.0272593826969728,0,0,0,0,0,-0.000415715526031557,0,0.315936208603041,0,0,0,-0.146948046736445,0,0.079902913952467,0.195048056306866,0.0137367398689493,0,0,0.0176742422327194,0,0,0
X1299.HK.EQUITY,0.0591874140670786,0,0,0,0,0,0,0,0,0,0,0,0,0.211489051699103,0,0,0,0,0,0.014876333856266,0,0,0.46505651973992,0,0.119439320421524,0,0.00106452480283932,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517064265224778,0,0,0.259387251392461,0,0.0945767228442475,0,0.133767319171062,0,0.0643387728531289,0,-0.0101321045994465,0.00548438724359113,0,0.0699062710686829
X601628.CH.EQUITY,0,0,0,0.390287256395784,0,0,0,0,0,0,0,0.00269310209962427,0,0,0,0,0.240578521350105,0,0.0798827462149437,0.170425092895429,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.0205056511730372,0,1.38777878078145e-17,0,0.186414989624537,0,0,0,0,0,0,0,0,0,0.21821648502437,0.0107608331164121,0,0.112925990089589,0,0,0.0682580933075714,0,0,0,0,-0.00248463829591536,0,0,0
X3328.HK.EQUITY,1.02663231158872,0,0,0,0,-0.075364067312492,0,0,0,0,0.237537950387204,0,0,0,0,0,0.0603927705900716,0,0,0.111145381239788,0,0,0,-0.194900321238051,0,0,-0.0207174507852922,0,0.0639633549618152,3.46944695195361e-18
X601166.CH.EQUITY,0,0,0,0,0,0,0.250083961180122,0,0,0,0,0,0,0.187735154639051,0,0,0,0,0,0.380923867683718,0,0,0,0,-0.165201419184402,0,-0.0089725926249574,0,0,0
X600000.CH.EQUITY,0.157346712936303,0,0,0,0,0,0,0,0,0,0.0485818595700107,0,0,0,0,0,0.143920751530356,0,0.048652230956102,0.246580798617263,0,0,0.0780429629978263,0,0,0,-0.00579393643072753,0,0,0.0435696159537924
X601319.CH.EQUITY,0,0.0752022696712462,0,0.205926443443823,-0.0145077668078037,0,0,0,0,0,0,0,0.220554849701875,-3.46944695195361e-18,0,0,0.0550263111572936,0.0895905264884808,0,0.468148597773807,0,0,-0.107943518676204,0.191573035734975,0,0,-0.0214076146042469,0,-0.0342432623766838,0
