,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.46050747896483,0,0,0,0,0.176098120112434,0.0459104862198853,0.143305824856,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157819392412353,-0.0959462983644279,0
X601398.CH.EQUITY,0,0,0,0,0.0621379462143315,0.0711238910487067,0,0,0.112322080253131,0,0,0,0,0,0,0,0,0.199108245961661,0.00448928066311303,0.0639141466479847,0,0,0,0.00800288391487476,-0.0567525849606912,0,0.0062648094065239,0,0,0
X601318.CH.EQUITY,0,0,0,0.100954690344588,0,0,0,0,0,0,0.0912350721636663,0,0,0.129293081061389,0,0.00309665482666391,0,0,0.0587001610493046,0.116034946183834,0.148456449684254,0,0,0,0,0,0.00778493630479656,0,0.0670452691716547,0
X2318.HK.EQUITY,0,0,0.290215277985809,0,0,0.0144379828762708,0,0,0,0,0,0,0.000652424966278422,0,0,0.0257013560786793,0,0,0,0,0.0670847758458509,0.0654131006664784,0,0,0.286452785055585,0,0,0.00841342255099321,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.204992461452331,0,0,0,0,0,0,0.0459685367373908,0,0.0455304841580244,0.156444999815528,0,0.0548197290740081,0,0.00602284274495549,0,0.0212740574649755,0
X601939.CH.EQUITY,0,0.260206409656331,0,0,0,0,0,0,0,0,0,0.0371945417911972,0.0332533203578107,0.105228295181797,0,0,0,0.0630315835846054,0,0,0,0,0,0,0,0,0.00711102938574717,0.030417498311006,0.0698477563521998,0
X601288.CH.EQUITY,0,0.0115669947042339,0,0,0,0,0,0,0.0777591374144324,0,0,-0.0169422229614359,0.0750452161148515,0,0,0,0,0.00608751771139718,0.173718102388291,0,0,0,0.00836098945473493,0,0,0,-0.000633002951998614,0.0427285849883695,0,0
X5.HK.EQUITY,0,0,-0.400693606007675,0,0,0,0,0,0,0,0.644692817393249,0,0,0.0692446114621793,0,0,0,0,0.156365389561291,-0.0183516607928028,0,0,0,0,-0.0957376879904847,-0.0986656790995535,0,0.165463385700922,0,0
X601988.CH.EQUITY,0,0.118139683644376,0,0,0,0,0,0,0,0,0,0,0.0154513620934404,0,0.0384101310539071,0,0,0.0470016312993931,0.151544494478931,0.0142675557468867,0,0,0.0831807225547323,0,0,0,0.00077683847928071,0,0,0
X3988.HK.EQUITY,0.140104219536757,0,0,0,0.322733377027331,0,0,0,0,0,0,0,0.104735706353085,0,0,0,0,0.065736793990544,0,0,0,0.0411088610642214,0.0613214610889905,0,0,0,-0.00165497495904953,0.00370641780655189,0,0
X600036.CH.EQUITY,0,0,0.600286382509425,0.174241510603205,0,0,0,0,0,0,0,-0.0714155746512204,0,-0.176384267261184,0,0,0,0.36534368189468,-0.136860020098172,0,0,0,0.0783898485754373,0,0,0,0.0143244093854918,0,-0.018107846265209,0.192642224930463
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0131223474136725,0,0,0.0581604056426568,0,0,0.37009710723305,0,0,-0.116120776880749,0.141936681944571,0,0.125223242489636,0.25836693475657,0.0475860389766014,0,0.0153247255648177,0,0.165887701875864,-0.0301415542014303
X2628.HK.EQUITY,0,0,0,0,0.122655496649086,0,0,0,0,0,0,0,0,0.0550972651664787,0,0,0.233030769507638,0,0.361429122412968,0,0,0,0,0.34317520817578,0.0658184578789409,0,-0.00974270230357273,0.0230126957159119,0,0
X601628.CH.EQUITY,0,0,0.273992953545818,0,0,0,0,0.181595812112253,0,0,0,0.0179718339792617,0,0,0,0,0,0,0.216526550035666,0.162440334953722,0.106961630482975,0,0,0,0,0,0.00661985082374736,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0560975529028448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068402718149908,0.49065736277151,0,0,0,-0.0992850433639461,0,-0.0102500279444815,0.0416245795380146,0,0.0614641527009553
X601328.CH.EQUITY,0,0.143745484721905,0,0,0.184875400449976,0,0,0.0541874993153361,0,0,0,0,0,0,0.0250600851313686,0,0,0.0904143474672783,0.0378781595473059,0.0635865703402116,0,0,0,0,0,0,0.0091766202752021,0,0.146603974270888,0
X3328.HK.EQUITY,0,0,0,0.339084301261816,0.0755552818263999,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0303110994993524,0.084156249530265,0,0,0,0,0.0612540336172792,0.0151546029154088,0,0,0.102280508909616,0.0155272432260052,0,9.43521900173625e-05,0.152443829343446,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250810641363834,0,0,0,0.266982978880513,0,0,0,0.0973827133717338,0,0.0122117775891457,0.145757460269367,0.0086834136640569,0,0,0,-0.000966114090689663,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0369096342552282,0.189641764175618,0.262265993959128,0.155498530129339,0,0,0,0,0,0.27237131800346,0,0,0,0.206947685531197,0,-0.0132345773135141,-0.0529170115871928,0,0
X000001.CH.EQUITY,0,0,0.366535580967838,0,0,0.0544872645758577,0,0,0,0,0,0,0.195611024701641,0,0.488387520172374,0,0,0,0,0,0,0,0,0,0,0,0.0167624562615684,-0.0329786470447145,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0367126294919901,0,0.0813399060684023,0,0,0.138657799958137,0,0,0.291043236643981,0,0.305500241109591,0,0,0,0,-0.0301564805652851,0,0,0.24966297016951
X000002.CH.EQUITY,0,0,0,0,0,-0.257808516570722,0,0.252835555814416,0,0,0,0,0,0,0,0,-0.041958059743604,0,0,0.328249519726446,0.45447189688877,0,-0.262657060662973,-0.0242753273531843,0,0,-0.0255698671408853,0.112808565170825,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.18934249059613,0,0,0,0.0806998054560025,0,0.276025873793155,0,-0.169387306587756,0,0,0,0.443236393028105,0,0,-0.0277181859934643,0.116498859437545,0,0
X11.HK.EQUITY,0,0.209670591925143,0,0,0,0,0,0.724398661478398,0,0,-0.480763293609497,0.499400777961625,0,0,0,0,0,0,0,0,-0.0249099636266971,0,0.0670221159926119,0,0,-0.0914812820821826,0,0,0,0
X388.HK.EQUITY,0,0,-0.102945476617163,0,0,0,0,0,0,0,0,0.686810893387197,0,-0.0454483290946308,0,0,0.158516806355523,0,-0.0568612460433272,0,0.257289435474656,-0.165835045838005,0,0,0,0,0.00540930594377076,0,0,0
FXI.US.EQUITY,0.0866116209227666,0,1.38777878078145e-17,0,0.152978651124226,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435828877547726,0,0,0.121621661539361,0.187560172666842,-0.0911636745948732,0,0,0,-0.1842457294465,0,0.0107611838146891,0
VXFXI.INDEX,0,0,0,0,2.05818108026441,0,0,0,0,0,-0.290719959550126,0,0,0,0,0,0,-0.53158764319859,0,0,0,1.41039385831577,-0.145553633773114,0,0,-5.22937870674224,0,0,0,-0.374664407297747
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,6.20161581613775e-06,0,0,0,0,0,3.08682146708269e-06,0,0,0,-5.42101086242752e-20,0,0,0,-9.65513617400778e-07,0,0.999996119535779,0.99998050820531
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.20985387932752e-06,0,0,0,1.35525271560688e-20,6.83776423578792e-06,0,0,0,0.999876357466801,0,-0.999810569114283
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,1.8570571085171e-06,0,0,0,0,0,0,0,8.66960271466382e-06,0,0,0,1.81714729283933e-06,0,3.24391103458542e-06,0,0,0.999964306895753,-0.999950684816514,0
