,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0571294497630942,0.0740909180814684,0,0,0,0.150469347145446,0,0,0,0,0,0,0,0.146918175674116,0.0033556018637403,0.0996950530488927,0,0,0,0.0218286663659,-0.0574606721131221,0,0.00951808666772435,-6.7762635780344e-21,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.376772617851838,0,0,0.292129957091751,0,0.118328555206739,0.130166016164231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00822872807808931,-0.0410600192765957,-0.00827972258966189,0
X601318.CH.EQUITY,0,0,0,0.146542196862406,0,0,0,0,0,0,0.0565160600809479,0,0.103868233910164,0,0,0,0.0181499002451237,0,0.0954155243728324,0.109803361941143,0.143459534603829,0,0,0,0,0,0.0255536514313257,0.0143549347091614,0.0239847487076968,0
X2318.HK.EQUITY,0,0,0.337635386447198,0,0.00741791398685426,0,0,0,0,0,0,0.0845490111598017,0,0.00771735846985199,0,0,0.0153835907305311,0,0,0,0.0599134123690587,0,0,0,0.249035799286067,0,0,0.0083771831775797,0,0
X601939.CH.EQUITY,0.257968990684071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889634036848001,0,0.128913900936237,0,0,0,0,0,0,0.00841129079280419,0,6.93889390390723e-18,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0.186477084335293,0,0,0.037232999607709,0,0.10213809207953,0,0,0,0,0.0478189043798545,0.0251728259178847,0,0.0250935062374241,0.169833222674216,0,0.0333643890585733,0,0.00978257952784283,0,0.0269392857231772,0
X601288.CH.EQUITY,0.069789655570571,0,0,0,0,0.0770879168589384,0,0,0,0.0160297099862553,0,-0.03483133919751,0,0.0591087102592103,0,0,0,0,0.181188823051417,0,0,0,0.0175801487981233,0,0,0,-0.000248883897135244,0.0273786847669142,0,0
X5.HK.EQUITY,0,0,-0.431655061303644,0,0,0,0,0,0,0,0.577033553563013,0,0,0,0,0,0,0,0.248661283642398,0,0,0,0,0.0788327226998925,-0.106889818551199,-0.172968257681846,0.000659700180193114,0.156041464870572,0,0
X3988.HK.EQUITY,0,0.233779638272552,0,0,0,0.25432957931429,0,0,0,0,0,0,0,0.0129991962979429,0,0,0,0,0.00194300851190718,0.0057478146690626,0,0.124913564968767,0,0.00466569540207019,0.0773164751355672,0.0320811649425463,-0.00557415030724101,0,0,0
X601988.CH.EQUITY,0.184380543816079,0,0,0,0,0,0,0,0,0,0,0,0,0.00216921266569297,0.0389369096927841,0,0,0.0297559196222303,0.157286300492439,0,0,0,0.0784452856854887,0,0.0131012593138891,0,-0.000414982517618043,0,0,0
X600036.CH.EQUITY,0,0,0.441793905992965,0.0911039056913215,0,0,0,0,0,0,0,0,-0.107016334120491,0,0,0,0,0.514066878105584,-0.267478724872331,0,0,0,0.17609431807068,-0.0345666266653836,0,0,0.0364478938887231,0,-0.196860540018254,0.101946118332877
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398214488622568,0,0,0,-0.0802174488667175,0.113865598147871,0.0140439299559191,0.156231740272399,0.23227918281863,0.0687484234208496,0,0.0150299367406931,0,0.140904050245291,0
X601628.CH.EQUITY,0,0,0.272621495119062,0,0,0,0,0.18456106318917,0,0,0,0.0175889160292032,0,0,0,0,0,0,0.219884035016296,0.164669791598915,0.102910976713885,0,0,0,0,0,0.00705687453996759,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275831053601457,0,0,0.300999212950214,0,0,0,0.0836240185857644,0.302274235125485,0.0574645433097918,0,-0.00482414828478507,0.100058291542516,0,0
X601166.CH.EQUITY,0,0,0,0,0.0264809236462102,0,0,0,0,0,0,0,0.092700863860178,0,0,0,0,0,0,0.0754282655001011,0.374469241970766,0,0,0,-0.0836411706156143,0.0636677718768655,-0.0066116540147877,0.06799034198875,0,0.0595034346049114
X3328.HK.EQUITY,0,0.116615372568346,0,0.309003008306239,0,0,0,0,0,0,0,0,0,0,0.0782941402312352,0,0,0,0,0.0232120604286922,0.0281682778207073,0,0,0.0989508371710753,0.0290034754109499,0,0.000937635931929813,0.149563332278844,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.136080944333596,0,0,0,0,0,0,0,0,0,0,0,0.125096313093986,0.0834594147224008,0.139075160819568,0,0,0,0,4.33680868994202e-19,0,0,0,0.101812319627121,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.258883228006737,0,0,0,0.339695961682955,0,0,0,0.115151331308961,0,0.0162438840663651,0.0952752892000918,-8.67361737988404e-19,0,0,0,-0.0120004951636833,0,0,0
X601319.CH.EQUITY,0,0,0.156884425649085,0.249296943258146,0,0,0,0,0,0,0,0,0.264007713796414,0.124205362628707,0,0,0,0,0,0,0.27519935562535,0.0524918542497738,0,0,0.175222385984299,0,0.00672370057964365,-0.0692916373170931,0,0
X000001.CH.EQUITY,0,0,0.122608720338136,0,0.509842532058155,0,0,0,0,0,0,0,0,0,0.532009605579136,0,0,0,0,0,0.059258363981187,0,-0.106333356401609,0,0,0,-2.8647234245665e-05,0,-0.124088891667719,0.0638816885263768
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0367458674204817,0.0849496636791587,0,0,0.156094257803211,0,0,0,0.290991261404111,0,0.30849677485434,0,-0.0290560375888605,0,0,-0.0293302159845348,0,0,0.248873491151752
X000002.CH.EQUITY,0,0,0,0,-0.257806222242509,0,0,0.2528346758884,0,0,0,0,0,0,0,-0.0419511096500294,0,0,0,0.328256225217903,0.454475136714687,0,-0.262665958027935,-0.0242761719967433,0,0,-0.0255718770034764,0.112797395009683,0,0
X16.HK.EQUITY,0,0,0.196385658716374,0,0,0,0,0,0,0,1.38777878078145e-17,0.360291239665941,0,0,0,0,0.00992125500073974,0.376826240850035,0,-0.215316044060586,0,0,0,0.414437667352173,0,1.73472347597681e-18,-0.0288505661186974,0.141075204757982,0,0
X11.HK.EQUITY,0.109287838450633,-0.0379790084147682,0,0,0,0,0,0.647462217784653,0,0,-0.436211318170171,0.487549553622957,0,0,0,0,0,0,0,0,0,0.104078288641656,0.0746626987120216,0,0,-0.212357486234403,0,0.0567128588964654,0,0
X388.HK.EQUITY,0,0,-0.129813870137014,0,0,0,0,0,0,0,0,0.65722198822764,0,0,0,0.218663914856443,0,0,-0.116169925156757,0,0.251463568999973,-0.151517067953086,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991483533743711,0.189964784134143,0,0,0,0,-0.072780618904177,0,0.121436984355784,0,0,0,0,-0.103403473852346,0.0543177817640312,0,0.00311077287421065
VXFXI.INDEX,0,0.368262376656345,0,0,0,0,0,0,1.48926203364825,0,0,0,0,0.432711404940249,0,0,0,-0.0403172341314885,0,0,0,1.74968972189211,0,0,0,-6.88153946954725,0,0,0,-0.416597076968458
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87938999671335e-07,0,0,8.25756197954271e-06,0,0,0,0,0,0,0,-3.54639030908973e-07,0,1.00000033606168,0.999980241992599
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.25578548573293e-06,0,-7.16680314059192e-06,0,0,5.27588004854922e-06,0,0,-8.98590640761762e-07,0.999962952299584,0,-0.999943484113935
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,1.17835601541491e-06,0,0,0,0,0,0,0,9.16118587213074e-06,0,0,0,2.16006121212641e-06,0,2.05262748780167e-06,0,0,0.999967038680923,-0.99995333254132,0
