,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0558340429822105,0,-0.100371296530497,0.232286532058128,0,0,0,0,0,0,0,0,0,0,0,0,0.324731388446391,0,0.000311750898921724,0,-0.0386589161559244,0,0,-0.00960710608911209,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.326877756015019,0,0,0.262581669562647,0,0,0.162824879388183,0.015961944442185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302603907545107,0,-0.0940790528839859,0
X601318.CH.EQUITY,0,0,0,0.205439360672179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138960340205367,0.145897138951142,0.0461870523197588,0,0.162426871653191,0.0147612802378058,0,0,0,0.0368995520845154,0.0257530746609432,0.0742218416917731,0
X2318.HK.EQUITY,-0.188807296962027,0,0.478406114711293,0,0,0,0,0,0,0,0,0.0422875093013778,0,0,0,0,0.086626475908391,0,0,0,0,0,0,0,0.244679978790075,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108769219981825,0,0.139337793760012,0,0.114212311635578,0,0,0,0,0.00657058604027743,0,0,0
X939.HK.EQUITY,0,0,0,0.0150397518510725,0,0,0,0,0.14918416670424,0,0,0.194594327223171,0,0.040462029204285,0,0,0.165737535418154,0,0,0.0888253867298388,0,0,0.0442516473689199,0,0.0514607048933103,0,0.00294114409377619,0,0,0
X601288.CH.EQUITY,0.142264957073165,0.13116992306526,0,0,0,0,0,0,0,0,0,0,0.023921463682487,0,0,0,0,0,0.19147345751601,0,0,0,0,0,0,0,-0.00591647476731284,0,-0.0524672501461692,0.00922900067141314
X5.HK.EQUITY,0,0,-0.205723706890683,0,0,0,0,0,0,0,0.710766580811964,-0.0441778862651909,0,0,0,0,0,0,0.0384499097181751,-0.0478005819975833,0,-0.141735160577971,0.209220237739173,0.212356034442996,-0.0517881029429388,-0.0798255471172954,0,0,0,0
X3988.HK.EQUITY,0,0.273128917126203,0,0,0,0.179887428879095,0,0,0,0,0,0,-0.0218067053942492,0,0,0,0,0.0301441023490505,0,0.0334808619033601,0.054666943653237,0,0.0126365988046093,0,0,0.104750987599491,0.00409418048512727,0.0329804018129069,0.065740485763585,0
X601988.CH.EQUITY,0.0717515473606807,0,0,0,0,0.0062470144390634,0,0.0389414973730177,0,0,0,0,0,0.103903541314091,0.0848783200650454,0,0,0,0.0435226084532254,0,0.0503709931519852,0,0,0,0,0,-0.00459990896624687,0,0,0
X600036.CH.EQUITY,0,0,0.217945986233846,0.0916028903628895,0,0,0,0,0,0,0,0,0.0586512150359615,0,0,0,0,0.329374334425373,-0.0297383185547492,0.117943876608517,0.210760402756898,0,0.0346523121548502,0,0,0,0.0284031372971167,0,-0.129782911841165,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.128454520099008,0,0,0.100618403178797,0,0,0.271750902754263,0,0,-0.0195490097702878,0.018923101563952,0,0,0.313678825154062,0.103033288510051,0,0.0116544138616567,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0236146455717372,0,0.0500265997587663,0,0,0,0,0.0178349786768155,0,0.133425199326187,0.3454696712445,0,0,0,0,0.0359135585759954,0.0685343970967949,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.130501441446833,0,0,0,0,0,0.347352037824637,0,0.146856577524036,0,0,0.114940634681194,0.325002665105371,0,-0.00161289117029415,0.0680622419673424,0,0.0282453786322418
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.081812882651546,0,0,0,0,0.0151197195853729,0,0.149311927898196,0,0.295971938839082,0,0,0,0,-0.0250271553662989,0,0,0.0845792945864281
X601328.CH.EQUITY,0,0,0,0,0,0.0789316343033911,0,0.149485704416252,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.121106205189469,0.125009617730406,0.104239443704821,0,0,0,0,0.00311214221126651,0,0,0,0.0466795233639938,-0.0146374518624841
X3328.HK.EQUITY,0,0,0,0.0382159447128682,0,0,0,0,0,0,0,0.0152342877849401,0,0.0745047378619181,0.110061748480932,0,0,0,0,0,0,0.0754942470410496,0,0,0.0702870036087396,0,0.00233040292111822,0,0,0
X600000.CH.EQUITY,0,0,0.117235057259721,0,0,0,0,0,0,0,0.266170567998476,0,0,0,0.159824821837934,0.397660000189295,0,0,0.0881819406637354,0.0866466549372289,0,0,0,0,-0.0276187891581877,0,-0.0208450591520493,-0.0581956268245758,0,0
X601319.CH.EQUITY,0,0,0.247239834395559,0,0,0,0,0,0,0,0,0.125937036889123,0,0.0610802155247936,0.355301412610595,0,0,0.0544528870190739,0,0,0,0,0,0.0856162170012601,0,0,0.0228413740181881,0,0,0
X000001.CH.EQUITY,0,0,0,0,0.12822015043717,-0.318555371835352,0,0,0,0,0,0,0,0.434956895751892,0.439959191850932,0,0,0,0,0,0,0,0,0,0,0,-0.0249940932840895,0,-0.661668546306993,0.246031127466759
X16.HK.EQUITY,0,0,0,-0.108734768163921,0,0,0,0,0,0,0.34728038636306,0.176118678788411,0,0,0,0,0,0.14556738644457,0,-0.1280600983361,0,0,0,0.653307952437844,0,0,-0.0282464669127863,0.151299578702694,0.00429347428146991,0
X601601.CH.EQUITY,0,0.0352275416239317,0,0,0,0,0,0,0,0,0.0459552024447303,0,0.229872703762669,0,0,0,0.29827791009648,0,0,0.278566020361404,0,0,0.0464027754282409,0,0.110876763476356,0,-0.0323872183169834,0,-0.181485738356458,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.210584886437813,0,0,0,0,0,0,0.407647589504034,0,0,-0.159075447851471,0,0.188014143956169,-0.124303707373767,0.118817029328858,0,-0.111022041587904,0,0,0,0,0.380946722882172,0
X11.HK.EQUITY,0.0558672567589398,0,0,-0.176523326832143,0,0,0,0.467562436944925,0,0,-0.0857505101313287,0.597768401080853,0,0,0,0,0,0,0.0867943865497795,0.099609841850922,0,-0.270475180324005,0,0,0,-0.0274897098185343,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.738974936617322,0,0,0,0,0.260644227593488,0,-0.229454135935428,0.0489202593614521,0,0,-0.0420166556805479,0,0,0,0.00391568777807912,-0.0242766148090754,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0875691542142865,0,0.0938621788630971,0.238796140484445,0,0,0,0,0,0,0,0,0.0925341964706815,0,0,-0.10458141426003,0,0,0.0393373613936161
VXFXI.INDEX,0,0,0,0,0,1.57516609262586,0,0,0,0,0,0,0,0.544048352762146,0,0,0,-0.119467350786926,0,0,0,0,1.57817163660076,0,0,-6.72386602131781,0,-0.28445327510088,0,0
CN10YR,0,0,0,0,0,0,0,-6.52063371462595e-07,0,0,-4.60938801444056e-07,-6.72173114919524e-06,0,2.25061468609896e-06,-3.28209648418603e-07,0,4.48856731424567e-06,0,5.27107253734156e-06,0,0,0,0,0,0,0,-3.91900252887146e-07,0,1.00000174711673,0.99998448762067
CN2YR,0,0,0,0,0,0,0,0,0,0,0,2.22462298749355e-08,0,0,0,0,0,0,-7.28108245381969e-06,-5.97869647164663e-07,3.20321977084382e-06,0,0,0,0,0,-1.02339365967502e-06,0.999964442109125,0,-0.999948886047238
CN210SLOPE,0,0,0,0,0,0,0,2.41320002233526e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.7328559760018e-06,0,0,0,0,0,3.16401135429898e-07,0.999984832714432,-0.999978659921888,0
