,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.109295024324343,0,0.0877295987438776,0,0,0,0,0,0,0,-0.00799557305221409,0.0081916126729981,0,0,0,0.345824459904151,0,0,-0.0760428124254605,0,0,0,0,0,-0.00367158254926861,0,-0.0105636194207503,0
X1398.HK.EQUITY,0,0,0,0,0.30769828572392,0,0.134707320174512,0.134684657299991,0.349541419832565,0,0,0,0.0730723946428327,0,0,0.0950787140843142,0,0,0,0,0.0479305720417534,0.0172830974684022,-0.0477407580760443,0,0,0,0.00343995871209374,0,0,-0.0643873710887532
X601318.CH.EQUITY,0,0.110836794971053,0,0.205475679514007,0,0,0,0,0,0,0,0.104159445184372,0.115666808482163,0.142423829239247,0.00245644302248297,0,0,0.0551857328584729,0,0.0651342143081102,0,0,-0.185243036588239,0,0.20132135437652,0,0.0108239140166963,-0.0317801939181423,0,0
X2318.HK.EQUITY,0,0,0.751117413211077,0,0,0,0,0,0,0,0,0.0710221379250633,0,0,0,0,0,0,0,0,0,0,0.114538979804094,0,0,0,0.000759400290038532,0,0,0
X939.HK.EQUITY,0,0.426879404628356,0,0,0,0,0,0,0.103963020960073,0,0,0.0420551570651003,0.00469293925018691,0.0606258506022988,0,0,0,0.113737433813466,0,0.121595652061973,0,0.0744091564011496,0,0,0,0,0.00272506166885592,-0.00923885545252474,0,0
X601939.CH.EQUITY,0.566783144253439,0,0,0,0,0,0.0971213939354418,0,0,0,0,-0.0320580735862185,0,0,0,0,0.140097338959486,0,0,0.140503809580402,0,-0.0245893133793667,0,0,-0.0514999866497437,0,-0.0167511729711237,0,0,0
X601288.CH.EQUITY,0.205546824913426,0.0423969448606991,0,-0.0831278556669237,0,0.264707563998193,0,0.0716730115583447,0,0.109496727630697,0,0,0.0321441679370581,0,0,0,0,0,0.0581766274530392,0,0,0.0618088666385196,-1.73472347597681e-18,0,0,-0.0486451841937276,-0.0119559754577439,0,-0.0976571144741343,0.019977205124552
X5.HK.EQUITY,0.0246442393496184,0,0,0,0,0.416686505427806,0,0,0,0,0,-0.0875764182808967,0.0272913057574137,0,0,0,0,0,0,0,0,0.640165084371182,-0.0459645786164904,0,0,-0.0778909173780065,-0.0130776616828768,1.38777878078145e-17,-0.185492993203642,0
X3988.HK.EQUITY,0,0.520263943035188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841358026391586,-0.0571111565279355,0,0.0885072341538886,6.93889390390723e-18,0.0686193971504074,0,0,0,-0.000665620511514452,0.0739815144918643,0,0
X601988.CH.EQUITY,0.0769372657829307,0.0881771040141894,0.0487314252847349,0.00434922960947771,0,0.325962644090859,0,0,0,0,0,0,0.0252022092965501,0,0.0197849541592997,0,0,0,-0.02922434796228,0,0,0.031809864932051,-6.93889390390723e-18,0,0,0,0,-0.0163624114744014,-0.0314401382687166,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.194770762588501,0,0,0,0.0862735682405956,0,0,0,0,0,0.0721325820223873,0,0.127260628987704,0.363967838387221,0,0,0,0,0,0.000776382750265227,-0.0632059281742973,-0.0365937751121786,0
X1299.HK.EQUITY,0,0.170890718937014,0,0.11303356372193,0,0,0,0,0,0,0.057596128487885,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.07883973665369,0,0.0684615464402207,0,0.677080072012397,0,0,0.0278116898329224,0,0.028812124320594,0
X601628.CH.EQUITY,0.594856399451808,0,0.131893852534627,0,-0.590080609959397,0,0,0,0,0,0,0,0,0.651066246891641,0,0,0,0,0,0,0,0,0.0465301565137673,0.0826963131699671,0.225134035507975,0,0.00553280636002166,0.0628969330052199,0,0
X2628.HK.EQUITY,0,0.0858361925289417,0.180787888253504,0,0,0,0,0,0,0,-0.0575114377297535,0.0510031918896732,0.294492243985335,0,0,0,0,0,0,0.0454263829141219,0,0.0852574871680572,0.100825702843359,0,1.73472347597681e-18,0,-0.00135817292787979,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.493772829764903,0,0,0,0,0,0,0,0,0.129757901402748,-6.93889390390723e-18,-0.0124725042893544,0,0,0.190597482797972,0,0.00514970785582925,0.00731385325021665,0,0
X3328.HK.EQUITY,0,0.313286204456244,0,0,0.084292584654945,0,0,0,0.129528672257774,0,0,0.00333790442374937,0,0.0755116777220548,0,0,0,0,0,0,0.154511178117217,0.0742255389667371,0.00266635026890601,0,0,0,0.00484443790537905,0,0,0
X601328.CH.EQUITY,0.0120537806887073,0,0,0,0,0.00486041464971217,0,0,0,0,0,0,0,-8.67361737988404e-19,0.137080858706963,0,0,0.167064491715477,0,0.0734582073576255,0,0.0213380639209378,0.0701598911259754,0,0.0899806883873616,0,-0.00701848525902245,0,0,-0.0457579218491973
X600000.CH.EQUITY,0,0,0.188819475761994,0,0,0,0,0,0,0,0.396251697499958,0,0.0394573762350373,0,0,0,0.109721523273773,0,0.067685282931926,0.230742126710356,0,0.0247089861793305,0,0,0,0,0.00992382542971735,-0.0694274716073242,0,0
X000002.CH.EQUITY,0,-0.209211306850528,0.201602525159622,0,0,0,0,0,0,0,-0.0855955449020493,0,0,0,0,0,0,0.108690486173632,0,0,0.328272756865809,0,0.0550244052952209,0.142662877291636,0,0,0.00770422084998484,0,0.167738027295429,0
X000001.CH.EQUITY,0,0,0,0,0,0.253691786791397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708100461820969,-0.126231484730691,0.109141142160616,0.0480110556945128,0.0869860685594626,0,-0.01523883972456,-0.208748879872208,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.317741597802449,0,0.243612543718966,0.332364802217782,0,-0.0276446479339095,0,0,0,0,0.135269187864746,0,0,0,-0.0556296679980493,0,-0.0838390216700425,0
X16.HK.EQUITY,0,0,0,0,0.190359836197523,0,0,0.138654169446616,0,0,0,0.434707704120616,0,0,0,0.438719038309628,0,0,0,0,0,0,0.0304691866509671,0,0,0,-0.0722774837425609,0.061579586251014,0,0
X688.HK.EQUITY,0,0,0,0.474691248873392,0,0,0,0,0,0,0,0.0179316893681251,0.0928932815370279,0,0,0,0,0,0.346805526253275,0,0,0,0,0.450833574906434,0,0,0,0,0,0
X388.HK.EQUITY,0,0,-0.250472331027633,0,0,0.213748363533509,0,0,0,0,0.0563588127613213,0.702539054351858,0,0,0,0,0,0,0,0,0.0691117727871662,0,0.0308173205358965,0,0,0,0.0273968553511812,-0.215073968581879,0,-0.148166770787707
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.107808956460472,0,0,0,0,0.227815265834243,0.366759282455962,-0.131316154301544,0,0,-0.142011144847324,-0.0668690884557405,0,0,0,0.801889905241224,0,0
FXI.US.EQUITY,0,0.11585037001373,0,0,0,0,0,-0.479744267150536,0,0,0,0,0,0,0,0,0,0.147737911918396,-0.175921745694393,0,0,0,0.107445789999948,0,-0.0754839593000373,0,-0.177434445628526,-0.0837800836394958,0,0
VXFXI.INDEX,0,3.21581015449435,0,0,0,0,0,-1.52054951036727,0,0,0,0,-1.19573755450974,0,0,0,0,0.501465325639161,-0.920567063884505,0,0,-0.489968189191225,0,0,-0.46370771043498,-5.11468921722554,0,0,0,-0.313206028473554
CN10YR,0,0,0,-1.23093188817712e-06,-3.13707063783586e-06,0,0,0,-1.2886507684103e-06,0,-4.57352116974078e-06,2.80738174584305e-06,5.29395592033938e-23,0,-2.11758236813575e-22,0,0,0,0,0,0,0,0,0,0,-4.62730703994838e-06,-7.98027138089765e-07,0,0.999995164509489,0.999992175553026
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,2.56296110797799e-08,0,0,0,0,0,0,0,0,0,0,0,0,-1.870085450011e-06,-2.36474351427401e-07,0.999977717953047,0,-0.999963131333974
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999972408210189,-0.999964706927359,0
