,X601398.CH.Equity,X1398.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601288.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X600036.CH.Equity,X1299.HK.Equity,X5.HK.Equity,X601628.CH.Equity,X2628.HK.Equity,X601658.CH.Equity,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0.105858726099655,0,0,0,0,0.10844679728458,0,0,0.049637386846528,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0.419469984250834,0,0,0,0,0,0,0.222590150249161,0,0,0.107014095809097,0,0,0,0,0.00811197414617321
X601939.CH.Equity,0,0,0,0,0,0,0,0,0,0.27880366143202,0,0,0.0764314662462647,0,0,0,0,0,0.000196183794489775
X939.HK.Equity,0,0.762284453845826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0.379086383468952,0,0,0,0.0831401284389681,0,0,0.303719359683218,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0.258283588518909,0,0,0,0,0,0.221982332790433,0,0,0.182085108335546,0,0,0,0,-0.000988440578142904
X601288.CH.Equity,0,0,0.202244811896895,0,0.227612137974553,0,0,0,0,0.0335417891346942,0,0,0.0195070112225445,0,0,0,0,0,1.20137874394025e-05
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0.0252097784543337,0,0,0.101709180455227,0,0,0,0,0,0
X3988.HK.Equity,0,0.124157722614994,0,0,0,0,0,0,0,0,0.135425760922076,0,0,0.191959802498707,0,0,0,0,0
X600036.CH.Equity,0,0,0,0,0.187161358862545,0,0,0,0.0451767912874369,0,0,0,0.0698589396998858,0.260403484733989,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67605915012998,0,0,0,0,0
X5.HK.Equity,0,0.13198871298587,0,0,0,0,0,0,0.0687597768920382,0,0.174845808300851,0,0,0.166756054202701,0,0,0,0,-0.00663010228768213
X601628.CH.Equity,0,0,0.569191701739012,0,0.413872826729866,0,0,0,0,0,0,0,0,0.166384923502866,0,0,0,0.0501794698982152,0
X2628.HK.Equity,0,0,0,0,0,0,0,0,0,0,0.389308574703135,0,0.278481975418158,0,0,0,0,0,-0.0191896630236783
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.037780574439518,0,0,0.205793337899145,0,0,0,0,0,-0.00238429247302514
GCNY10YR.Index,0,0,0,-0.0995050726232642,0,0,0,0,0,-0.0882635309826209,0,0.152102995583204,0,0,0,0,0,0.0231706417294087,-0.0200084543106373
SHIF3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769169863664934
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168373253689832
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.300070262996974,0,0,0,0,0,0,-2.40121015789996,0
