,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.0256678514393624,0,0,0,0,0,0,0,0.0426997837548887,0.172600788773928,0,0.247655635863501,0,0,0.0597035769162231,0,0,0,8.67361737988404e-19,0,0,0,0,-1.0842021724855e-19,0.0921179086520887,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190162502661085,0,0,0.141507716736314,0,0.017945197916977,0,0,0,0,0,0.107536857406923,0,0.00237339160743799,0,0.00647779667597453,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458135927858953,0,0,0,0.354367397931176,0.296950198858234,0,0,0,0,0,0,0,0,0.0010638237567066,0,0.0528204941570994,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00374023251191529,0,-0.0211522220595362,0.324341876811916,0,0,0.143127396748303,0,0,0,0.037334628716175,0.104360748048746,0,0.0160676673244355,0,-0.00926855835468245,0.065746346701315,0.0534084357179105,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0809205001082099,0.208812292081561,0,0,0,0,0,0,0,0.0910101212118222,0.0632012401206785,0,0.237625082054019,0,0.00440165699043453,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.328499913813296,0,0,0,0,0,0.0401597751216018,0.105939791217801,0.0134257188401458,0.0158417608576006,0.0375394371942746,0,0.164899171755542,0,-0.00080322115225181,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394566138476275,0,0,0.0738714991051046,0,0,0,0,0.048889543133441,0,0,0.240001654907436,0,0.00585814083756862,0.023433999524433,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.211600033782232,0,0,0,0.263984528279223,0,0,0,0,0,0,0.0953197046855226,0.1369271408337,0,0,0,0.00298104452183914,0,0,0
X601988.CH.EQUITY,0,0,0.137938076951683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039671809126645,0,0,0.0880619168763614,0,0,0.128016917072652,0,1.0842021724855e-19,0.025759264715691,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.177681992982026,0,0.000139357839814822,0,0.0449704553851009,0,0.618347940114256,0,0,0,0,0.080664600963303,0,0,0,0.0427086276995263,0.0007441966649052,-0.0898328487437548,0,-0.0344177071861545
