,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.0174305729096418,0,0,0,0,4.33680868994202e-19,0,0,0,0.0359587645246479,0.0222083699221127,0.149084583030848,0,0.308996532830046,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.117123172932426,0,0
X601398.CH.EQUITY,0,0,0,0.0817133994127945,0,0,0,0,0,0,0,0,0.120551252101281,0,0,0,0.150454702742096,0,0,0,0,0,0,0.0887556766246146,0,0,0.0070293324670787,0.0259195204695184,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00926143064066857,-0.0234518757814278,0,0,0.28534341348335,0,0.0288251543414316,0,0,0,0,0.11765346759707,0.108131348779836,6.93889390390723e-18,0,-0.00916505468906484,0.139080089753143,0,0
X601939.CH.EQUITY,0,0.316569553506499,0,0,0,0,0,0,0,0,-0.0109796339715114,0,0,0,0,0,0.123515856160354,0.316352171847648,0,0,0,0,0,0,0,0,0.00791528832641026,0.00225209956498743,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0613020231840373,0,0,0.235080831656345,0.0680119156659881,0,0,0.0491364516424638,0,0,0,0,0.0728358609086439,0.0636314098143741,0.171234247432273,0,0,0.00636423687739895,0,0,0
X2318.HK.EQUITY,0,0,0.000200185311407159,0,0.0515420611970223,0,0,0,0,0,0,0,0,0.318119380021307,0,0,0,0,0.0277830781048698,0.108149307691937,0,0,0.0415689961438358,0.167992564362833,0,0,-0.00191926480696651,0,0,0
X601288.CH.EQUITY,0,0,0,0.0628218248543267,0,0,0,0,0,0,0,0,0.049695237023088,0,0,0,0.0528969386377591,0,0,0,0,0.0870953808459279,-0.0162193628638343,0.120792999152149,0,0,0.00409402697851384,0.0435412114976321,0,0
X3988.HK.EQUITY,0.0727785293240321,0,0,0,0,0,0,0,0,0,0.0532891721923437,0.12141980926802,0,0,0,0.522086182177236,0,0,0,0,0,0.0147348113871271,0.0508380688737053,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0727717600185903,0,0,0,0,0,0.0122278174951301,0,0,0.00957892734628123,0,0,0,0,0,0.0450432371866315,0,0,0.0922513820638242,0,0.124993016784015,0,0,6.7762635780344e-21,0.0375159616412004,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.130737539324301,0,0,0.123488145106994,0,0,0.550918637877336,0,0,0,0,0,0,0.0225545837822866,0,0.0654718020474407,0,-0.0636668135640926,0,-0.0326281316015497
X1299.HK.EQUITY,0,0,0,0,0,0.247220129709772,0,0,0,0.225678150547233,0,0,0.118001900453266,0.223729135038272,0,0,0,0,0,0,0,0,0.196549122243444,0,0,0,-0.016585090625224,0,0,-0.0386852630980296
X5.HK.EQUITY,0,0,0,0,0,0.0956506785473221,0,0,0,0,0,0,0,0,0,0.258002104327896,0,0,0,0,0.367904169079375,0,0.0848243084599584,0,0,0,-0.00109544465646628,0.166342072993205,0.0230925140330808,0
X601628.CH.EQUITY,0,0,0,0,0,-0.220096614465895,0,0,0,0,0,-0.0282563234470869,0,0.389911253078619,0,0,0.403709515814099,0,0,0,0,0.113605260748296,0,0.115672380458999,0,0,0.0137092055915968,0.0474814118966511,0,3.46944695195361e-18
X2628.HK.EQUITY,0,0,0,0,0,0.526681953488597,0,0,0,0,0.000346343625081668,0,0.105860049990792,0,0,0.082496086016595,0,0,0,0,0.00756529972344971,0,0.415637467203521,0.0754681202654805,0,0,4.33680868994202e-19,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.038562209114489,0.0159702384630305,0,0,0.0340901118518226,0.353443229984255,0.0330337028934081,0,0,0.0959136458124784,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0.206316258055288,0,0,0,0,0,0,0,0,0,0.0559905750636671,0,0,0.275829188091816,0,0,0,0,0.00660285517735209,0,0,0,0.149439639215396,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0182057241693974,0,0,0,0,0,0.18873664527615,0,0,0.128482016545614,0.0385887023169774,0,0,0,0.0508074622842748,0.189581113666875,0,0,0,0,0.235887339989679,0,0,0.0176077113120717,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122989266756419,0,0.116101560717169,0,0.441811870846391,0,0,0.0107470300757419,0.15171561246215,0,0
