,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.127616879602175,0,0,0,0,0,0,0.0445277746983384,0,0,0.0724670714478347,0,0,0,0.216781779665838,0,0,0,0,0,0,0,0,0,0.00374191142790986,0,0.002699728941904,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0942898899478002,0,0.302401655754676,0.153567665080781,0,0,0,0,0,0,0,0,0.0483080647806479,0,0,0.00266075057802233,0.0141174185777494,0,0
X601939.CH.EQUITY,0.821759417762602,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592024224086903,0,0,0,0,0.292284921989977,-0.0269461089637915,0,0,0,0.00605629434545249,0,0,0.00243374298608618,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.031402484580307,0,0.194001001322561,0,0,0,0,0,0,0,0.0376524427870375,0.247120804615388,0,0,-0.0123938681353327,0.180923777432118,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0767845817294027,0,0,0,0.189050174587338,0,0,0.177293743369757,0.0957689315112005,0,0,0,0,0,0.0410360586280089,0.109693434272822,0,0,-3.46944695195361e-18,0,0,0.009668078440507,0,-0.0185623880547739,0
X2318.HK.EQUITY,0,0,0,0,0.168070216350754,0,0,0,0,0,0.117091070683156,0,0,0.0757381790963121,0,0,0,0.265931054953389,0,0,0,0,0.125283865193519,0.047602492536656,0,0,-0.00853065234388448,0,0.0181580136706434,0
X601288.CH.EQUITY,0,0,0.152654870353528,0,0,0,0,0,0,0,0,0.00513267311474285,0.0414946082503712,0,0,0,0.141063422624539,0,0,0.054054524333606,0.0181626142286468,0,0,0,0,0,-0.00831412153052868,0.0279600496438771,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.0742018954604714,0,-8.67361737988404e-19,0,0,-0.0610872349087882,0,0,0.21822611666752,0,0,0.0825514814988248,0,0,0,0,0,0,-0.0125776284245772,0.0302614498416426,0.0337327947353104,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.381092303627909,0,0,0,0,0,0,0,0,0,0.0252332572740107,0,0,0.15548122411492,0,0,0,0,0.0185272604933123,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0733488472387861,0,0,0.149372165251155,0,0,0.45255870462457,0,0,0,0,0,0.304498005035893,0,0,0.00908071313160824,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.155267709595256,0,0,0,0.0611508146865612,0,0,0.321429839318217,0.29836004742925,0.11202500525145,0,0,0,0,0,0,0,0,0.0935964232906942,0,0,-0.00656950126138107,0,0.0175653175700028,-0.0309193309935687
X5.HK.EQUITY,0,0,0,0.11186117250107,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0.367660714390078,0,0,0.258010530824788,0,0,0,0,0,0.141306743876915,0,0,-0.00471564008674579,0.213274897977139,0.0276762930906609,0
X601628.CH.EQUITY,0,0,0,0,0.202679562997712,0,0,0,0,0,0,0,0,0.289464828049515,0,0,0,0,0,0,0,0.00374088640185786,0.343967997384171,0,0,-0.0302818041194204,0.000899689431182298,0,0,0
X2628.HK.EQUITY,0,0,0,0.0508589993527664,0,0,0,0,0,0.121162041845382,0,0,0.0535981088166331,0,0,0,0,0,0,0,0,0,0.0119305605148366,0.635928468168035,0,0,-0.0227192206489809,0,0,0
X3328.HK.EQUITY,0,0.136435581267982,0,0,0,0,0,0,0,0,0,0.024573144400315,0,0.211271841969946,0,0,0,0.132255259659304,0,-8.67361737988404e-19,0.143513683171004,0.256491830501846,0,0.0213349002831925,0,0,0.0199181167035232,0.0565186710197414,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269708275379028,0.0255441132296912,0,0.030375655964494,0.103967478347368,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.204244773983975,0,0,0,0,0,0,0.348770718515075,0,0,0.052794665362275,0,0,0,0,0.0680102387748539,0.0817532841812031,0.129659569103804,0,0,0.0686570026172817,0,0,0,0.00418186725653557,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0884413215813812,0.0312600732837325,0,0,0.293100101255907,0,0,0,0,0,0,0,0,0,0.0718559834585608,0,0,0,-0.00187414659433756,-0.111265532978715,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0239160817702439,0,5.42101086242752e-20,0,0,0,0.393107865238384,0,0,0,0,0.0340802446535467,0,0.0355389602871998,0,0,-0.006235329512358,0.0763882250289134,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149774482139662,0,0,0,0.0353475310677752,0,0,0.0890309187076232,0,0.311391078555699,0.222239828753328,0,0,-0.0149502637445806,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-2.77555756156289e-17,0.0409522020067407,0,0,0.0892554565706234,0,0,0,0,0.0396793273182838,0,0,0.282435604863319,0,0,0.0853100631925241,-0.0124904357627459,0,-0.04761400837236,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.288168659096507,0,0.111223309329923,0,0,0,0,0.224850679639417,0.22812740711403,0,0,0,0,0,0,0,0.00946558240105256,0,-0.0850788530028094,0.073481596453988
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0319540477898239,0,0,0,0.437751930775311,0,0,0.0244343218676468,0,0,0,0.115076668833462,0,0,0,0,-6.93889390390723e-18,-0.0244633609002898,0,0.157531659584934,0
X688.HK.EQUITY,0,0.570414587398739,0,0.0262537643007137,0,0,0,0,0,0,0.149410427632871,0.266183112907529,0,0.436012746651558,0,0,0,0,0,0,0,0,0,0,0,0,0.0209071437177347,0,-0.0442918092522736,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.134282226698339,0,0,0,0,0,0,0,0,0.232056942352313,0,0,0.0906046525972923,0.0188740243478452,0,0,0,-0.000373487309780512,-0.0115325463901993,-0.0337609777036579,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181177158949954,0,0,0,0,0.180509486487189,0,0,0,-0.22815148479121,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.738819091058284,0,0,0,0,0,1.32236073216478,0,-0.463629726903711,0,-1.46466063971126,0.322235167868868,-0.192611830724233,0,-3.3739289001347,0,0,0,-0.0670780529007192
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.91186810614142e-07,0,0,0,0,0.999996866029186,0.999997343783813
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.40048965799734e-06,0,0,0,8.93763321563463e-07,0,0.999996587094987,0,-0.999999593288239
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58938833897858e-06,0,0,0,-5.18116183895881e-07,0.999977274774956,-0.999980227477777,0
