,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0942851389895832,0,0.302461016040205,0.153487164307508,0,0,0,0,0,0,0,0,0,0.0482706010434453,0,0.00265237365700132,0.0140969364861349,0,0
X601398.CH.EQUITY,0,0,0.127636732663448,0,0,0,0,0,0,0.0445395241587674,0,0,0.0724502700882928,0,0,0,0.216773726597044,0,0,0,0,0,0,0,0,0,0.00374113682116662,-5.42101086242752e-20,0.00269931830659415,0
X601939.CH.EQUITY,0,0.466963038952993,0,0,0,0,0,0,0,0,0,0,0,-0.00902908347351844,-0.0587777493377998,0,0.0443397074930184,0,0.382755464518845,-0.0132390731683398,0,0.039386672771171,0,0,0,0.086344771153783,0.0262201164838108,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0220288464603517,0.0674008766059492,0,0,0.216985097735456,0,0,0,0,0,0,0,0,0,0.179060190571135,0,-0.0170988196921699,0.105832529866422,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.141137950567938,0,0,0,0,0.118358017481783,0,0.0231858921599752,0.0729667831128393,0,0,0,0.268550245826174,0,0,0,0.12690896643674,0,0.0631422974520624,0.0133102295479854,0,-0.00479137927983542,0,0.0169585922251614,-0.00222828714654623
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.315258155617611,4.33680868994202e-19,0,0.135209005201882,0.0456658180816631,0,0,0,0,0,0.0603699953406592,0.00706265246729204,0,0,0.0116747344654437,0.0241959354620169,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.158181227962938,0,0,0,0,0,0,0,0,0.00820930676208138,0.0354803473759849,0,0,0,0.135810422929528,0,0,0.0622402919533977,0.0129250363109775,0,0,0,0,0,-0.00873302656766554,0.0251620892188522,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.326554834972277,0,0,0,0.0651001257653153,0,0,0,0,0,0.0465090412310909,0,0,0,0.142273634719851,0.00809991040774075,0,0,0.0687284327045668,0
X601988.CH.EQUITY,0,0,0.196134263512181,0,0,0,0,0.210884305376162,0,0,0,-0.020615307397336,0,-0.0653856371612695,0,0,0.147056767257407,0,0,0.116653821826864,0.024594007965097,0,0,0,-0.0666987209085063,0,-0.00327482449977188,0.0353428808698184,0.0117955736594994,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0733488472387856,0,0,0.149372165251156,0,0,0.452558704624571,0,0,0,0,0.304498005035893,0,0,0,0.00908071313160808,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265910667313164,0,0,0,0,0,0,0,0.204660994994166,0,0.713494623258784,0,0,0,0,0.117626688522149,0
X5.HK.EQUITY,0,0,0,0.104241443872245,0,0,0,0,0,0,0.0706830550408481,0,0,0,0.459413096839185,0,0,0.187463766409614,0,0,0,0,0,-1.73472347597681e-18,1.73472347597681e-18,0,-0.00370479883431345,0.225045088826269,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.205552324617429,0,0,0,0.0188783641734416,0,0,0,0.280691461050511,0,0,0,0,0,0,0,0.336197612697231,0,0,0,-0.0380347697966738,3.4578983650364e-05,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0873436929779036,0,0.329950988630867,0,0,0,0,0.0959365036227581,0,0,0,0.00189086962967287,0,0,0.581773934016785,0,-0.0223878084199886,0,0,0
X3328.HK.EQUITY,0.150321005268761,0,0,0,0,0,0,0,0,0,0,0,0,0.231084342294628,0,0,0,0.143911271114908,0,0.042800326764644,0.052435127132743,0,0,0.11375493682242,0,0,0.00860163660738394,0.042530741767025,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278745466631403,0.0429496847642665,0,0.0305653290846615,0.0858063228831145,0,0,0,-0.0189708440497382,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.179842898426318,0,0,0,0,0,0,0.436232549243379,1.38777878078145e-17,-0.0183784985115738,0.0715038425525891,0,0,0,0,0.038135714850003,0,0.110669471377822,0,0.0352093094394335,0,0,0,0,0.00384214620873321,0,0,0
X388.HK.EQUITY,0,0,0,0,0.00230392985707652,0,0,0,0,0,0,0,0,0.298417741540942,0,0,0,0,0,0,0,0.0806438780571854,0,0.0443177752882266,0.108226383870689,0.00306684204513594,0,-0.0229282466639868,-0.105641715471409,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0161897861739049,0,-5.42101086242752e-20,0,0,0,0.407052364600297,0,0,0,0,0,0,0.0268241102093347,0.0429675784182877,0,-0.00604441653999613,0.0632302816753142,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241152528388494,0,0,0,0,0,0,0,0.329612287886051,0,0,0.155814941947043,0,-0.0120782363351796,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539457260464376,0,0,0.0493777901381513,0,0.0497304150754631,0,0.304356831318058,0,0,0,0.0854563521784781,-0.00904677142798736,0,-0.0290498593156004,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0428065418653291,0,0,0,0.431269624950313,0,0,0.0177011117797597,0,0,0,0.122651568537217,0,0,0,0,0,-0.0231841111063467,0,0.163110217717233,-0.0283596536359469
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.136100284452403,0,0,0,0,0,0,0,0,0.227029963877827,0,0,0.0189256945934498,0,0.0910690695592379,0,0,-0.000404320643834649,-0.0109911270737457,-0.0341634246423081,0
X16.HK.EQUITY,0,0,0,0,0,0,0,-0.0934375767063864,0,0,0.621097497411417,0,0,-0.0776235433831408,0,0,0,0.233584802647244,0,0,0,0,0,0,-0.0364699745638828,0,0,0,-0.0911219705943684,0.0808074490193526
X688.HK.EQUITY,0.612499990591489,0,0,0,0,0,0,0,0,0,0.117256070980819,0.271970440300693,0,0.451682483670499,0,0,0,0,0,0,0,0,0,0,0,0,0.0203955719224745,0,-0.0440446746415348,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181177354912407,0,0,0,0.180509685853112,0,0,0,0,-0.228151474600973,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.603299255839939,0,0,0,0,0,1.3757705688781,0,-0.510305116579136,0,0.397881677882973,0,-1.47237249208979,-0.12475608469677,-3.38280657196466,0,0,-8.67361737988404e-19,-6.93889390390723e-18
