,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.337012200610041,0,0,0,0,0,0.496914346265567,0,0,0,0,0,0,0.114801456559042,0,0,0,0,0,0,0,0.0263611409991549,0,0,-0.00742188128178297,0.0599305262168221,0,0.00913992181418873
X601398.CH.EQUITY,0,0,0,0.157433731597079,0,0,0,0,0,0.148009768241704,0,0,0,0.0557255311443397,0,0,0,0.0903377387047329,0,0.00795857681493731,0,0,0,0,0,0,0.00275315156035021,0,0.000300603729490382,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0162344147596573,0.0714544848993385,0,0,0,0.203077975589483,0,0,0,0,0,0,0,0.184106853027732,0,0,-0.0247655651558283,0.113970848727835,0.00589139250675844,0
X601939.CH.EQUITY,0,0.391494329725086,0,0,0,0,0,0,0,0.0858575752003087,0,0,0,0,0,-0.0565896461934875,0,0,0.401291068666859,-0.0225863778018574,0,0.0110466213903918,0,0,0,0,0.02275023590552,0.00587520601004216,0.0354441055279556,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.315258155617612,0,0,0.0456658180816629,0.135209005201882,0,0,0,0,0,0.0603699953406594,0.00706265246729181,0,0.0116747344654438,0.0241959354620167,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.0687881914548514,0,0,0,0,3.46944695195361e-18,0.217365137356176,0,0.169981754994043,0,0,0,0,0.0450705387827697,0,0.0407773099187471,0,0,0,0.057588500685541,0,0.000755787307528897,-0.00255453306608325,0,0,0
X601288.CH.EQUITY,0,0,0,0.19866028343438,0,0,0,0,0,0,0,0,0,0.0726607628034595,0,0,0,0.0736884522838645,0,0.0631361009368479,0.00783104733829555,0,0,0,0,0,-0.0082050546166756,0.0135704014452867,0,0.0103679756319528
X601988.CH.EQUITY,0,0,0,0.263943903475413,0,0,0,0,0.170418411480186,0,0,-0.0542240022034042,-0.0453496392599469,0,0,0,0,0.100697733590213,0,0.0696198687408333,0,0,-0.00314786785913662,1.73472347597681e-18,0,0,-0.00457489356720089,0.0454299637887899,0.0232933491739153,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.198489727325976,0,0,0,0,0.153219682964678,0,0,0,0,0.0983161075603832,0.0482637821460601,0,0.135006167310798,0,0,0,0.0796617479353662,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0631748769205311,0,0.077485579247012,0.215640382768397,0,0,0,0.273595944031234,0,0,0,0.315773739072937,0,0,0,0.0422624649213723,0,-0.0890098208502251,0,-0.0229412130087054
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.255329862437844,0,0,0.0520790305903158,0,0,0,0,0,0.189647657696495,0.678414203655154,0,0,0,0,0,0.0675503638520048,0
X5.HK.EQUITY,0,0,0.0868680778458181,0,0,0,0,0,0,0,0.03600957287051,0,0,0,0,0.490186462295399,0,0,0,0,0,0,0.123837970339879,0,0,0,-0.0122878815861604,0.245891899077344,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.244778260237744,0,0,0,0,0.0858295225951753,0,0,0.322020905639704,0,0,0,0,0,0.023022856308262,0,-3.46944695195361e-18,0,0.550447642306541,0,0,-0.0156512955493482,0,0.0439380213573772,0
X601628.CH.EQUITY,0,0,0,0,0,0.0618612801006725,0,0,0,0.188097028873687,0,0,0.336243997149874,0,0,0,-0.268509427715049,0,0,0,0,0.0877252755146426,0.19843787810373,0,0,0,0.00115177298044816,0,0,0
X601328.CH.EQUITY,0,0,0,0.101028074179189,0,0,0.040444708106272,0,0,0.179186757017448,0,0,0,0,0,0,0,0.00994742490702164,0,0.0693420809293443,0.093252780296229,0,0,-0.0230024334672013,0,0,0,-0.0166470454075278,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.121776614413023,0.0413227463943395,0.178960366465718,0,0,0,0.0761513080458061,0,0,0.133636440251346,0,0,0.0204040520229256,0,0,0,0,0.0472204256860573,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0815097491500158,0,0,0.259007635290627,0,0,0,0,0,0,0,0,0,0.161133284898103,0.0684938165609155,0,0.0779637254941844,0.0172392214106813,-0.0354106384733937,-0.10961675687007,0
X601166.CH.EQUITY,0,0,0,0.145862712603642,0,0,0,0,0,0.495857525025307,0,0,0,0.0346411839774186,0,0,0,0,0,0.0833235644918604,0,0.00427790782124148,0,0,0,0,0.00192104230250831,0,0,-0.0105260952206881
