,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.0199147120423894,0,0,0.604372689217438,0,0,0.185364187147911,0,0,0,0,0,0.00293965082628222,-0.180881219593249,0,0,0.0737868931803038,0,0,0,0,0,0,0,0,-0.00606588100538662,0.0396403015484762,0,0.0135462641397971
X601398.CH.EQUITY,0,0,0,0,0,0.0977941609741486,0,0,0,0,0,0.191329604017286,0,0,-0.130479252821889,0,0,0,0,0,0,0,0,0,0,0,0.00216752069262763,0,0,0.0568728366057676
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0445738044080338,0,0,0,0,0.19293551809885,0.0342174567797435,0,0,0,0,0,0.0246155783717029,0,0,0,0,0.081598167736773,0,0.0104731643001526,0.0154877517081445,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.016962526539858,0.122290518629819,0,0,0.0768938970333649,0,0,0.0268909705775581,0,0,0,0,0.0061787668569824,0,0,0,0,0.425348109755179,0,0.0110662601931034,0.0949845897543893,0,0
X939.HK.EQUITY,0.500652789634004,0,0,0,0,0,0,0,0,0,0,0,0.145489800480345,0.0331941038079067,0.00571259581889458,0,0,0,0,0.0184512456082651,0,0,0,0,0,0,0,0.0589776171229436,0,0.0427411752231338
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.101538920105009,0,0.0426795342571113,0,0,0.284642415349928,0,0,0,0,0,0,0,0,0,0.0282211309146427,1.73472347597681e-18,0.0255207401414101,-0.0206533298631566
X601288.CH.EQUITY,0,0,0,0,0,0.126560702838514,0,0,-0.0658571979178498,1.0842021724855e-19,0.461237821370995,0.0741627725965424,0.0184358753318989,0,0,0,0.137777880425394,0,0,0,0,0,0,0,0,0,0.013646960193888,0,0,0
X2628.HK.EQUITY,0.27452330520741,0,0,0,0,0,0,0,0.166610779431287,0.316601127130464,0,0,0.394816480907083,0,0,0,0,0,0,0.00843467731260432,0,0,0,0,0,0,-0.0391356157060629,0,5.42101086242752e-20,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.377794936137592,0.3231599658837,0,-0.164267291428366,0.143534923999623,0,0,0,0,0,0,0,0,0.133054229311671,0,0.0346877096964176,-0.0668089137304767,0,-0.0669781728504853
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.329621565196461,-0.2431403713737,0,0,0,0,0.154900511614209,0,0,0,0,0,0,0,0,0.278625881592708,0.0261047073519016,0,0,0.00425752869383491,0,0,0.0942603108262797
X601988.CH.EQUITY,0,0,0,0,0,0.12727638297198,0,-0.0763934017249157,0,0.113585678778444,0,0,0,-0.00433872722601335,0,0,0.183578741320447,0,0,0.0665232918131868,0,0,0.0604679240548096,0,0,0,0,0,0.0296474633807911,0
X600036.CH.EQUITY,0,0,0,0,0,0.204851999941887,0,0,0,0,0,0,0.200179893540776,0.245122962274139,-0.0423917019325266,0,0.23341868258591,0,0,0,0,0,0,0,0.111057992001119,0,0,0,-0.0222816974508922,0
X1299.HK.EQUITY,0,-0.102226680349762,0.798471256118916,0,0,0,0,0.0091420976479335,0.088708914777242,0,0,0,0,0.23102160120288,0.152612047451295,0,0,0.512510508544438,0,0,0,0,0,0,0,0.049310615221062,0,0.0233516314433464,0,0
X5.HK.EQUITY,0.106160945711627,0,0,0,0.480310079282028,0,0,-0.117354914738168,-0.0742613410678172,0.0487597337757336,0,0,0.421416983831188,0,0,0,0,0,0,0,0,-0.255299154036566,0,0,0,0,-0.181748857915433,0.30687348744246,0.0623812530341996,0
X388.HK.EQUITY,0,0,0,0.242006054144399,0,0,0,0,0,0,0,0,0.28794992761973,0,0,-0.0740834581313917,0,0,0,0,0.0942142700188335,0,0,0,0,0,0.0236094793191185,0,0,0.0534636304767685
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0311544706408732,0,0,0,0.136664571081253,0.00920065504704684,0,0,0,0,0,0.397671863328865,0,0,0.255540385184823,0,0,0,0.0266709735998345,0,0,-0.00879038044602325
X601166.CH.EQUITY,0,0,0,0,0,0.129605697608894,0,0.0142380963437754,0,0,0,0,0,0,0,0,0,0,0,0.00333334695290389,0.629147793709441,0,0,0.0712105745577838,0.0911379818476208,0,0.0279984329273662,0.00764849748545283,0,0
