,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0.0145668297452108,0,0,0.557361453216128,0,0,0.0534448545717906,0,0.120292696101601,0,0,0,0.026416683176455,-0.183664685863026,0,0,0,0,0,0,0,0,0,0,0,0,0.0617948995175343,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0434535501946615,0,0,-1.73472347597681e-18,0.325767271284102,0,0,-0.0993561385976482,0,-0.0111979510938329,0,0,0,0,0,0,0,0,0,0.013030027126188,0,0,0.0364071988373386
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.120403359604492,0.0346174329517837,0,0.192913453697149,0,0.00748533644929081,0,0.00272997166639153,0,0,0,0,0,0,0,0,0,0.014945728237259,0,0.0120608965248901,-8.67361737988404e-19
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0290132528776958,0,0.363898959542016,0,0,-0.0532575511551097,0,0.0804849697895859,0,0,0,0,0,0.064635097181332,0.147425153554016,0,0,0,-4.33680868994202e-19,0.0612796558815983,0
X939.HK.EQUITY,0.401980397242641,0,0,0,0,0,0,0,0,0,0,0,0.183675690265271,0,0,0,0.0211753285442917,0,0.0186174507007682,0,0,0,0,0,0,0,-0.020813114747949,0.0270609020310781,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.940140569701771,0,0,0,0.0580985202041584,0.0334301366899481,-0.0146919323683032,0,0,0,3.46944695195361e-18,0.0203562192873991,0,0,0,0,0,0,0.0806575725690587,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.780754268465405,0,0,0,0,-0.0764158149848519,0,0,0,0.00022686828022164,0,0.0249635127269863,0,0,0,0,0,0.131387180596347,0,-0.0403734202246848,0.00237843440920877,0,0,0,0
X3988.HK.EQUITY,0.127085760088904,0,0,0,0,0,0,0,0,0.127243497130051,-0.00119244105601506,0,0.0163228045173742,0.183349269054623,0,0,0.0863351495792087,0,0,0,0,0,0,0,0,0,0,0,-0.0718256419985533,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.10260312955962,-0.0735441415005365,0,0,0,0.0665498343565947,0,0,0.835039730636028,-0.119916797198241,0,0,0,0,0,0,0,0.0327977665184849,0.0514349419294827,0.088876147212423,0
X2628.HK.EQUITY,0.497472301217622,0,0,0,0,0.131966528629279,0,0.324101909657277,0,0,0.230993515526666,0.0924039038044417,0.128106824551365,0,0.209955867105619,0,0,0,0,0,0,0,0,0,0,0,-0.00189136590576849,0,0.0745859748966846,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0613512113311676,0,0,0.220925024830082,-0.42427981347155,-0.0625423336616114,0.732607995909316,0.281084895513009,0,0,0,0,0,0,0.061882543869918,0,0,-0.0137459827164794,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.519969780888026,0,0,0,0,0.0591213561798821,0,0,0.0894508053528948,0,0,0,0,0,0,0.0249619206345374,0,0,0.0104669838050204,0,0,1.0842021724855e-19,0,0,0
X1299.HK.EQUITY,0,-0.201158343182522,1.01395542194524,0,0.051237447992044,0,0,0,0,0,0,0,0,0.260268064098953,0.00270070960402196,0,0,0,0.5502619722305,0,0,0,0,0,0,0,0.0467474772769921,0.142270787710729,0,0.054714651171454
X5.HK.EQUITY,0.152335848630367,0,0,0,0,0,0,0,0,-0.193569309072927,-0.0803092334339946,2.77555756156289e-17,0.542731436670399,0,0,0,0,0,0,0,0,0.291868272831442,0,0,0,0,-0.0776119970605567,0,0,0.0867854402737465
X388.HK.EQUITY,0,-0.213532349765568,0,0,0.349718548923858,0,0,0,0,0.367431496011001,0.271314108286545,0,0,0.0721789691317687,0,-0.15512402460432,0,0,0.0337078175741266,0,0,0,-0.247577104408403,0,0,0,0,0,6.93889390390723e-18,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.167819923938572,0,0,0,0.0722419171607232,0,0.399558849704503,0,0,0,0,0.0334926703685538,0.156728147935872,0.0825982419777125,0.313686301491724,0,0.0925938450324465,0,0,-0.0793802154524235
X601066.CH.EQUITY,0,0,0,-0.0674823881996623,0,0,0.0447404963155852,0.185871056171072,0,0,-0.0149494273505547,0,0,0,-1.73472347597681e-18,0.941526607160715,0,0,0,0,0,-0.0490325065874042,0,0,0,0,0.0279640848381301,0.171814193365118,0,0.0451907872776133
X601166.CH.EQUITY,0,0,0,0,0,0.0127348055129186,0,0,0.753116284945124,0,0.0294539574009451,0.000464789852738415,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.205469606027968,0,0,0,0,0
X3328.HK.EQUITY,0,-0.241553713929165,0,0,0,0,0,0,0,0,0,0,0.243458373120368,0,0,0,0,0,0,0,0,0,0.0731223886354435,0,0,0,0,0.122125476742579,0,0.0100258253202968
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.136981103378336,0,0,0,0,0,0,0,0,0.227321018347912,0,0.136491837883019,0,0,0,0.0174062639290258,0,0.0365886687695497,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.057464094494073,0.22089423527364,0,0,0,0,0,0,0,0,0,0,0.105906903869686,0,0.0845552224213644,0,0,0.051325859743746,0.0621929331039279,0
X000002.CH.EQUITY,0,0,0,0,0,0.0989174713028818,0,0,0,0.0430381510413809,0.0632956252125799,0,0,0.122625117461216,0,0,6.93889390390723e-18,0.167464688971384,0,0,0,0,0.0819601894026306,0,0,0,0,0,0,0.132957568923255
X601319.CH.EQUITY,0,0,0,0,0,0,0.279349913500888,0.181932372236082,0,0,0,0,0,0,0,0.384970150778326,0,0,0,0,0,0,0,0.348334915629365,0,0,0.0116062654768739,0,0,0
X601601.CH.EQUITY,0,0,0,1.05835608370771,0,0,0,0,0,0.161606908434349,0,0,0,0.0131387480942715,0,0,0,0,0,0,0,0,0,0,0,0,-0.117999833368561,-0.252163003656005,0,-0.0627247070128025
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00553806279996184,0.0753059419500097,0.284676251031863,0,0.0213109336725525,0,0,0.104367232596591,0.178522879088381,0,0,0.0647789685774988,0,0,0,0,0,-0.0222681748064733,0,0,0
