,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.325775596085326,0,0.0434513255228164,0,0,-0.0993579517012648,0,0,0,0,-0.0111963773605558,0,0,0,0,0,0,0.0130311224163576,0,0,0.0364141084635891
X1398.HK.EQUITY,0.00797271129805559,0,0,0,0,0.554652524261512,0,0,0.138548096891319,0,0,0.0512084963848116,0,0,-0.191918681937144,0,0,0,0,0,0,0,0,0,0,0,0,0.0724221223746803,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.063985074389035,0.392869695289013,0,0,0,0,-0.0690277964239651,0,0,0,0,0.0849159861755649,0,0,0.0263948932427827,0,0.151418429043066,0,0,0,0.0401277502193848,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0.138241875396384,0,0,0,0.115668692677975,0.0784307063972304,0.0222203283656957,0,0.00335095454237969,0,0,0.0136897748876717,0,0,0,0,0,0,0.0160867293260924,0,0.026194105306476,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.960638870084859,0.0526366132192478,0,0.01595451893623,0,0,-0.00887011715802476,0,0,0,0.019168903005841,0,0,0,0,0,0,0.0905841270524659,0,0,0,0,0,-0.0109041149567581
X939.HK.EQUITY,0,0.419768204498933,0,0,0,0,0,0,0,0,0,0,0.183712157198676,0,0.00542146577483422,0,0,0,0.0268783980372674,0.0198689563319251,0,0,0,0,-0.0212703591924966,0,-0.0175193911545322,0.0309488986161354,0,0
X601288.CH.EQUITY,0,0,0,0,0.803934081188557,0,0,-0.0837958510756772,0,0,0,0,0,-0.0152223757903699,0,0,0,0,0,0.0331128643141682,0,0.00474681109221012,0.105505226666729,-0.0441617254421386,0,0.0462502784106586,0.00703336467541598,0.00825819487988503,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.189748614367566,0.0884006156004486,0,0,0.213581226906,-0.525258431868298,-0.0943557931824694,0.677591753878785,0,0,0,0.298104917968462,0,0,0,0,0,0,-0.0141632431420069,0,0,0
X2628.HK.EQUITY,0,0.453373443940383,0,0,0.0786779853797626,0.203568593727796,0,0.242178490892245,0,0.120082344643203,0,0.34391871419743,0.0655302381477594,0,0.215404821757742,0,0,0,0,-0.0377211958290714,0,0,0,0,0,0,-2.16840434497101e-19,0.099585982077368,6.93889390390723e-18,0
X600036.CH.EQUITY,0,0,0,0,0.541643874386071,0,0,0.0485475360826696,0,0,0,0,0.109616227579684,0.114879268366171,-0.0496901419794988,0,0,0,0,0,0.0688463750456611,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0171737706493511,0,0,0,0,0,0,-0.0254614856581897,0,0,0,0,0,0,0,0,0.889981420116522,0,0,0,0,-0.017095964239525,-0.12110260847292,0,0,-0.0292050110699575,0,0.0718299975326131,0.00316840397251982,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,-0.119997251927783,0.222892562637917,0,0,0,0,0.147993426379185,0.0592000676794724,0,0,0,0,0.1180611425194,0,0.0289435932715238,0,0,0,0.144685381056193,0,0,-0.140242283091517,0
X1299.HK.EQUITY,0,0,0,0.197800084437801,0,0,0,0,0.236918966607857,0,0,0,0,0.359775311694544,0,0,0,0,0.254197343835546,0,0,0,0,0,0,0,0,0.224816998973374,0,0
X5.HK.EQUITY,0,0.12622833829665,0,0,0,0,0,0,-0.173216452460409,0.0121431753056356,0,0,0.43306793397625,0,0,0,0,0,0.344431911154441,0,0,0,0,-0.0547890914126492,0,-0.20244121225626,-0.0850283487727785,0.0768849960760704,0,0
X388.HK.EQUITY,0,0,0,0,0,0.273835433565431,0,0.29818599215771,0.35178105071356,0,0,0,0,0,0,-0.0316320773168488,0,0,0,-0.109757433054389,0,0,-0.40173603281349,0,-6.93889390390723e-18,0.406212538088783,0.0484299190292633,0,0,-0.0175041909081063
