,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.629206395327424,0,0,0,0,0,0,0.109919482002875,0,0.0163702276289514,0,0,0,0,0.0168719896375031,0,0,0,0,0,0,0.00789129735285529,0,0,0
X601398.CH.EQUITY,0,0,0,0.0194839834367147,0.386696008800261,0,0,0,0,0,0,0,0,0,0,0,0.062945370902285,0,0,0,0,0,0,0,0.118746997993984,0,0.00389797855870725,0,0,0
X2318.HK.EQUITY,0,0,0,0.311690668776383,0,0,0,0,0,0,0,0,0.0555047755934938,0.145985366299428,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103998702143205,0,0,0
X601318.CH.EQUITY,0,0,0.00285372805391155,0,0,0,0,0,0,0,0,0,0,0.246222031367216,0,0,0.218199145124593,0,0,0,0,0.0548234722510321,0,0,0.157445753422209,0,-0.00846726410520076,0,0,0
X601939.CH.EQUITY,0.00495885634800104,0.202529596489918,0,0.0322866105831314,0,0,0.323822726510753,0,0,0,0,0,0,0.0853667339684221,0,0,0.081421136078626,0,0,0,0.00691874428389424,0.0323568865737218,0,0,0.0881703145626195,0,0.000863765151597729,0,0,0
X939.HK.EQUITY,0.73938928532073,0,0,0,0,0,0,0,0,0.0252966440278793,0,0,0,0,0,0.0194050019522241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.203300029486459,0,0,0,0,0,0,0,0,0.0796672929371195,0,0,0,0,0,0,0.0155900715966176,0.0550148762410752,0,0,0.03846335571375,0,-0.000206219010806048,0,0,0
X5.HK.EQUITY,0,0,0,0,0.0280705990941337,0,0,0,0,0,0,0.0746250115128472,0,-0.0510381427128571,0,0.0293005607840012,0.0620810372824564,0,0,0.140315288946308,-0.0688609921776979,0,0.289794095675356,0,0,0,0.0175074562249923,0,0.0293556697127284,0
X601988.CH.EQUITY,0,0,0,0.0518934554876185,0,0,0,0,0,0,0,0,0,0.130611904305484,0,0,0,0,0,0,0.046368649121834,0.0445097345449699,0,0,0,0,0.0108503275818991,0,0,0
X3988.HK.EQUITY,0.144783482165648,0,0,0,0,0.454903347264318,0,0,0,0,0,0,0.11278743685911,0,0,0,0,0,0,0,0,0,0,0,0.00856283006216353,0,-0.0066116175581407,0,0,0
