,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.176662807564356,0.570175694142978,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0453852543536615,0,0,0.00820501276876687,0,0,0.0285662009490935,0,0,0,0,4.83735089841181e-05,0.00920267587234,0,0,-0.0254425670719511
X601398.CH.EQUITY,0,0,0,0,0.281311732638039,0,0,0,0,0,0,0,0,0.00937347187270305,0,0,0.118203612358903,0,0,0,0,0,0.107640141831124,0,0,0,-0.00242651535382507,0,0,0
X2318.HK.EQUITY,0,0,0,0.286722610319248,0,0,0,0,0,0,0,0,0.0622024076101558,0.1356085693252,0,0,0,0,0,0,0,0,0,0.070014319404919,0,0,-0.00876867035957708,0,0,0
X601318.CH.EQUITY,0,0,0.181562436264308,0,0,0,0,0,0,0,0.081513057081939,0,0,0.0132930473030402,0,0,0.244024386008097,0,0,0,0,0.137210703522428,0.325190624551131,0,0,0,-0.0352332183580743,0,0,0
X601939.CH.EQUITY,0,0.151527204549536,0,0.0244446549384668,0,0,0.428043027324211,0,0,0,0,0,0,0.0880165978857841,0,0,0.0582312200476766,0,0,0,0,0.0700556549336923,0.0395655735314758,0,0,0,0.00168475617138211,0,0,0
X939.HK.EQUITY,0.581320441736917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118610168038097,0,-0.018216579419051,0,0,0,0,0,0.0276285283434823,0,0,0.0064177086105604,0,0.024913066726816,0
X601288.CH.EQUITY,0,0,0,0,0.211282168189026,0,0,0,0,0,0,0,0,0.0508141537494351,0,0,0.0324713168519781,0,0,0,0,0.111648527255797,0,0,0,0,-0.0115384425829454,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.116401707257186,0,0,0.059154223090391,0.0340664130245122,0,0,0,0,0.00936655417426619,0.101106730148971,0,0,0,0,0.0602798724031122,0,0,0.00707267759126069,0.0492382283462418,0,0
X601988.CH.EQUITY,0,0,0,0,0.0513670175340771,0,0,0,0,0,0,0,0,0.159275163336384,0,0,-1.73472347597681e-18,0.0265094954800056,0.0963766457274516,0,0,0.0411006697668125,0,0,0,0,0.00540741047489794,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.532457313735598,0,0,0,0,0,0,0.106528964423884,0,0,0,0,0,0,0,0,0,0,0,0,0.0140710580125023,-0.0026222590599599,0.0782802306395179,0,0
X600036.CH.EQUITY,0,0,0,0.337149893416062,0,0,0,0,0,0,0,0,0,0.0712839561616953,0.172882499855842,0,0.184914843439736,0.00894764334653766,0,0,0,0,0,-0.0042538694638613,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0.102950107064069,0,0,0,0,0,0,0,0,0.0386608537903928,0.0292661036384887,0,0,0.14191750799519,0,0,0,0.185900868627187,0,0,0.100222306170062,0,0,0,0,0.0184544047103712,-0.192086381199215
X2628.HK.EQUITY,0,0,0.140887902479693,0.172639602347819,0,0,0,0,0,0,0,0,0,0.279065372466553,0,0,0,-0.081899495165274,0,0,0,0.0765099800074066,0.038408903618041,0.0284921321107957,0,0,-0.0110637775705777,0,0,0
X601628.CH.EQUITY,0,0,0,0.220418870833153,0,0,0,0,0,0,0.184199864688965,0,0.127191073329587,0,0,0,0.0225951745316748,0.182092488400868,0,0,0,0,0.534552463161781,0,0,0,0,0.176624668058604,0,0
X601328.CH.EQUITY,0,0,0,0.0410413583588228,0.0560079874528747,0,0,0,0,0,0,0,0,0.00654622108866793,0,0,0.238790754784604,0,0,0,0,0.00852051164987809,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.199080024207595,0,0,0,0,0,0.129454483947068,0.170600661596706,0.0658389999874247,0,0,0,-0.0150227852903364,0,0,0,0.000970099249030618,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.369549731756397,0,0,0,0,0,0.102293887547722,0,0,0.0709207775748389,0,0,0,0,0.319687030752335,0,0,0.0616395627957871,0,0,0,-0.024905265982928,0,0,0,0
X601319.CH.EQUITY,0.147182734099898,0,0,-1.32773237766374,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.528051626061205,0,0,0,0,0,0,0,1.0206442054627,0.528253674349882,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,-1.73472347597681e-18,0.00798629378943136,0.22114620260956,0,0,0,0,0.217848743909435,0,0,0.0374805698865578,0,0,0.202286273504959,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,-6.93889390390723e-18,0.0111696652527183,0,0,0,0,0,0,0,0.0843431338939756,0,0,0,0,0,-0.0123993064072383,0,0,0.114851601550603,0,0.051696894824246,-4.33680868994202e-19,0.154144389699394,0,-0.00544046051252043,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952239358156276,0,0,0,0.0602656001193194,0,0,0,0,0.00374980531013662,0.0599739634584066,0,0.0578148807989049
X000002.CH.EQUITY,0,0,0,0.103783390461406,0.0125690895639395,0,0,0,0,0,0,0,0.297757857050612,0,0,0,0.0751327377660593,0.0382046366244994,0,0,0,0,0,0,0,-0.0571087646164533,0.0491796423901284,0,0,0
X601601.CH.EQUITY,0,0,0,0.370811765697371,0.0923938860064454,0,0,0,0,0,0,0,0.146917095506611,0.0657710879668373,0,0,0,0,0,0,0,0,0,0,0,0,0.0163354084805302,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0.0374558735574122,0,0,0,0.144074350520892,0,0,0.223087273340689,0,0,0,-0.0561067162213828,0,0,0,0,0,0.014868179359316,0,0,0,-0.0095455914368806,0,-0.0152439699819032,0
X267.HK.EQUITY,0,0,0,0,0,0.199696912483356,0,0,0,0,-0.0723688111090519,0,0.114113341531345,0,0,0.0393120469701459,-0.0144684120634659,0,0,0,0,0,0,0,0,0,0.00670057071053352,0.00799322830656495,0,0.0997808370469588
FXI.US.EQUITY,0,0,0,-0.122771094039836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221231832021094,0,0,0,0,0,0,0,0,-0.209710002190598,0,0.029344853179061,0
VXFXI.INDEX,0,0,0,-0.823753478118259,0,0,0,0,0,0,-0.283111057303275,0,0.0300932129029766,0,0,0.540185164230042,0,0,0,0,0,0,0,0,0,-3.79272609588064,0,0.139083199346051,0,0.0304194887361956
CN10YR,0,0,0,0,0,0,0,0,0,2.84254862497722e-07,0,0,0,-4.2351647362715e-22,0,0,5.1810187767062e-06,0,0,0,0,0,0,0,0,0,-1.42006097991585e-06,0,0.999979879256263,0.999976845272635
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66087773474564e-07,0,0,0,0,0,0,0,0,0,0.999991332522141,0,-0.999984004249937
