,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.0799204014004389,0,0,0,0,0,0,0,0.004785579995798,0,0,0.323972437565197,0,0,0,0,0,0,0,0,0,0.00107161983352194,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.620477992337426,0,0,0,0,0,0,0,0.0869331554988212,0,0,0,0,0.0393303031363546,0,0,0,-0.035837224964754,0,0.0168362259196269,0,0,0.00923591739617714,0.00841374861699695,0.0176043102568577,0
X601318.CH.EQUITY,0,0,0,0.311935824000254,0,0,0,0,0,0.0337951303489146,0,0,0,0.285798060503467,0,0,0,0,0,0,0,0.153029249058161,0.091752571643917,0,0,0,-0.0233660916258425,0,0,0
X2318.HK.EQUITY,0,0,0.350055680446922,0,0,0,0,0,0,0,0,0,0.170269060518266,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00575223884055894,0,0,0
X939.HK.EQUITY,0,0.702871104696932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152329251766091,0,-0.0284873046516158,0,0,0,0,0,0.0338601763886819,0.0436183410232592,0,0.010089180178573,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152941749880243,0,0,0.202453234361822,0,0,0,0,0.114740533724535,0,0,0,0,0.00319416884588972,0,0.0357676035033321,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447252577787238,0,0,0.157982981920439,0,0,0,0,0.103654891142113,0,0,0,0,-0.00571357998103771,-1.73472347597681e-18,0.0476136456790011,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0393682485072053,0,0,0.139358216495645,0.104820879915156,0,0,0,0,0,0,0,0,0.0258975159542277,0,0.00619307347413046,0,0,0,0.0296920489700198,0,0
X601988.CH.EQUITY,0,0,0.0962823701308549,0,0,0,0,0,0,0,0.0112451851877726,0,0,0.121777065224409,0,0,0.0191980265705467,0,0,0,0,0.0556896890226754,0.0184034642296765,0,0,0,0.00679654935301233,0,0,0
X3988.HK.EQUITY,0,0,0,0,0.391689623614175,0,0,0,0,0,0,0,0.0308160895931681,0,0,0,0,0,0,0,0,0,0,0.0675590335294477,0,0,-0.00772327574148317,0.0812118164847948,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.139515972693163,0,0.243846086110448,0,0,0.249399572797681,0,0,0,0,0,0,0,0,0,0.013681820876922,0.00859803077222767,0,0
