,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612138179012467,0.146162780990968,0,0,0,0.0551888340312238,0,0,0,0,0,0,0,-0.00632299440693826,0,0,0.0635101966878107
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586388486121325,0,0,0,0,0,0.0423327655016115,0,0,0,-0.00208625470944013,0,0,0
X601318.CH.EQUITY,0,0,0,0.164803793128074,0,0,0,0,0.0903105605612253,0,0,0,0.227489541829234,0,0,0,0,0,0,0.065706238814743,0.00983341865366438,0,0,0,0,0,-0.024645142737714,0.0383478932167236,0,0.0530296735407317
X2318.HK.EQUITY,0,0,0.218242233542297,0,0,0,0,0,0.0206145127457191,0,0,0,0,0.345962297500947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200081534839638,0,0
X939.HK.EQUITY,0,0.0172429613514196,0,0,0,0,0,0,0,0,0,0.0584886522903788,0,0.127870889297049,0,0,0,0,0.0283840563191812,0,0,0,0.018835970387102,0.0827825335841305,0,0,-0.00276119971598402,0.032323515757799,0,0
X601939.CH.EQUITY,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.120384182140005,0,0,0.171161250783927,0,0.0120529521911475,0,0,0,0,0,0,0,0,0,0,-0.000991593863883219,0.0417895576627492,0,0
X601288.CH.EQUITY,0,0,0,-0.100415395000333,0,0,0,0,0,0,0,-0.0249775195972764,0.0925222358341524,0,0.210189647193268,0,0,0,0,0,0,0,0.10008070889557,0,0,0,0.00984626263383098,0.0413688201780008,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.06218630503887,0,0.0895423233044696,0,0.0559853024763962,0.0328972916281559,0,0,0,0,0,0.0402993111052247,0.0874253776322968,0,0.0175299393687971,0,0,0.000698926078192464,0.0273733797528556,0,0
X3988.HK.EQUITY,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.117938568086139,0,0,0,0,0,0,0.178423251332049,0,0.0625957878584754,0,0,0,-0.00437981246740895,0.000388252065933007,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0560353638857136,0,0.0445204708940242,4.33680868994202e-19,0,0,0,0,0,0,0.095878981699269,0.0792913743257656,0.0330584399658328,0,0,0,0,0.00125461696704577,0,0
X600036.CH.EQUITY,0,0,0.409755480513466,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366185343029191,0,0,0,0,0,0.0842927518876591,0,0,0,-0.0122928482833179,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.140181010937867,0,0,0,0,0,0,0,0.0260993108346055,0.128275142581562,0.214874786430622,0.0499549714020564,0,0,0,0,0,-0.0696705692994001
