,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0405338501095253,0,0,0,0,0,0.0284021221831545,0,0.0603854771099089,0,0,0,0,0,0.0283576797372648,0,0,0,0,0,0.161554123858081,0,-0.00714109520634676,0,-0.0343286174900761,0.0103799705517192
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57770250875592,0,0,0.0226395768386386,0,0.0628021144414523,0.0084196332535005,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.223309404292021,0,0,0,0,0.0155737764037135,0,0,0,0.324380854483766,0,0,0,0,0,0,0,0,0,0,0,0.0139136143150546,0,0,0.00541285071362754,0,0
X601318.CH.EQUITY,0,0,0.182170164955352,0,0,0,0,0,0.145216251756733,0,0,0,0,0.165124981982981,0,0,0,0,0.0245359908558945,0.123053107612592,0,0,0,0,0.0462180333355584,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.192830918682993,0,0,0,0,0,0.00375907831822309,0,0,0,0.0402283516253388,0.0874169249347363,0.0451705353065246,0,-0.00294304000482085,0.000323422873466791,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.167401668546201,0,0.100623850182175,0,0,0.0161667256526656,0,0,0,0,0.00653966275466816,0,0,0,0.10638344275747,0,0,0,0,0.0157895178638094
X601288.CH.EQUITY,0.00122607459879291,0,-0.108269442605903,0,0,0,0,0,0,0,0,-0.0185069717158396,0,0.110255225079109,0.231900852285132,0,0,0,0,0,0,0,0.0937543152814298,0,-0.0370447068157512,0,0.0104116603637771,0.0563561527198708,0,0
X5.HK.EQUITY,0,0,0,-0.167857875791875,0,0,0,0,0,0.0474516661890503,0,0.0480331111538988,0.146101111251492,0,0,0,0,0,0,-0.0125606970065745,0,0.129108123935158,0,0.140622359056929,0,0,-0.00754185647102087,0,0,0
X3988.HK.EQUITY,0,-2.71050543121376e-20,0,0,0.0288225885888135,0,0,0,0,0,0,0,0.104195648842982,0,0,0,0,0,0,0,0.172821320559963,0,0.0569215364351589,0,0.0077106340007371,0,-0.0045893161215254,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.109846238534328,0.0784156428867759,0,0.157993322428786,0,0.00515542703378562,0,0,0
X600036.CH.EQUITY,0,0,0,0.402637235496042,0,0,0,0,0,0,0,0,0,0,0,0,0.375428941717176,0,0,0,0,0,0.0861004639231569,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178470000976317,0,0,0,0,0,0,0,0,0.187225422391282,0.11785590959958,0.0224181704447635,0,-0.00342017102747987,0,0,0
X2628.HK.EQUITY,0,0,0.153269458554465,0.262295141978771,0,0,0,0,0,0,0,0,0,0.063688273245948,0,0,0,0,0.0854072607954,0,0,0,0,0.216960828735632,0,0,0.00748752858639491,0.0354829551914714,0,0.206740226521057
X601628.CH.EQUITY,0,0,0,0.0561884990146687,0,0,0,0,0,0,0,0,0,0,0.0333585571538963,0,0,0,0.207688669669375,0.419968092288666,0,0,0,0,0,0,0,-0.0243101855720178,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.347605895739307,0,0,0,0.0263190080125758,0,0,0,0,0,0.0754942828096067,0.0808854121676097,0,0,0.136391191825099,0,0,0,0.0191948937433494,0,0,0,0,0.0483682836519806
X601328.CH.EQUITY,0,0.199440105172702,0,0,0,0.010543586883501,0,0,0,0,0,0,0.0740192860487565,0,0,0,0.100084705129605,0.0310688126557825,0,0,0,0,1.73472347597681e-18,0,0.0983939418556239,0,-0.00271421056218482,0,0,0
X3328.HK.EQUITY,0,0.589343530892698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0554888130919668,0,-0.00561910432138956,0,0.0219918321547714,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186393169373266,0,0.205519319270205,0,0,0,0,0,0.138462857707654,0,0,0,-0.0060958607239879,0,-0.0607304397298613,0.00556838008889776
X601319.CH.EQUITY,0,0,0,0.185233533163609,0,0,0,0,0,0,0,0,0.324190075267043,0.231747247393919,0,0,0,0,0,0.348970703105792,0,0,0,0.0749374458201437,0,0,0.0120412901067006,0,0,0
X601601.CH.EQUITY,-0.079551973016314,0,0,0,0,0,0,0,0.0349475290249192,0,0,0,0,0.620327040431971,0,0,0.0108290083212449,0,0.106722903534313,0,0,0,0,0,0,0,-0.00134488716573044,0,0.0244407539672428,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.06715222631894,0,0,0.191152072305326,0,0,0,0,0.187727503849174,0,0,0,0,0.19201942930418,-0.140815400802268,-0.0232934699904095,0.0855268965857364,0,0.302092773003212
X11.HK.EQUITY,0,0.164107675426581,0,0,0,0,0,0,0,0,0.0901830363020787,0,0,0.0353089327729726,0,0,0,0,0,0,0.038410227561215,0,0.160068635938565,0.126659396711212,0.082078210486588,0,-0.0166143929911392,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.121698216036894,0.328574057170695,0,0,0.066845050005581,0.0380397740748663,0,0,0,0,0,0.571629046860731,0,0,-0.0225266379423916,0,-2.16840434497101e-19,3.46944695195361e-18,0,0.0230581958503747
X388.HK.EQUITY,0,0,0,0,0,0,0,0.225519892716358,0,0,0,0.292554169023058,0.0210063362695964,0,0,0,0.0575058418886731,0,-3.46944695195361e-18,0,0,0,0.0789614063051959,0,0,0,-0.0137441839020198,0.0406003467911219,0,0
X000001.CH.EQUITY,0,0,0,0.299451234231959,0,0,0,0,0,0.20194647876286,0,0.012658147715627,0,0.0904631449173561,0,0,0,0,0,0,0.19814601500813,0,0,0,0,0,0,0.0686052658248854,0.0170968261963831,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.086186265798137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183558507502267,0,0,0
VXFXI.INDEX,0,0,0,0,1.68054745850789,0,0,0,0,0,-0.143181283715403,0,0,-0.816652728964149,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,-5.04437487203488,0,0,0,0.462403838348396
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.18097879772757e-06,0,0,0,0,0,0,2.98746619927237e-06,0,0,0.999980123469199,0.999983989816013
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.27207665653613e-07,0,0,0,0,0,0,-3.33662845513328e-07,0.999988608016492,0,-0.999989121911621
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95865983357736e-07,0,0,0,0,0,0,0,-2.11758236813575e-22,0,0,0,-3.3881317890172e-21,0.999976671755421,-0.999970313845874,0
