,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.582108016101155,0,0,0,0,0.116653510545186,0.00701350396616589,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.228684416545033,0.108934767074061,0,0,0,0,0,0,0,0,0,0,0,0,0.103856870653585,0,0,0,0,0.110246214751139,-0.075758971589179,0,0.00749369994858456,0.03291905673007,0,0
X2318.HK.EQUITY,0,0,0,0.17475171711326,0,0,0,0,0,0,0,0,0.196825111874183,0,0.091698037258568,0,0,0,0,0,0,0,0,0,0.220244720171314,0,0.00630941813205352,0,0,0
X601318.CH.EQUITY,0,0,0.0926517207290808,0,0,0,0,0,0,0,0,0.0597363883125013,0,0.1316348811509,0.0128534104416915,0,0,0,0.0261899130780955,0.21183286507433,0,0,0,0,0,0,0.00997881210002202,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0871088677961878,0,0.155844952044628,0,0,0,0,0,0,0,0,0,0.0339366825055149,0,0,0,0.00697699288199614,0.0417535766764176,0,0
X939.HK.EQUITY,0.0141048156054451,0,0,0,0,0,0,0,0,0,0,0.151670091089209,0.0622177145618105,0,0,0,0,0,0.141709403541036,0,0,0,0,0,0.0232114669225868,0,0.00995797055035906,0,0.0390494441644949,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695558635217516,0,0,0.171815358480533,0,0,0,0,0,0.0519337527703507,0,0,0,0,0.0174812628431123,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0601190757738816,0.0055611707873905,0,0,0,0,0,0,0,0.369730257740878,0.0718780254409302,0,0.038993062828037,0.112623313570058,0,0.00858333368643133,0,0,0.0947608178103937
X601988.CH.EQUITY,0,0,0,0.0673224019247123,0,0.0674591052773229,0,0,0,0,0,0,0.0709046635717402,0,0,0,0.0657363489884509,0,0,0,0.0767832077615108,0,0.0505438058562675,0,0,0,0.00166406451766437,0,0,0
X3988.HK.EQUITY,0.0658507127512801,0,0,0,0,0,0,0,0,0,0,0,0.13860416021162,0,0,0,0,0,0.0200970567893426,0,0.0722053222710121,0,0.0211087762863643,0,0.00964013173342471,0,0.0019756395945129,0,0,0
