,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0643138192017092,0,0,0.372077796227377,0,0,0,0,0,0,0,0,0,0,0,0,0.0384572496901535,-1.73472347597681e-18,0.0530124011905564,0,0,0,0,0,0,2.16840434497101e-19,0.0110591287210203,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.438655935385634,0,0,0.079006865718324,0.102291234624345,0,0,0,0,0,0,0,0,0,0.00502159545175911,0,0.0133336500663419,0,0,0,-0.02313236204937,0
X601318.CH.EQUITY,0,0,0,0.214030465354985,0,0,0,0,0,0,0,0,0.156886806929717,0,0,0,0,0.178711077169998,0,0.0616903930183101,0,0,0.109822697506835,0,0,0,0.02432674820563,0,0,0
X2318.HK.EQUITY,0,0,0.368086306027389,0,0,0,0,0,0,0,0,0.142343469450898,0,0,0,0,0,0,0,0,0,0,0,0,0.200902761171629,0,-8.67361737988404e-19,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.00937476210285304,0,0,0,0,0,0,0,0,0,0.0924838746170138,0,0.149279463788959,0,0,0.108229432399371,0,0,0,0.00594811678395286,0,0,0
X939.HK.EQUITY,0,0.162301262711212,0,0.0191350632649622,0,0,0,0,0,0,0,0.0201187734550224,0,0.0718756386938329,0,0,0,0.0375666732318689,0.0282301728559834,0.09240043560941,0,0,0,0.0350440711846947,0.0314942072604584,0,0.00764788945473322,-1.73472347597681e-18,0,0
X601288.CH.EQUITY,0.105633797773413,0.0275773530889877,0,0,0,0,0,0.017525961153881,0,0.114014958985895,0,0,0.00747934416925739,0.0319942176277976,0,0,0,0,0.156186364922963,0,0,0,0,8.67361737988404e-19,0,0,-0.00318159613827227,0,0,0.0521178448372967
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0637485296330664,0,0,0.0797153265680165,0,0.416634514297586,0,0,0.0155176986391634,-0.0482517246959511,0,0,0,0.438506656631489,0,0,-0.00945518289794036,0,-0.120258030060969,0.115587007605285
X3988.HK.EQUITY,0,0.120026682244866,0,0,0,0,0,0,0,0,0,0,0,0.1567381616739,0,0,0,0,0,0.0620560935210701,0,0,0,0,0,0,-0.00637354761862766,0,0,0
X601988.CH.EQUITY,0.0687658260937025,0,0,0,0,0.0688896998315707,0,0.0414928624484164,0,0,0,0,0,0.0858798395842652,0.107184060757146,0,0,0,0.0469209049314786,0,0,0,0,0,0,0,-0.0106352094550968,0,0,0
X600036.CH.EQUITY,0,0,0.295054415211711,0,0,0,0,0,0,0,0,0.0102262805174012,0,0,0,0,0,0.347599231754632,0,0,0.106796524495481,0,0.0479843417492511,0,0,0,0.0219422248928855,0,-0.169289742214226,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0876233150179997,0,0,0,0,0,0,0,0.284305408393724,0,0.0184822099948527,0.0902143353802673,0.113972184549819,0,0.0152714783117818,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108009562743813,0,0,0,0,0.0721043704392339,0,0,0,0.297310912424321,0,0,0,0.0191661359545123,0.0201740944761302,0,0
X2628.HK.EQUITY,0,0.0185885438774646,0,0,0,0,0,0,0,0,0,0,0.217605771945858,0,0,0,0,0,0.185202807574864,0,0.130125732205653,0,0,0.10222576905368,0.127611670184986,0,0,0.0238117628416853,0,0
X601166.CH.EQUITY,0,0,0,0,0.120403067048972,0,0,0,0,0,0,0,0.0436099064236102,0,0,0,0,0,0.00070532473791062,0.122518386105166,0,0,0.331426033004498,0,0,0,-0.0143771814046836,8.67361737988404e-19,0,0.0581135551017096
