,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0.0391314759776397,0,0,0,0,0,0,0,0,0,0,0.225947015821169,0,0,0,0,0,0,0.127343911773171,0,0,0,0.0588021158486958,0,-0.00448596092096412,0.0861487310400447,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.139284231029908,0,0,0,0,0.0184514747447258,0,0,0.268251202229181,0,0,0.00806747041386131,0,0,0.00195655959921631,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112794451981944,0,0,0,0.012046073367507,0,0,0.13435295836049,0,0,0,0.148865223348508,0,-0.0049963562519266,0.133164539889878,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0820109833811436,0.00130778929960779,0,0,0,0,0,0,0.22350326393627,0,0,0,0,0,0,0.0649171839942717,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270327856665077,0,0,0,0,0,0.0357921890788509,0.253031972377392,0,0,0,0,0,-0.00278188726907525,0.0667917745028319,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.082058109863462,0.192517123651531,0,0,0,0,0,0.0397834749457116,0.25775230418969,0,0,0,0,0,0.00637712323349091,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00930662967809447,0.0219643484525224,0,0,0,0,0,0.0139973571458379,0.213139767678781,0,0,0.0653994450681853,0,0,0,0.0177915559310715,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273391345680557,0,0,0,0,0,0.0895129506005996,0.0690559346845963,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016336335809793,0,0,0,0,0,0.0256664124683078,0.059259561482992,0,0,0.0885088207314323,0,0,0.00294451792223048,0.0990340566460558,0,0
X5.HK.EQUITY,0,0,0,0,0.438201948982785,0,-0.246816657931757,0,0,0,0,0.204431246199872,0,0.11054107397634,0,0,0,0,0,0,-0.0268924210987996,0.0263180045773975,0.0901340193840612,0,0,0,0.0131550931685234,8.67361737988404e-19,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190844317428429,0,0,0,0,0,0.0692764472251227,0.299606854623352,0,0,0,0.0171168547760884,0,-0.00320044770398848,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.123896023725658,0.366485258954988,0,0,0,0,0,0,0,0.00904765441982027,0,0,0.197074778649377,0,-0.0163700973990979,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434251131362469,0,0,0,0,0,0.0282198675763743,0,0,0,0.254492996518452,0,0,0.0304224583111249,0.0678084410200235,0,0
X2628.HK.EQUITY,0,0,0,0,0.279308117864972,0,0,0,0,0,0,0,0.139681232164279,0,0,0,0,0,0,0.154343610849949,-8.67361737988404e-19,0,0,0.22053944583728,0.225720959363339,0,-0.016860787057541,0.041885578926055,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0.0513839388213964,0,0,0.16341950107356,0.0443592680535259,0.0519724574287316,0.100554889980121,0,0,0,0,0,0,0.142928281230284,0,0,0,0.118959280657941,0,-0.00396508569145833,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574707838965567,0,0,0,0.00861641032937652,0.12724683664305,0.063782769800681,0.146068727651925,0,0,0,0,0,0,0.0130914019176006,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0287280846427295,0.101438414980168,0,0,0,0.0234842965754762,0,0,0.404594244481955,0,0,0.095129394420284,0,0,0.00669664506002513,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.307151761118701,0.231095122266189,0,-2.16840434497101e-19,0.0794258695588621,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892097196369367,0,0,0,0,0,0.0207408248779055,0.271318729350545,0,0,0.147842992155718,0,0,0,0.0479572913366371,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441531748550241,0,0,0,0,0,0,0,0.0071081054561436,0.128850967331905,0.544334318705609,-0.0378936247979577,-0.0322902013969528,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392389160911379,0,0,0.136843278710075,0,0.337378287021636,0,0,0,0,0.099849420920274,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0746202584441782,0.372806885584363,0,0,0,0,0,0,0,0,0,0,0.0428914813239313,0,0,0.112298956993189,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.171810148877766,0,0.248235969568997,0,0,0,0,0,0.0292885756404073,0.104859925201063,0,0,0,0,0,-0.0119358256591246,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.110622658417313,0,0,0,0,0,0,0.287596788763416,0.210478878644236,0,0,0,0,0,0,0.143523776256105,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376288801983535,0,0,0,0.115347573684133,0,0,0,0,0,0,0,0,-0.00919056186432465,0.144632045046925,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.282060096623022,-0.218021260896652,0,0,0,0,0,0,0,0,0,0,-0.0523228445986956,0,0,-0.214498383642628,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.305096650378169,0,0,0,0,-1.27876287193496,0,0,0.924899381031028,-0.11855643304719,0,0,0,-3.95206591614157,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30669610175803e-08,0,0,0,0,0,0,-1.63127432459748e-07,0,0.999997827670538,0.999999108492054
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,6.37576424182653e-06,0,0,0,0,2.11758236813575e-22,0,0,0,0,0,0,0,0,0,0.99996952449001,0,-0.999945650990007
CN210SLOPE,0,0,0,0,-9.28797992572389e-07,0,0,0,0,0,0,0,0,-3.75257440393651e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.26981723188307e-07,0.999987789475509,-0.999975526007551,0
