,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995324320515915,0,0,0,0,0,0,0,0,0,0.316269926370958,0,0,0.00728543165253371,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0405680410757322,0.21873435235061,0,0,0.206928273782241,0,0,0,0,0,0,0.0405219909740657,0,0,0,-0.00158059996028282,0.110972131771351,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155374360779761,0,0,0,0,0,0,0,0,0.00415529821391667,0.244377587944539,0,0,0.0200393134645669,0.136077392267362,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0411951888182322,0.0814209845532483,0,0,0.0429226058954109,0,0,0,0,0,0.00224999688858548,0.0897713137268862,0.132072079449545,0,0,-0.00594994509976903,0.16275366602323,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.380398905141591,0.0392319219724611,0,0,0,0,0,0,0,0,0.0610262462762107,0.0808253900232317,0,0,0,0.0601745374870165,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.131234080798697,0.176673855609295,0,0,0,0,0,0,0,0.11347228926967,0.0379082965648286,0.20090980964402,0,0,0,0.0154809096483994,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113216023431244,0,0,0,0,0.0419028211727081,0,0.221973040433413,0,0,0,0.0315912307647507,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.153141246284958,0,0.0925553186220203,0.00207943973728851,0,0.137135698389326,0,0,0,0,0,0.0792764025465038,0.114439210355755,0.0307328878264007,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244176858593556,0,0,0.0791662012468349,0,0,0,0,0.0866946728714022,0.0355098142653389,0.128342691429843,0,0,0,0.0270374758618327,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0858346815771813,0,0.128250835295477,0,0,0,0.463561142880451,0.0144008233318554,0,0,0,0,0,0.0566658766870716,0,0,0,-0.0315634877074192,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.422888986795052,0,0,0,0,0,0,0,0,0,0.308838210406077,0,0,0,-0.0167250924027151,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.222803122548705,0,0.11555746957759,0,0,0,0,0,0,0.0819898267030155,0,0,0.21774883627619,0,0,0,0,0.107596940326742,0.0353290800462801,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0473976093231546,0,0,0.137252336126682,0,0,0,0,0,0,0,0.192115415672547,0.314192649565932,0.230011836287978,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.489782001963314,0,0,0,0,0,0,0,0,0,0,0.110987082884592,0,0,0.0340998551003633,0.131837032127902,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0335989802154081,0.0330343025902366,0,0,0,0,0.175484769071693,0,0,0.0598424951490494,0,0.121652659732669,0,0,0,0.0164181453583007,0,0
X3328.HK.EQUITY,0,0.163526436978548,0,0,0,0,0,0,0,0,0.0910091674199324,0.0103190592462296,0.256266482634669,0,0,0,0,0,0,0,0,0.0159521769395379,0.145705615887821,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.132680755008408,0,0,0,0,0,0.0727352279737287,0,0,-8.67361737988404e-19,0,0.496158377408109,0,0,0.00654601441132217,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536824407885088,0.344291634770014,0.386043816252382,0,0,-0.0137466109421142,0,0,0
