,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12317938099402,0,0,0.16129489433751,0.0468693077410813,0,0,0,0,0.0376158396288073,0,0,0,0.00954136883550457,0.048981747048868,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.26900949494532,0,0.106293777061503,0,0,0,0,0,0,0,0,0.125347055082016,0,0,-0.000776445572320181,0.0749449018774718,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108805274314975,0,0,0,0.204847803264802,0,0,0,0,0.0128179285910027,0.00560198987777004,0,0,0.0152289134916023,0.0804979477500802,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000523411680599366,0.0146972390322541,0,0.179011917703628,0,0,0,0,0,0,0,0.0398465760424062,0.235416934338492,0,0,-0.0115496968254656,0.156072040926976,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.389100894635719,0,0,0,0,0,0,0,0,0.0445083106504394,0.086533128318778,0.0559080368762808,0,0,0.00296304326879394,0.0536660300835405,0,0
X601318.CH.EQUITY,0,0,0,0,0.210151149847445,0,0,0,0,0.0467631260060179,0,0,0.112835782796955,0.12352050769709,0,0,0,0,0,0.195054060630794,0,0,0.0416761535654721,0,0,0,0.0116439566235482,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154964770929309,0,0,0,0.0921500942400585,0,0.0495766715857652,0,0,0,0.00928270155757914,0,0,0,0.0253544971871499,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.12252201031141,0.0368691133482418,0,0,0.33557149605868,0,0,0,0,0.0135762909575345,0,0,0.0598690279795052,0.117166798422312,0,0,-0.00612399637934753,0.0318335129824829,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047099205648764,0,0.0631214981652926,0.0850170413348969,0,0,0.0853732123292862,0,0,0,0.000353953028083677,0.0684775151183839,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0147825023574605,0,0.202441415311107,0,0,0,0.423787256304374,0,0.026845884831855,0,0,0,0.0274290399430798,0.00584492058257133,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.124910153750724,0,0,0,0,0,0,0,0.369685630081673,0.0392270890814989,0,0,0,0,0,0,0,0.0166570905329151,0,0.296228650155534,0,0,-0.0119833886875605,0,0.00073491701946771,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.195070683067798,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.176349232765463,0,0,0.224367208260055,0,0,-0.0039322262288476,0.0790110381251452,0.0301683869948032,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.034715592632833,0,0,0.296289989925009,0,0,0,0,0,0.313138347993774,0,0,0,0.346195254772059,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.382655232099624,0,0,0,0,0,0,0,0,0,0.314867271941959,0,0,0,0.0186099283946329,0.0965212177270322,0,0
X3328.HK.EQUITY,0,0.0996011591762556,0,0,0,0,0,0,0,0,0.130436430916763,0,0.193181173717571,0,0,0,0,0,0,0.0450731052961743,0,0.0495019737646152,0,0.0933164722778544,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464047907637806,0,0,0,0.274469784128081,0.0540174966049002,0.0858650642337578,0,0,0.0653266011097603,0,0,0,0.00551671872769041,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.187287576075319,0.0790685582062772,0,0,0,0,0.0962192210344642,0.122134714104898,0,0,0.24873353578846,0,0,0,0.00865449932748162,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0532257544640427,0.12266145898165,0,0,0.0824137647011687,0,0,0.0209735247146104,0,0,0.12205530810278,0,0,0,0,0.0800542981675161,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14427821393951,0,0,0,0,0,0,0.0418071194943639,0,0,0.211539107474853,0.25344973372067,0,0,-0.00815264236407435,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.212869867768093,0,0,0,0,0.289353499068991,6.93889390390723e-18,0,0,0,0.393917362521267,0,0,0,0,0.068993201884207,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.143104113244689,0,0.278928993614049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255614140647882,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0865405244662135,0.294884763327766,0,0,0,0.0163320221879832,0,0,0.333619901385315,0,0,0.0814003830718309,0,0,-0.00390742610815845,0.044326555615257,0,0
