,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.486685959072864,0,0,0,0,0,0,0,0.175997847370537,0,0.0219614871825201,0,0,0,0,0,0,0,0,0,0,0,0,-0.00825323384391119,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0391228872723487,0,0,0.144122492853528,0.0147745589200758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516323484187671
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,7.7837277971244e-05,0,0.0424380188522234,0.0142598704254183,0,0,0.367455341448883,0,0,0,0,0,0,0,0,0,0,0.00902486630674641,0.00724628373813442,0.0149479883621882,0
X939.HK.EQUITY,0.0661802602300998,0,0,0,0,0,0,0,0,0,0,0.0887835001156764,0.143414587588277,0.104461062307776,0.0458492033842929,0,0,0,0,0,0,0,0,0,0,0,0,0.0407413130132873,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0272049948694075,0.124292324571195,0.16358870414137,0.0338110560726722,0,0,0,0,0,0,0,0,0,0,0.0604485492285053,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.171837652099151,0.0643705371100062,0.0111722398017034,0,0,0,0,0,0,0,0,0.010514651174794,0,0,0.152032062147,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0389069704952968,0.0184025374233358,0,0,0,0.259609997877329,0,0,0,0,0,0,0,0,0,0,0,0.00588291087122184,0.000814971766402121,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.25226844008781,0.0344389104549637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429500877200219,0,0
X601988.CH.EQUITY,0,0,0.0878031199245188,0,0,0,0,0,0,0,0,0,0,-0.00173218837894547,0,0.224569694225886,0,0,0,0,0,0.0627409635263863,0.0384886382241451,0,0,0,0,0.0127626010437932,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.21536724147473,0,0.0546755393349541,0.0799755582910912,0,0.0384133607625706,0,0,0,0,0,0.00127156881804243,0,0.173476441309391,0.041609573737641,0,0,0,0,0.00748520990292429
X601628.CH.EQUITY,0,0,0,0,0,0.0500319641566874,0,0,0,0,0,0.138342592892662,0.105730784759941,0,0,0,0,0,0.289344848833666,0,0,0,0,0,0.259762583870516,0,0.0030236044155617,0,0,-0.0317660169559429
X2628.HK.EQUITY,0.0164932676767724,0,0,0,0,0,0,0.346579601271842,0,0,0.150516256238109,0,0.322981429629154,0.0844041756707852,0,0,0,0,0,0,0,0,0,0,0.0202292313860139,0,-0.0455171589721951,0,0,0
X1299.HK.EQUITY,0,-0.168998935541668,0,0,0.15017134605711,0,0,0,0,0,0.102021945924283,0.129993032509286,0,0.298433175221198,0,0,0,0.162614960438409,0,0,0.161217641265428,0,0,0,0,0,0.018448363753169,0,0.062492916743364,0
X5.HK.EQUITY,0.151483298541814,0,0,0,0,0,0,0,0,0,0,0.0560854454144274,0.180114008946306,0,0,0,0,0,0,0,0,0.14204649593344,0,0,0.0586747700977768,0,-0.0314095383804644,0.379353899691938,0,0
X388.HK.EQUITY,0,0,0,0,0,0.188923651114024,0,0,0,0,0,0.0337256081591967,0.239915270961607,0.0167460731613572,0,0,0,0,0,0.180315071310628,0,0,-0.195699132305955,0,0,0,0.0186042543413318,0,-0.0194038216817914,0.039749502333525
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0289399847876157,0.0641234538112855,0,0,0,0,0,0,0,0.272080169699903,0.146128536161105,0.0372959088535507,0,0,0,0,0,0,0,0
