,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0496574376330584,0,0,0,0,0,0,0,0.0183739084645833,0,0,0,0,0,0,0.0627309740777806,0,0,0,0.0657414112295533,0,0.0556555489713563,0.0456946344809743,0.0337524904246901,0,-0.000445323043942989,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.580320970709996,0,0,0,0,0,0,0,0,0,-0.018185889761409,0,0,0.00522306582033654,0.0171488114862806,0,0,0,0,0,0,0,-0.0182057372624485,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0959118070190818,0.0361112404114745,-0.0574502612215565,0,0,0.0447138882814445,0.19639658990971,0,0,0,0,0.092074385564485,0.304205430604457,0,-0.0395721745996166,0.0532232394154109,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.137117407850514,0.0163467081609593,0,0,0,0,0,0.0308026808862082,0,0,0,0,0.0122973950711223,0,0,0,0,0,0,0,-0.00392576445727754,0,0,0
X939.HK.EQUITY,0,0.592600402110673,0,0,0,0,0,0.00459721632299586,0,0,0,0,0.0937592593883755,0,0,0,0,0,0.0334291506116965,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0105602660876764,0,0,0,0,0,0,0,0,0.110845302034336,0,0.11731999356533,0,0.0315899129677097,0,0,0,0,0,-0.0146394306086928,0,0.0307164360302658,0
X2628.HK.EQUITY,0,0,0.193852926971732,0,0,0,0,0.212262534224859,0,0,0,0,0,0,0.183035563591057,0,0,0,0,0,0.106391794281253,0,0,0.213968733395035,0,0,-0.018047085681727,0.0507553926783203,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0.488173983109772,0,0,0,0,0,0,0,0,0.581198741725517,0,0,0,0,0,0,0,0.352818627635713,0,0,-0.00188883306523124,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0293467909092529,0,0,0,0,0.0131940330964406,0.00567609004464581,0.0287295800052215,0,0.0430980994072503,0.0160967421083481,0,0.0448495845702853,0.128907524282637,0,-0.00081785971133347,0,0,0
X600036.CH.EQUITY,0,0,0.160558986961824,0,0,0,0,0.145987712738542,0,0,0,0,0,0.00341053291927449,0,0,0,0,0.258164368835167,0,0.0346019725955586,0.139909067416548,0.0394828829121121,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0.08031732317317,0.15642557945272,0,0,0,0,0,0,0,0,0,0,0,0.0963671319601395,0.00742845952275402,0,0,0.075605778531259,0,0,0,0,0,0,0,0,-0.00163359212033048,0,0
X601988.CH.EQUITY,0.0607749552810024,0,0,0,0,0,0,0,0,0.0835158370433282,0,0,0,0,-0.011246848710112,0,0.321900078590162,0,0,0,0,0,0.113125354539096,0,0,0,0.0146647805366791,0,0,0.115984341041839
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670833408231638,0.30893110747314,0,-0.0978686422536353,0.165231098868831,0,0,0,0,0,0,0,0,0.0298337750842164,0,-0.139960941714639,0
X5.HK.EQUITY,0,0,0,0.40487474009395,0,0,0,0,0,0,0,0,0.279530713238156,0,0.00781443820655933,0,0,0.076429487312796,0,0,0,0.0441605816417597,0,-0.159753814373881,0,0,-0.0548692811462796,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.610711319630668,0.00423611389052854,0,0,0,0,0.0615692045342796,0.0942879094966479,0,0.200698053512992,0,-6.93889390390723e-18,0,-0.275677292469077,0,0,0,0,-0.42893441254912,0,0,-1.38777878078145e-17,0.0465699883026296,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.12801047197771,0,-0.0648410072899858,0,0,-0.0136457652305173,-0.0989324786103076,0,0,0,0.48759033866707,0,0,0,0,0,0,0.40611260305472,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.059322559851052,0,0,0,0.774040864274474,0,-0.0344289714171216,0,0,0,0,0.150874326503641,0,0,0,0.00180744674733306,0,0,0,0,0,0.0438599005806799,0
X601066.CH.EQUITY,0,0,0,0,0.227620112306755,0,0,0,0,0,0,0,0.0113828524137679,0,0,0.942317695120696,0,0,0,0,0,0,0,0,-0.00189399992499396,0,0.0792100408725708,0,-0.0750931953084168,0.088370690447112
X000001.CH.EQUITY,0,0.051226195928245,0,0,0,0,0.0686772688770697,0,0,0.851756162698268,0,0,0,0,0,0.067974201123132,0.0126324537323982,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,-0.0312654735677119,0,0,0,0,0.0810901275285261,-0.0595089614383398,0,0,0,0,0,0.188347319757289,0.00795635924413881,0,0.167490922407851,0.149578848039824,0.0524601656712636,0,0,0,0,-0.0496747294437922,0,0,0.0107349870803019,0,0,0
