,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.115389567756488,0,0,0,0,2.16840434497101e-19,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0843911238213071,0,0,0,0,0,0.0115435084560916,0,0.0686919127419502,0.0907064477557844,0,0,-0.00296162190682006,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.549483173836059,0,0,0,0,0,0,0,0,-0.0102691263533975,0,0,0.000115719159078294,0.00756240803017108,0,0,0.104163002641858,0,0,0,0,-0.025624837402061,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.021868727140625,0,-0.012448300461313,0,0,0.178002812766748,0.0190309367082526,0,0,0.0315007642372249,0.0271386243299231,0,0.35105742882726,0,-0.0416512765997995,0.058813015130904,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.016344955906498,0.137117406529577,0,0,0,0,0,0.030805794936427,0,0,0,0.0123026576626009,0,0,0,0,0,0,0,0,-0.00392543083614595,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391263985242559,0.125621049203028,0.00857799099643528,0.109669895747735,0,0,0,0,0,0.0259393873280268,0,0,-0.000623741777435811,0,0,0
X939.HK.EQUITY,0,0.58232290008751,0,0,0,0,0,0.0143598266948016,0,0,0,0,0.134031248965872,0,0,0,0,0.00486477158250342,0.000816471843826098,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.460220923338003,0,0,0,0,0,0,0,0,0.591087094149146,0,0,0,0,0,0.317767728824199,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0.163691074666266,0,0,0,0.30314012460178,0,0,0,0,0,0,0,0.111729979845332,0,0,0,0,0,0,0,0.0639822397355793,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0493016174966855,0,0,0,0,0,0,0.031880174952181,0.00604099536515069,0,0,0.0172723008853891,0.0665223183676552,0,0.125309195727488,0,-0.00282282376730497,0,0,0
X600036.CH.EQUITY,0,0,0.160179862562177,0,0,0,0.141290427957016,0,0,0,0,0,0,0,0,0,0,0.262016057742727,0,0,0,0.146388691851981,0.0100114734952614,0.0430635957408242,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0157899896195435,0,0.133094006442726,0,0,0,0,0,0.27597884528679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0.184956029790888,0.110181897828957,0,0,0,0,0.000984286604740925,0,0,0,0,0.00917096720248913,0,0.0848145760855192,0,0,0.0819413225570133,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.063166221043607,0,0,0,0,0,0,0.0686339696834523,0.322873730368456,-0.0611296937132076,0,0,0.101805502398303,0,0,0,0,0,0,0,0.0439460388440582,0,-0.139924977461621,0.122717344073016
X5.HK.EQUITY,0,0,0,0.492519715895963,0,0,0,0,0,0,0,0,0.276967120614902,0,0.0204349148371524,0,0,0,0.0704204587771116,0,0,0.0479973998419836,-0.169753072539486,0,0,0,-0.058763669673882,0,0.029692260995606,0
X388.HK.EQUITY,0,0,0,0,0,0,0.0534631114606433,0.553310834110286,0,0,0,0.0189460338501193,0.0558200242527813,0.0755881486861225,0,0,0.119820492246563,0,0,-0.197472238393467,0,0,0,0,-0.38236831246609,0,0,0,0.0325157096182297,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.0143483050056906,0,0,0.159138817142283,0.560135308311521,0,0,-0.0191729019476922,0,0,0,0.092035002016157,0,0,0,0,0.150636818753177,0.00109415719109345,0,0,0,0,0.0566325743787557,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.144041712132832,0,0,-0.0501609186052389,0,0,0,-0.0943599660609434,0,0,0,0,0.491271599831479,0,0,0,0,0,0.372982097294703,0,0.0124678417389701,0,0,0
X000001.CH.EQUITY,0,0.0512261959282425,0,0,0,0,0,0.0686772688770742,0,0.851756162698264,0,0,0,0,0,0.0126324537323991,0.0679742011231327,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920405703220739,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,-0.0332199319906826,0,0,0,0,0,0,0.0901963809658846,0.0714308802433696,0.113928869859987,0,0.0932909845314164,0.114989343897932,0,0,0,0,0,0,0,0.0158035699701415,0,0,0
X601328.CH.EQUITY,0,0,0.049748958513664,0,0,0,0,0.00395590492808803,0,0,0.0780283063827148,0,0,0,0,0.0229686339491692,0,0.0286874636436901,0,0,0,0,0.113891589079462,0.0293646304959147,0,0,-0.00753099222699652,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.227954877587946,0,0,0,0.130859871928444,6.93889390390723e-18,0,0,0.104371895116337,-0.182353149878868,0.0724129377325602,0,0,0,0.0241569650929314,0,0,0,0,0,0,-0.100393956400295,0.0514761578306529,0.0119600395220091,0
X601601.CH.EQUITY,0,0,0.184929868114123,0,0,0,0.208335787688298,0,0,0,0,0,0,0,0,0.0531751903080413,0,0,0,0,0,0,0,0,0.470577857868138,0,0,0.00577827333712323,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.263376214906163,0,0,0,0,0,0.093853721094021,0.00878955861410995,0,0.00195695773549085,0,0,0,0,0,0.154187874811267,0,-0.0240269384176466,0,0.0366964116999092,0
X601319.CH.EQUITY,0,0,0.342053961742964,0,0,0,0.0255728491291792,0,0,0,0,0,0,0,0,0,0.0991361098952355,0.265556822262924,0,0.0377476656510254,0,0,0.124317565745088,0,0,0,0.0538500886792634,0,0,-0.177224887287977
FXI.US.EQUITY,0,0.114383016355747,0,0,0,0,0.0817235386456636,0,0,0,0.00685338289550673,0,0.121064930536155,0,0,0,0,0,0.0151895091726262,0,0,0,0,0,0,0,-0.124294208165026,0.0239849683366215,0,0
VXFXI.INDEX,0,0,0,0,0,0,0.168660166115509,-0.436188953767801,0,-0.845594633370456,0,0,0.308059585972997,0,-0.190345486243117,0.587331598053931,0.17970960769337,0,0,0.225551460808625,0,0,0.289841018954315,0,0.246537735884297,-2.89879742846187,0,0,0.402554631271684,-0.276111222327719
CN10YR,0,0,0,0,0,0,6.48012258855028e-06,0,0,0,0,0,0,0,0,3.78454970145999e-06,0,0,0,0,0,0,0,0,0,0,6.72444190305671e-07,0,0.999954158537854,0.999939748812342
CN2YR,0,0,0,0,0,0,1.20386493910697e-06,0,0,0,0,0,0,0,0,0,0,0,1.32650732211154e-06,0,0,0,0,0,0,0,0,0.999977393239381,0,-0.999974176774615
CN210SLOPE,0,0,0,0,0,0,0,-2.48971098316144e-06,0,0,0,0,0,0,-3.89061197867769e-06,0,0,0,3.8707705640619e-06,0,0,0,0,0,0,0,5.29395592033938e-23,0.999964966969653,-0.999963334528306,0
