,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.374790258318288,0,0,0,0,0,0,0,0,0.0749650324820101,0,0,0.0302604181210689,0,0,0,0,0,0,0.0214929436739308,0,0,0.00549832698030024,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.391348994639231,0,0,0,0,0,0,0,0.081557271818519,0,0,0,0,0,0,0.00476696893883938,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.303853092856659,0,0,0,0,0,0,0,0,0.143299206098453,0.06099446895101,0,0,0,0,0,0,0,0,0,0,0,0,-0.011544486995537,0,0,0
X601318.CH.EQUITY,0,0,0.00340552395986891,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0205080035164271,0.369344070672612,0,0,0.0730302281863372,0,0,0,0,0,0,0.0215749709658043,0,0,-0.00429907592535404,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150599308621289,0,0,0.121941220111913,0,0,0,-1.73472347597681e-18,0.0554138854936113,0,0,0,0,0.00361209954445405,0,0,0
X939.HK.EQUITY,0,0.0584767088925186,0,0,0,0,0,0,0.0388942512354412,0,0,0,0,0.0949623082516601,0,0,0,0,0,0,0,0,0,0,0,0,0.00305264832659897,0,0,0
X601288.CH.EQUITY,0,0,0,0.0339480134355181,0,0,0,0,0,0,0,0,0,0.11191325281327,0,0,0,0,0,0,0,0.096050106502475,0,0,0,0,0.000237251643293099,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.15810993083915,0,0,0.046442331940834,0,0,0,0,0,0,-1.73472347597681e-18,0.115677378624857,0,0,0,0.00501677067980639,0,0,0
X3988.HK.EQUITY,0,0.360280049654877,0,0,0,0.206180278640962,0,0,0,0,0,0,0.0666384950040739,0.0339778732327664,0,0,0,0,0,0,0,0,0,0,0,0,0.00176776357698534,0,0.00436994412208673,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146154283118757,0,0,0.0152731111585444,0,0,0,0.0315867945301752,0.0501505785172201,0,0,0,0,0.0129096990368805,0,0,0
X600036.CH.EQUITY,0,0,0,0.208141008819469,0,0,0,0,0,0,0,0,0,0.156441345400419,0,0,0,0,0,0,0,0,0,0,0,0,0.00641386037535986,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871749993452457,0,0,0.19327767391805,0,0.147340098904017,0,0,0.073964521776939,0,0,0,0,0,0,0,-0.0487668910663304
X2628.HK.EQUITY,0,0,0,0.0783239140308834,0,0,0,0,0,0,0,0,0,0.378569291246642,0,0,0,0,0,0,0,0.0606422973066666,0,0,0,0,-0.0155806017608287,0,0,0
X601628.CH.EQUITY,0,0,0,0.106316256219067,0,0,0,0,0,0,0,0,0,0,0,0,0.100695184815538,0,0,0,0.0825122959245623,0,0,0.652892254260768,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.110611278434331,0,0,0,0,0,0,0.121554278680563,0.0399504857330363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.005408102885671,0,0,0.393630811863475,0,0,0,0,0.0594654132937846,0,0,0,0,0.00784432335332435,0,0,0
X601166.CH.EQUITY,0,0,0,0.135949135508314,0,0,0,0,0,0,0.330728442238633,0,0,0.192015942335534,0,0,0,0,0,0,0,0,0,0,0,0,-0.000695342096929251,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00896466290102193,0.0475721811798064,0.144483990852672,0.0220043047511329,0,0,0,0,-0.0489060614047562,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.174795310337108,0,0,0,0,0,0,0,0,0.0116902652670262,0,0.129820220254633,0.0235624604188118,0.0972825321107395,0,-0.00576285524119686,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0907220139231028,0,0,0.124774866865018,0,0,0.128099968742016,0,0,0,0,0,0,0,0,0,0.00866005271800727,0,0,0
X601319.CH.EQUITY,0,0,-0.653143023372315,0,0,0,0,0,0,0.654282294081622,0,0,0,0.505874731530957,0,0,0,0,0,0,0,0.582358569272527,0,0,0,0,-0.0296902362764314,0,0,0
X000002.CH.EQUITY,0,0,0,0.339166782527374,0,0,0,0,0,0,0,0,0,0.2745023298475,0,0,0,0,0,0,0,0,0,0,0,0,0.0264577132016455,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154818102480172,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299408309600391,0,0,0
X601601.CH.EQUITY,0,0,0,0.199526825800399,0,0,0,0,0,0,0,0,0.0363162714461727,0.35916694048024,0,0,0,0,0,0,0,0,0,0,0,0,0.0131211631787231,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.108158375871608,0,0,0,0,0,0,0,0,0,0.0899710283945041,0,0,0,0.00660948282887719,0,0.0345130200350544,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174394014198155,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11967420275635,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106531168517142,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217394867034937,0,0,0
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00204164136999e-07,1.51062091824614e-06,0,0,0,0,-1.00202940654994e-06,0.999972319056338,0,-0.999961935644453
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76932280825974e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999977241926002,-0.999984066470624,0
