,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.272181211812615,0,0,0,0,0,0,0,0.0904123625327505,0,0,0,0.091652124060611,0,0,0,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.457985536426914,0,0,0,0,0,0,0.0438901094856904,0.000304638469236822,0,0,0.0158902711613412,0,0,0.0269367373195841,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.0681708424290631,0,0,0,0,0,0,0.0340480684555416,0,0.330739081296725,0,0,0,0,0,0,0.00831441635917774,0,0.110838272281862,0.0751459074401159,0,0,0,-0.0192110986262739,0,0,0
X2318.HK.EQUITY,0,0,0.363303819298975,0,0,0,0,0,0,0,0,0,0,0.179395740793315,0,0,0,0,0,0,0,0,0,0.057067173782973,0,0,-0.010923390451197,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0889904144063858,0,0,0,0.389220743206757,0,0,0.00613391824899328,0,0.024872569111878,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.31390776474801,0,0,0.0235872771078288,0,0,0,0.0300587577693598,0,0,0,0.00519563101797839,0,0,0,0,0,0,0.0126356481703201,0,0,0,0,0,0,-0.00446310262156913,0.00804942784104097,0.0177843733056322,0
X601288.CH.EQUITY,0,0,0,0,0.147434028072313,0,0,0,0,0,0,0,0.104358630499282,0,0,0,0,0,0,0,0,0.082690206964999,0,0,0,0,-0.00176626338442401,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0483258483200825,0,0,0,0,0.0257421035051304,0,0,0,0,0,0,0.0313358157789333,0.122870044938833,0,0.00427131803752222,0.0294920887824966,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.401189917847732,0,0,0,0,0,0,0,0.0296136254805877,0,0,0,0,0,0,0,0,0,0,0,0,-0.00713198904257071,0.00666882337946962,0,0
X601988.CH.EQUITY,0,0,0,0,0.088254924136244,0,0,0,0,0,0,0,0.0998106806286088,0,0,0,0.157304648240209,0,0,0.0409363757766689,0,0.0346049142648182,0,0,0,0,0.00632139709790799,0,0,0
X600036.CH.EQUITY,0,0,0.193881239523463,0,0,0,0,0,0,0,0,0,0.042306188616084,0,0,0,0.135415851965275,0,0,0,0,0,0,0,0,0,0.0164030887355203,0,0,0
X1299.HK.EQUITY,0,0,0.0336149512709352,0,0,0,0,0,0,0,0,0,0.0298940046244749,0,0,0,0.0205850900125536,0,0,0,0.114606098665006,0.0654674870769782,0,0,0.269093604665438,0,0.00316843032269565,0,0.0855446755099891,0
X601628.CH.EQUITY,0,0,0.107726425184139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115091257010352,0,0,0.0836897968031337,0,0,0.647321171053965,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.334545405701503,0,0,0,0,0,0,0,0,0.0729620349122579,0,0,0,0,-0.0273798661947514,0,0,0
