,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.444274249911242,0,0,0,0,0,0,0.0924406719723909,0,0,0,0,0,0.0204428565554307,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0212664462282084,0,0,0,0,0,0,0,0,0.0887210869874051,0,0,0.146090693673137,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0
X2318.HK.EQUITY,0,0,0,0.375958025068258,0,0,0,0,0,0,0,0,0.176787841131393,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115007826958011,0,0,0
X601318.CH.EQUITY,0,0,0.213555736929406,0,0,0,0,0,0,0,0,0,0,0.320071142232748,0,0,0,0,0.0885075321046471,0,0,0.0534823552182537,0,0.0278634735089904,0,0,-0.00432937640108789,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033880896235392,0,0,0.300147294911455,0,0.0289312314903681,0,0,0.0607618403423186,0,0,0,0,0.00335917966685249,0,0,0
X939.HK.EQUITY,0.0619215264908051,0,0,0,0,0,0,0,0,0.0316183327206137,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0811669087113771,0,0,0,-0.00326257216433115,0,0.00844371396635706,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0403540124000541,0,0,0.102439770333755,0,0,0.0146138658238126,0,0,0,0,0.0991088844133152,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.160892836888666,0.00875073527975893,0,0.0740866056141495,0,0,0,0,0,0,0,0.0388976298859733,0,0.0456583616082863,0,0.00575873366473503,0.0500205729593663,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750456444885374,0,0,0.181562524814559,0,0.0576922685582656,0,0,0.0294053806353015,0,0,0,0,0.0088550043860122,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.424231836339804,0,0,0,0,0,0,0.0243602612902661,0,0,0,0,0,0,0,0,0,0.0235276235971339,0,0,0,-0.00712255617240586,0.0095039789091485,0,0
X600036.CH.EQUITY,0,0,0,0.135602875580309,0,0,0,0,0,0,0,0,0,0.0978863432436029,0,0,0.32073830863806,0,0,0,0,0,0,0,0,0,0.0117566527258253,0,0,0
X1299.HK.EQUITY,0,0,0,0.0609292386847709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137013175930899,0.0306309163959004,0.398144551163527,0,0,0,0.0106433445885164,0,0.0882877240429686,0
X2628.HK.EQUITY,0,0,0,0.170297039402781,0,0,0,0,0,0,0,0,0,0.246052505709595,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107042079186083,0.0188086184975878,0,0
X601628.CH.EQUITY,0,0,0,0.260241361978543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150796233967875,0,0,0,0,0.504549344023897,0,0,0.0266316243093848,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0981894302287792,0,0,0,0,0,0,0,0,0,0.0612293506932871,0,0,0,-0.00171979788980601,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00570409980921291,0,0,0.0315981950175419,0,0,0.281642071113602,0,0,0,0,0,0,0,0,0,0.00587206911964428,0,0,0
X601166.CH.EQUITY,0,0,0,0.0406913612539187,0.092910738024186,0,0,0,0,0,0.315856860537825,0,0,0.127767969535979,0,0,0,0.0910421298330897,0,0,0,0,0,0,0,0,0.003105869593394,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385087112639797,0,0,0,0,0,0,0,0,0,0.00594076109897648,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.193899619243041,0.2300544641516,0,0,0,0,0,0,0,0.317050639066919,0,0,0,0,0.0164601738599897,0.0990767922876768,0.0429704388140657,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.136759893455306,0.113049531378479,0,0,0,0,0,0.0446388061539403,0,0.164676118931875,0,0,0.0224454842276254,0,0,-0.0082299232970562,0,0,0
