,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.258541149612861,0,0,0,0,0,0,0,0,0.0906391690779056,0,0,0.105141799977058,0,0,0,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.346052117666503,0,0,0,0,0,0,0.144041790122051,0.00850423522268055,0,0,0,0,0.00558836231593292,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0
X601318.CH.EQUITY,0,0,0,0.255404392539075,0,0,0,0,0,0,0,0,0,0.284648557457093,0,0,0,0,0.0804791852253704,0,0,0.0639108880852109,0,0.0657469336290516,0,0,-0.00559148594559495,0,0,0
X2318.HK.EQUITY,0,0,0.371677399117612,0,0,0,0,0,0,0,0,0,0.175152130373251,0,0,0,0,0,0,0,0,0,0.0248930540867161,0,0,0,-0.012030852187178,0,0,0
X601939.CH.EQUITY,0,0,0.0567399243677374,0,0,0,0,0,0,0,0,0,0,0.0197771256065972,0,0,0.255564004877832,0,0.0118633354058737,0,0,0.040386210869396,0,0,0,0,0.00364811758340258,0,0,0
X939.HK.EQUITY,0,0.0298234645961769,0,0,0,0,0,0,0.0310750372497676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830884679874896,0,0,0,-0.00285861165042331,0,0.00739481267952133,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870023998538434,0,0,0.103379522868422,0,0,0,0,0.0992013195389993,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.124484448314967,0.0681423734915006,0,0,0,0,0,0,0,0,0,0,0,0.0156283666619946,0,0,0.0430141329064414,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.412094763496683,0,0,0,0,0,0,0.00164389282288074,0,0,0,0,0,0,0,0,0,0.0547674372793119,0,0,0,-0.00743250827913585,0.00247240437086609,0,0
X601988.CH.EQUITY,0,0,0,0,0.0676518191731471,0,0,0,0,0,0,0,0,0.0746501957807139,0,0,0.153129795011991,0,0.0516606346843338,0,0,0.0229166840431213,0,0,0,0,0.00870295046161813,0,0,0
X600036.CH.EQUITY,0,0,0.108828464151397,0,0,0,0,0,0,0,0,0,0,0.106161374336735,0,0,0.298538403680265,0,0,0,0,0,0.0179519653391362,0,0,0,0.0134274006777184,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169065372132564,0.023369642198544,0.500475318054685,0,0,0,0,0,0.0242091176529938,0
X2628.HK.EQUITY,0,0,0.219170432052657,0.0263104209337822,0,0,0,0,0,0,0,0,0,0.16296722358688,0,0,0,0,0,0,0,0,0,0,0,0,-0.00623939469943455,0.0857479896574583,0,0
X601628.CH.EQUITY,0,0,0.205119666959655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167690811673461,0,0,0,0,0.502945279998773,0,0,0.0125292955417894,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.0978296617430101,0,0,0,0,0,0,0.0757299587107795,0,0,0,0,0,0,0,0,0,0.0646918187939821,0,0,0,-0.000161055129880919,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0698618318096141,0,0,0.0396252650370147,0,0,0.241492260501063,0,0,0,0,0,0,0,0,0,0.00423984011359561,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.156955955578134,0,0,0,0,0,0.182809232905364,0,0,0.130152719117436,0,0,0,0.288232863965662,0,0,0,0,0,0,0,0,0.0046727676596971,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.021074839305415,0,0,0,0,0,0.443390655632382,0,0,0,0,0,0,0,0,0,0.0116269824746103,0,-0.0229099874754527,0
X601319.CH.EQUITY,0,0,0.23370743241835,0,0,0,0,0,0,0,0,0,0.274073872187579,0.142522933282486,-0.233307583526082,0,0,0,0,0,0,0.297626363879089,0,0,0,0,0.00213279817959466,0.00945528974003569,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.156230518989383,0.13105723746007,0,0,0,0,0,0.0355851270131132,0,0.12716797104566,0,0,0.0356615461565697,0,0,-0.0108013599176154,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198689379597862,0.157706668624087,0,0,0,0.00510712369707885,0,0,0
X000002.CH.EQUITY,0,0,0.375097858934488,0,0,0,0,0,0,0,0,0,0,0.0829785281694608,0,0,0,0,0.138756061506715,0,0,0,0,0,0,-0.0871652740618775,0.00498263554698587,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.177611081625914,0.138120326557136,0.131911862671693,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210661945655531,0,0,0
X601601.CH.EQUITY,0,0,0.122465364901773,0,0,0,0,0,0,0,0,0,0,0.501564714787792,0,0,0.0468876154703237,0,0,0,0,0,0,0,0,0,0.00916213153161351,0,0,0
X2388.HK.EQUITY,0,0,0,0.043529132566093,0,0,0,0,0,0,0,0.0308869505093408,0,0,0,0,0,0,0,0,0,0.0157077293558138,0.24201260101626,0,0,0,-0.00840486980201511,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127251554487074,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.124674889403265,0,0,0,0,0,-0.0854825171750406,0,0,0,0,0,0,-0.50217825641771,0,-3.19843339577408,0,0,0,0
CN10YR,0,0,6.22443668390514e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34760417138979e-06,0,0.999928712338195,0.999908745299672
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57705912855353e-06,0.999965721932552,0,-0.999957981608843
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2865465389587e-07,0.999968715273236,-0.999971905417459,0
