,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.356710135154167,0,0,0,0,0,0,0,0,0,0.00136870257847896,0.145208803999308,0,0,0,0,0,0,0,0.0182810969908215,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.061228867420092,0,0.0766745880284769,0,0,0.145634604743262,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0
X601318.CH.EQUITY,0,0,0,0.221920286423246,0,0,0,0,0,0,0,0.00921126537008785,0,0.399775584749313,0,0,0,0.0560710815889887,0,0,0,0,0,0.0111494598988316,0,0,-0.005057045300606,0,0,0
X2318.HK.EQUITY,0,0,0.187845616412577,0,0,0,0,0,0,0,0,0,0.404263383909001,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00337100274011098,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0.0278769007320188,0,0,0,0.109139613158644,0.0132601051433603,0,0.0444142444157973,0,0,0,0,0,0,0.0571892000056446,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0.101322961587691,0,0,0,0,0,0,0,0,0.0400380589172368,0,0,0,0,0.215014014308502,0,0,0,0.000567042558758228,0,0,0,0,0,0.0046949770976434,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444947265756544,0,0,0.237722418605768,0,0,0,0.0225349793728383,0,0,0,0,0,0,0.0553322146561489,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.185417805075158,0,0.0674007948130425,0,0,0,0,-0.0383099415226308,0,0,0,0.0954500145829392,0,0,0,0,0.00348766214863759,0,0,0
X3988.HK.EQUITY,0,0,0.0150312794631365,0,0.405233173952188,0,0,0,0,0,0,0,0.00889559494337002,0,0,0.0292903914946712,0,0,0,0,0,0,0.000739565665309342,0,0,0,-0.00613728164354939,0,0,0
X601988.CH.EQUITY,0,0,0.188479070612691,0,0,0.0667049735306387,0,0,0,0,0,0,0,0,0,0,0,0.00274765263882579,0,0,0.119498230798382,0,0,0,0,0,0.00508218645631766,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0619320052698892,0,0.214268174286517,0.00868918701953985,0,0,0,0,0,0,0,0,0,0.202222092920395,0,0,0,0.452962687532843,0,0,0,-0.00592776895164139,0,0,0
X600036.CH.EQUITY,0,0,0.185025429566464,0,0,0,0,0,0,0,0,0,0,0.126174936494807,0,0,0.196484529559148,0,0,0,0,0,0,0,0,0,0.0117928927957566,0,0,0
X2628.HK.EQUITY,0,0,0.229174464338124,0.217284119827208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000725807193976497,0,0,0
X601628.CH.EQUITY,0,0,0.136132675404184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891247045307556,0,0,0,0,0,0.581971077057327,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0252788742382901,0,0,0.0161302676369028,0,0,0,0,0,0.0614971295621079,0,0.0183400148702739,0,0,0.155946448941819,0,0,0,0,0,0,0,0,0,0.00535308531104753,0,0,0
