,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.143810337970205,0.15190968011952,0,0,0,0,0.0465850984960981,0,0.0266322798904255,0,0,-3.46944695195361e-18,0.0547320796215087,0,0,0.0425104075431251,0,0,0,0,0,0,-0.00322389094767738,0,-0.0132201004934209,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355298656539352,0,0,0.0402737996456458,0,0,0.0267485387549216,0,0,0,0,0.00135398925596429,0,0,0
X601318.CH.EQUITY,0,0,0,0.107223778121269,0,0,0,0,0,0,0.10615889081487,0,0,0.202169016428747,0,0,0,0,0,0.175782867638378,0,0,0,0,0,0,-0.00462786298185372,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.10502050611585,0,0,0,0,0,0.00430772094824031,0.0614544295311178,0,0,0,0.188280210793622,0,0,-0.0112743579176995,0,0,0
X939.HK.EQUITY,0,0.0193673347725314,0,0,0,0,0,0,0,0,0,0.0540553614759281,0.232728915992999,0,0,0.0108819814173831,0.0281640517367427,0,0,0,0,0.0812329704606593,0,0.043380985059864,0,0,0.00119991370446335,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.156302734281552,0,0,0,0,0,0.0744567421050718,0,0,0,0,0.0464267436869699,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170498558075363,0,0,0,0.0384394727444113,0.0693664993902896,0,0,0,0,-0.00280594092534394,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0717482782892967,0,0,0,0,0,0,0,0,0.0270162981093239,0,0,0,0.22163253280342,0,0,0,0,0
X3988.HK.EQUITY,0,0.0766872340498842,0,0,0,0,0,0,0,0,0,0.0671491800810818,0.181114564221666,0,0,0.0032235340053721,0,0,0,0,0,0.0335234329371772,0,1.73472347597681e-18,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.00442523139017633,0,0.0911633624615004,0,0,0,0,0,0,0,0,0,0,0,0.0760461620834544,0.0141583094865051,0,0.0648641896753355,0,0.064251246626578,0,0.032951255318988,0,0,0.00336242136070451,0,0,0
