,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347540559145452,0,0,0,0.0418519127735158,0,0,0.035017605566656,0,0,0,0,0.00203903778661358,0.0112391341051651,0,0
X601398.CH.EQUITY,0,0,0,0,0.10143432087554,0.196722357514684,0,0,0,0,0.0312841531540957,0,0,0.0546278558896895,0,0,0.0514060007631019,0,0,0.0394727740834685,0,0,0,0,0,0,-0.00300454380597821,0,-0.0194746170748538,0
X2318.HK.EQUITY,0,0,0,0.0223499708745091,0,0,0,0,0,0,0,0,0,0.042878338744508,0,0,0,0,0,0.0823501799793373,0,0,0,0.167966575833205,0,0,-0.00979039022615688,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.119074529057448,0,0.198431431581647,0,0,0,0,0,0,0.183355110421449,0,0,0,0.0489358407392936,0,0,-0.0045401020963193,0,0,0
X939.HK.EQUITY,0.0275464858668483,0,0,0,0,0,0,0,0,0,0,0.044784534999374,0,0.222421191999551,0,0,0.0457713343214537,0,0,0,0,0.074198934135787,0,0.0650551445064749,0,0,0.00105555706931256,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0870552712929377,0,0,0.0970574050283766,0.0141699650716476,0.0402431798636284,0.0866074108991674,0,0,0,0,0.0845098544349008,0,0,0,0,0,0.00604788323002585,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167960231812218,0,0,0,0.022945905958711,0.0659143693668861,0,0,0,0,-0.00260370102649057,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0637796502925546,0,0.0102989060765327,0,0,0,0,0,0,0.0267584543423181,0,0,0,0.214820889467678,0,0,0,0,0
X3988.HK.EQUITY,0.0583514017476406,0,0,0,0,0,0,0,0,0,0,0.0807010998648105,0,0.10235042835534,0.0252630861092609,0,0,0,0,0,0,0.0174052360909052,0,0,0,0,2.71050543121376e-20,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121039871567488,0,0.0796586900198575,0,0,0.0771393881031099,0,0.0783490242233515,0,0.0362493941608305,0,0,0.00303260470997258,0,0,0
X600036.CH.EQUITY,0,0,0,0.283741987634876,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.185537393433336,0,0.0636088178594577,0,0,0,0,0.0123073349324113,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.105391266212476,0,0,0,0,0,0,0,0,0.183399825882098,0,0.480898204884574,0,0,-0.00137622634734924,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164799929087843,0,0.418970770383404,0.300539829393265,0,0,0,0,0,0,-0.000972070268750289,0,0,0
X2628.HK.EQUITY,0.0282239482625227,0,0.0838644876349704,0,0,0,0,0,0,0,0.0121833706990387,0.0318656382983349,0,0,0,0,0,0,0,0.160388311224801,0,0.0654892741165544,0,0.128826010466274,0,0,-0.00926890269490128,0.0227945552858867,0,0
X3328.HK.EQUITY,0.173965634678578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837227505373449,0,0,-0.00481900628239086,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0308552105292133,0,0,0,0,0.0438422041869123,0,0,0,0.100827732802019,0,0,0.0703544230042877,0,0,0,0,0,0,0,0,0.00373515338279978,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.118753647557628,0,0,0,0,0.29642810304897,0,0,0.136012876313788,1.0842021724855e-19,0,0,0,0,-0.00594165419384467,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206269588109451,0,0.399389162352801,0,0,0,0,0.0271204035556284,0,0,0,0,0.000545336604576052,0,0,0.0299445836380134
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.701120030373199,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601319.CH.EQUITY,0,0,0,0.0436371478670884,0,0,0,0,0,0,0,0,0,0.250628564089662,0,0,0,0,0.256700019100136,0,0,0,0,0,0,0,0.00810913125666083,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.218966286824022,0,0,0,0,0.143139381823154,0,0,0,0,0,0,0,0,0,-0.00170385451307175,0.0367797169326119,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.418525858981683,0,0,0,0,0,0,0,0,0,0,0,0.0990266540576169,0.269650869662077,0,-0.0147402737690545,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0376885742633769,0.0403333242088929,0,0,0,0,0,0.0657753050727617,0,0,0.0620887829751184,0,0,0.287846476514986,0,-0.00288904779676826,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.13822618902559,0,0,0.0622603321778436,0,0,0,0,-4.33680868994202e-19,0,0.2379985791363,0,0,0.211725502850345,0,-0.00824428997634676,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218126656146946,0.252220296429221,0.313410977961543,0,0,-0.000386285381102756,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124294556984666,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74761974852463,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.35545450775758e-07,0,0.99996805026692,0.999967191267154
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.85450016915246e-07,0,0,0,0,0,0,-1.21471562759069e-06,0.999957955981644,0,-0.999942860383512
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.90837769657227e-07,0.999967592019418,-0.999961912684572,0
