,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352902350751678,0,0,0,0.0441146766050405,1.73472347597681e-18,0,0,0,0,0,0,0.000924452879256691,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.153331718526622,0.0975633828234288,0,0,0,0,0.0811594977765124,0,0,0.0484964841869223,0,0,0.0270179944243607,0,0,0.0369912167385233,0,0,0,0,0,0,-0.00212375786292438,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.142219753986388,0,0.205623394539608,0,0,0,0,0,0,0.17667485821805,0,0,0,0,0,0,-0.00546313184967779,0,0,0
X2318.HK.EQUITY,0,0,0.0522942006997897,0,0,0,0,0,0,0,0,0,0,0.156710529005801,0,0,0,0,0,0.0083090722399876,0,0,0,0.0833515192858494,0,0,-0.00909854868960531,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0838286856108282,0,0,0.143733332833371,0,0.041886314146064,0.10381584400277,0,0,0,0,0.057435154056177,0,0,0,0,0.00237103081636062,0.00751941894926138,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00604429096256933,0,0.184886310914628,0.0140807665065152,0,0.0261545804552642,0,0,0,0,0.0287322710878571,0,0.154765521284469,0.0218334796350231,0,0.000664989454184071,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.039017507428652,0,0.0369800770468879,0,0,0,0.112846389085054,0,0,0,0,0.0321640860776854,0,0,0,0,5.42101086242752e-20,0.046963389250088,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0457997629206687,0,0.0494107105819669,0,0,0,0,0,0,0,0,0,0,0.206714181620784,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142263129741202,0,0.081813417879157,0,0,0.0785941910550773,0,0.084770223667931,0,0.0242528802814316,0,0,0.00268743115607029,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.065562200980507,0,0.102753335135052,0.041942123587666,0,0,0,0,0,0,0.0363005041997426,0,0,0,0,-2.71050543121376e-20,0,0,0
X600036.CH.EQUITY,0,0,0.335487370147165,0,0,0,0,0,0,0,0,0,0,0,0.0592511295065967,0,0.0852697816906216,0,0,0,0,0.0198780918648496,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.108873698093134,0,0,0,0,0,0,0,8.67361737988404e-19,0.178429175709883,0,0.491684159049712,0,0,-0.000982372438926454,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161967081857398,0,0.452134968408383,0.271018384496484,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0.0394137454945881,0,0,0.123421394891301,0,0,0,0,0,0,0,0.165914939812389,0,0,0,0,0,0,0,0.155070738342792,0,0.0484694036278158,0,0.0650215016912152,0,0,-0.00884890161518537,0,0,0
X3328.HK.EQUITY,0.12599926677464,0,0,0,0,0,0,0,0,0,0,0,0,0.0374698076211467,0,0,0,0,0,0,0,0,0,0.0780394380285244,0,0,-0.00357291753016349,0,0,0
X601328.CH.EQUITY,0,0,0,0,0.0308556360953584,0,0,0,0,0,0.0438433666899072,0,0,0,0.100825134847103,0,0,0.0703515547215934,0,0,0,0,0,0,0,0,0.00373514653703377,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0658546871376065,0,0,0,0,0.249552821983279,0,0,0.0854891536613971,0,0,0,0,0,-0.00774591615713527,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20482772610349,0,0.411762679529491,0,0,0,0,0.0244903080088887,0,0,0,0,0.000790901850440739,0,0,0.025260961907254
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.701120030373199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0.0599073570352033,0,0,0,0,0,0,0,0,0,0,0.292122276035116,0,0,0,0,0.241237696421871,0,0,0,0,0,0,0,0.013222521632658,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.22713220388547,0,0,0,0,0.138169457043408,0,0,0,0,0,0,0,0,0,-0.00202490249497044,0.0232319484103004,0.0127626967618095,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.418525170588769,0,0,0,0,0,0,0,0,0,0,0,0.0990260861654555,0.269652151384019,0,-0.0147402900653456,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0316045781961122,0.0486098032303578,0,0,0,0,0,0.0539439511824165,0,0,0.0640995622508523,0,0,0.29427803387297,0,-0.00364757928030799,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.149473204587704,0,0,0,0,0,0,0.0310150010904803,0,0,0.20906739740125,0,0,0.265688485912458,0,-0.00715566366326314,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0181468132549997,0.261563903424698,0.324735686338449,0,0,-0.012135665551292,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120196510095515,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.57799116692527,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.33567665325175e-07,0,0.999966189097194,0.999966580073869
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01976929963929e-06,0.999965881895943,0,-0.999950296498344
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.71889218003591e-08,0.999956678334785,-0.99994589240189,0
