,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.315597243858848,0,0,0,0,0,0.0700341181383325,0.0988257492799606,0,0,0,0.0079271593184996,0,0,0,0,0.104378819576199,0,0,0,0,0.0010114260003817,0,0,0
X601398.CH.EQUITY,0.0865712599699069,0,0,0,0.0586321614129239,0,0,0.00954796234344257,0,0,0,0,0,0,0.0484232243146593,0,0,0.214584121345674,0,0.0333195606694863,0,0,0,0,0,0,-0.00258759724121342,0,0,0
X601318.CH.EQUITY,0,0,0,0.172339918722604,0,0,0,0,0,0,0,0,0.00555477875194636,0.104937673191644,0,0,0,0,0,0.0792085826882775,0.0123756637974218,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0.00981315064416529,0,0,0,0,0.172229611820604,0,0,0,0,0,0.125809056788661,0,0,0,0,0,0,0,0,0,0,0.111660146305153,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0.037796987827461,0,0.0243985920313956,0,0,0,0,0.0427743951973845,0,0.0874836821689439,0,0,0,0,0.13112752665848,0,0,0.0334862793432079,0,0,0,-0.0127253633080724,0,0,0
X939.HK.EQUITY,0.323155951058929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444894587267037,0,0,0,0,0.156811497436484,0.0550305059588644,0,0,0,0.00203236478445655,0,0,0
X601288.CH.EQUITY,0,0.178921419085736,0,0,0,0,0,0,0,0,0,0,0,0.0647435216437077,0,0,0,0.0436834943404991,0,0,0,0.0423652388802156,0,0,0,0,-0.000201760543151549,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0324289134856039,0,0.0392985545465627,0,0,0,0,0,0,0,0.0507732181276498,0.046725870821588,0,0.329886232527656,0,0.0020458032082496,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.304034273842223,0,0,0,0,0.183504522470714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00531093483407602,0,0,0,0,0,-0.00161028944189247,0.00833102112713521,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.036672134357086,0,0,0.172280430054411,0,0,0.0377725124214737,0,0.0856710599901338,0.129787921865666,0,0,0,0.0578681004365545,0,0.0106369623646576,-0.0269294110927794,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161774452387939,0.174607521118271,0.0794258645689882,0.158606487302428,0,0.0169952044325805,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0460491791051807,0,0.284954163390817,0,0,0,0,0,-4.33680868994202e-19,0,0.128796492572166,0.132443462653387,0,0.068460912601549,0,-0.00852008306641187,0,0,0
X601628.CH.EQUITY,0,0,0.101258915615067,0,0,0,0,0,0,0,0,0,0.597127911088685,0,0,0,0,0,0,0,0,0,0,0,0,-0.130700037541921,-0.0155460464028803,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.237609030788802,0,0,0,0,0,0,0,0,0,0.123521587640844,0,0.056314521702936,0,0,0,-0.00607995585832453,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223615098891344,0,0,0,0.0290891096889416,0.0021948362441266,0,0,0,0.00296205416597422,0,0,0
X3328.HK.EQUITY,0.0382568207458313,0,0,0,0,0.196301077829745,0,0,0,0,0,0.175174700118398,0,0,0,0,0,0,0,0,0.0470911463792403,0.15426006931804,0,0,0,0,0.0107081541629331,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.15942221877764,0,0,0,0,0,0,0,0,0.180713740040528,0,0.0281480644122815,0.0329539496503763,0,0,0,-0.0126576207688919,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134842610675126,0,0,0.179473848166835,0,0.0332904933778412,0,0,0,0,0,0.0550048686171822,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960918654560247,0,0,0.483050896555796,0,0,0.263655048922674,0,0,0.030889720518882,0,0,0.0045564936236807,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.20869968452182,0,0.0024678910012982,0.114095665119091,0.239985841755297,0,0.0622908269798902,0,0,0.0831294714338042,0,0.0113043795550843,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.166780490169234,0,0.0536085773375681,0,0,0,0,0,0,0,0,0,0,0.351612315882055,0,-0.0114020204676889,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0.0155597428216876,0,0,0,0,0,0.367963430002834,0,0,0,0,0,0,0.0386331661807033,0.12919486285426,0,0.076797661144932,0,0,0,0,0.00356173162748262,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.26519455613974,0,0,0,0,0,0,0,0,0.0171102231055672,0.11135066305682,0,0,0,0,0.00346275427899787,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.457899000749007,0,0,0,0.21479141512759,0,0,0,0,0,0,0,0,0,0.113569717958525,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245533940303342,0,0,0,0,0,-0.162905857500758,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.486649724339454,0,0,0,0,0,-0.483702038562991,0,0,0.667052530112114,0,0,0,0,-4.30213646723674,0,0,0.0559880840660419,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91286453111268e-08,0,0.999977367935687,0.999905886004082
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09845792175262e-05,0,0,0,0,0,0,0,4.2037544231489e-08,0.999822426438628,0,-0.9996654670177
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,-8.72697866280435e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.19854549236617e-06,0.999665411495634,-0.999534344815948,0
