,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.352587692671872,0,0,0,0,0,0,0.111258910302558,0,0.0770893812433774,0,0,0.0833559156151799,0,0,0,0,0.0194777668618483,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0.0190492668289554,0,0,0,0,0.115166926147922,0,0,0,0,0,0,0,0,0,0,0,0.229451373483526,0,0.0144253146838588,0,0,0,0,0,0,-0.000385655919561365,0,0,0
X601318.CH.EQUITY,0.0776759969388292,0,0,0,0,0,0,0,0,0,0,0.0493322575802518,0.0898524284098343,0.0485025426125658,0,0,0,0,0,0.0524946452976839,0,0,0,0,0,0,-0.0025158959195624,0,0,0
X2318.HK.EQUITY,0.0896475091195134,0,0,0,0,0,0,0,0,0,0,0.0939050341003435,0,0,0,0,0,0,0,0,0,0,0.0493263233839523,0,0,0,8.67361737988404e-19,0,0,0
X939.HK.EQUITY,0.385351749437988,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.153639038710327,0,0,0,0,0,0.0309128841926559,0,0,0,2.71050543121376e-20,0,0,0
X601939.CH.EQUITY,0,0.192391853621015,0,0,0,0,0,0,0,0,0,0,0.0578964673005452,0.00210710009076375,0,0,0,0,0,0.167578651613977,0,1.0842021724855e-19,0,0.030640348470517,0,0,-0.00501059777332093,0,0,0
X601288.CH.EQUITY,0,0.153464941094571,0,0,0,0,0,0,0,0,0,0,0,0.0654860747882117,0,0,0,0.0571587346872162,0,0,0,0.0168357890620184,0,0,0,0,-6.7762635780344e-21,0,0,0
X5.HK.EQUITY,0.0927483930018257,0,0,0,0,0,0,0,0,0,0,0.0392086391301366,0.091552989123728,0,0,0,0,0,0,0,0,0.0602415604418711,0.0283204601261047,0.11263674518801,0,0,0.00199928452355107,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101585285786402,0,0,0,0.0866527894817642,0,0,0,0,-0.000373789169675434,0,0,0
X3988.HK.EQUITY,0.324038518979049,0,0,0,0.119606461771579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502688020829951,0,0,0,0,0,-0.000790357836119591,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.104812608388298,0,0,0,0,0,0.206489803190814,0,0.163526963124868,0.0292534129054391,0,0,0,0,0,0.00021788121813935,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0204887015928067,0,0,0,0,0,0.0400801152447775,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.196663976889157,0.0842313753504894,0.30041940803052,0,0,0.0110747790220368,0,0,0
X2628.HK.EQUITY,0.111216590906342,0,0,0,0,0,0,0,0,0,0,0.0772052648318026,0,0.159816940714803,0,0,0,0,0,0,0,0.0748866283330889,0.165493302097732,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0489280677395007,0,0,0,0,0,0,0,0,0.0922732321297102,0.266870433058556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00712069672113592,0.146068024060381,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0811222934383738,0,0,0,0,0,0,0.168021300454815,0,0,0.123948435233526,0,0,0,0.0481431406506591,0,-0.00444417242366621,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365007368351987,0,0,0,0,0,0,0.00281399069645609,0,0.00255174163271658,0,0,0
X3328.HK.EQUITY,0.0688373356252619,0,0,0,0.213413525580941,0,0,0,0,0,0,0.171931183773915,0,0,0,0,0,0,0,0,0.0119567447601033,0.0592345686745738,0,0,0,0,0.00413261050736417,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.109197724197206,0,0,0,0.00709931061879487,0.169703010565175,0,0,0.036467418358344,0.240280492889368,0,0.0844567232422152,0.0280058214404172,0,0,0,-0.00574612989833829,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778961205678809,0.131411217668312,0,0.0645107957329711,0,0.0815094568649484,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165646035686121,0,0,0.421579498893554,0,0,0.223643289537759,0,0,0,0,0,0.00485561182262995,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22739390001358,0,0,0,0.00997558239489645,0.0409800946160043,0,0,0.0185400002810267,0,0.0945882204786563,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.222724455253481,0,0,0,0.293709068903602,0.0787008323894057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0.055215787949762,0,0,0,0,0,0,0.203466000043128,0,0,0,0,0,0,0.065650994227208,0.0168666577119628,0,0.177012659620545,0,0,0,0,0.0109171977505449,0,0,0
