,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.112908861547602,0,0,0,0,0,0,0,0,0,0,0,0,0.196055356383648,0,0.0164572947925359,0,0,0,0,0,0,-0.00258125996563077,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.404228925427999,0,0,0,0,0,0.0214438568030373,0.0097881225703165,0,0,0.374755470194019,0,0,0,0,0,0,0,0,0,0,-0.00301799406722574,0,0,0
X601318.CH.EQUITY,0,0.0410630477303396,0,0,0,0,0,0,0,0,0,0.11334924320543,0.0460226320137589,0.0509563393110172,0,0,0,0,0,0.0349661373277741,0,0,0,0,0,0,-0.00272051374407663,0,0,0
X2318.HK.EQUITY,0,0.0672896866162951,0,0,0,0,0,0,0,0,0,0.13345525996351,0,0,0,0,0,0,0,0,0,0,0,0.045613560552082,0,0,-0.00599855484980317,0,0,0
X601939.CH.EQUITY,0.131036615115343,0,0,0,0,0,0,0,0,0,0,0.0113662112860111,0,0.0603653683671347,0,0,0,0,0,0.179200374391383,0.00371423480508687,0,0,0,0.00226935529871027,0,-0.00420267117508587,0,0,0
X939.HK.EQUITY,0,0.169827604190912,0,0,0,0,0,0,0,0,0,0.0513708424860305,0,0,0,0.313976482886246,0,0,0,0,0,0,0,0,0,0,-0.00202896214987156,0,0,0
X601288.CH.EQUITY,0.241449359387752,0,0,0,0,0,0,0,0,0,0.0328558722310011,0,0.0115934325578327,0,0,0,0,0.00563101897747663,0,0,0,0.0362281854229893,-1.0842021724855e-19,0,0,0,-0.000189572896367647,0,0,0
X5.HK.EQUITY,0,0.0415435300605745,0,0,0,0,0,0,0,0,0,0.0728184912291695,0,0.107497042241341,0,0,0,0,0,0,0,0.124484256876158,0,0,0,0,0.00300789009435374,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173196474021795,0,0,0.0726364816109569,0,0.00608339809497319,0.0048555325090993,0.0725588322369754,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0.162684236071546,0,0,0,0.181022932201887,0,0,0,0,0,0.0448276666994129,0,0,0,0,0,0,0,0,0.0364135084996321,0,0,0,0,0,-0.00293744961957361,0,0,0
