,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14998861745437,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0.205371147817442,0,0,1.0842021724855e-19,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.226442221647828,0,0,0,0,0,0,0,0,0.00848566786195038,0.128266007529233,0,0,0,-0.00546104985399654,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.114595222223066,0,0,0,0,0,0,0,0,0,0.168889178412345,0,0,0,-0.00651501235530222,0.0204465391259121,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714990864861693,0,0,0,0,0,0,0,0,0.0271513890766806,0.249106368599221,0,0,0,0.0345148518428417,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.204484510986624,0,0.214280375183117,0,0,0,0,0,0,0,0,0.079801460395955,0.0109861515701784,0,0,0,-0.00215790639339669,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.238503567062448,0,0,0,0,0,0.0143697334524896,0,0,0.104917913876659,0,0.0931303391229622,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087453682036048,0,0,0,0,0,0,0,0,0,0.112630340687499,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.265452055318114,0,0,0.0503974186012166,0,0,0,0.00737021520455284,0,0.0451979638381351,0.0551198730383864,0.0409598714678591,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0430483850531931,0,0,0,0,0,0,0,0,0.00316799294386841,0,0.110940110182835,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.207374574235749,8.67361737988404e-19,0,0,0,0,0,0,0,0.0360008896465415,0.0337351268010535,0.231007862936583,0,0,0.00144665022401418,0,0,0
