,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.02879045695251,0.0340297304039423,0,0.0757883490613599,0.0196128882379797,0,0,0,0,0,0,0,0,0,0.0459906121091495,0,0,0,0,0.0187338972175538,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.236072966156031,0.0265633467746395,0,0.0967788735705101,0,0,0,0,0,0,0,0,0,0.0711393211894441,0,0,-0.000826716750700945,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0310037099349577,0,0,0.0248438662735303,0,0,0,0,0,0,0,0,0,0.0789596314129562,0,0,-0.00525338630807185,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0370241640251069,0,0.114530606377372,0,0,0,0,0,0,0,0,0,0.159055011866214,0,0,-0.00424153458010939,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27232781341652,0,0,0,0,0,0.0267045664848158,0,0,0,0.0053378129785765,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.0594965000206981,0,0,0,0,0,0.15378484593194,0,0,0.223250345497034,0,0,0,0.0945572374005314,0,0,0,0,0,0,0,0,-0.00419407181067425,0,0.00348003400724866,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0594469026265563,0,0,0.0483353513703076,0.00634588367309147,0,0,0.0598549635917434,0,0,0,0,0,0,0.0627845668800793,0,0,-0.00266269627412771,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00632864361931062,0,0,0.174274228080836,0.0550815053507682,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.173694331178636,0,0,0.159172879115096,0.0999510907069989,0,0,0,0,0,0,0,0,0.0367512120444367,0,0,-0.00270698981978731,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177333764227947,0,0,0,0,0,0,0,0,0.151099532280127,0.0513967360355123,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533605554114299,0,0,0,0,0,0,0,0,0,0.0904219939004839,0,0,-0.00898757995365524,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0998235811097152,0,0,0.13483454869907,0,0,0,0.087124486322744,0,0,0,0,0,0.11667276390176,0,0,0,0.155693695394237,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360389265793891,0,0,0,0,0,0,0,0,0,0.0225170034986239,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.440698670239402,0,0,0,0,0,0,0,0,0,0,0,0,0.274151789227062,0,0,-0.0243025964775634,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321485358591759,0,0,0,0,0,0,0,0,0,0.152936764389271,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0339554662387149,0.0590875575584201,0,0,0.0334744558379578,0,0,0,0,0,0.0278276765275475,0,0,0,0.0115870097158287,0,0,-0.00138303275382554,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.321594202206111,0,0,0.0159798706478329,0.0690598026192118,0,0,0,0,0,0,0,0,0.0743388158389844,0.0476160328317858,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.352737934357877,0,0,0.0600457424120467,0,0,0,0,0,0,0,0.0534219915261901,0,0,0,0,-0.0107365800593876,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0734714290542148,0,0,0.0854876800634379,0,0,0,0,0,0,0,0,0.0852472502927906,0.0338487794996378,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0264036441229154,0,0,0.113476210137814,0,0,0,0,0,0,0,0,0,0.227801954898201,0,0,-0.00456506750729245,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252616123640908,0,0,0,0,0.0375580688454886,0,0,0.0731832036987502,0,0,0,-0.015015444428663,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.420465111814604,0,0,0,0,0,0,0,0,0,0,0,0,0.0152867794325123,0,0,-0.00166662587370988,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.06056765707254,0,0,0.0180636774259275,0.364055221992853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386122744015849,0.0393822284084974,0
