,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0727603917737581,0,0.0783383193657715,0,0,0,0,0,0,0,0,0,0,0.1016980057187,0,0,-0.0240257990380293,0.00945764671964055,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0146660310026181,0,0.012024140217697,0,0,0,0,0,0,0.0343985351872225,0,0,0,0.054596730664091,0.0125800854230581,0,-0.00710983516512795,0,0.0191314941094417,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0429604068914564,0,0.0137395075330862,0,0,0,0,0.0246229344684658,0,0,0,0,0,0.13555639217395,0,0,-0.00266430494317934,0,0.0165937019703704,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.144639117473922,0.127069497355616,0,0,0,0,0,0,0,0,0,0,0,0.0974633263448471,0,0,-0.00724388824862591,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107302943810224,0,0.2018715507065,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334542848447763,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.222944014061596,0,0,0,0,0,0,0,0,0.0101935182294767,0,0,0,0,0.0959146788350952,0,-0.022795718277057,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304047649783714,0,0,0,0.164167428764645,0,0.0126544143570363,0,0,0,0.0541028067903812,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.101001805394447,0,0.123405922828676,0,0,0.0634820350077147,0,0,0,0,0,0,0,0.115972669680904,0,0,-0.0146384981352439,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.03103438588432,0.0824398003956802,0,0,0.053714210486393,0,0,0,0,0,0.0118601445970854,0,0,0,0,0,0,-0.0136275544144531,0.0109017945208203,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.174585683414456,0,0.114415211289814,0.0187756077831554,0,0,0,0,0,0,0,0,0,0,0.0170221683807345,0,-0.0121035157903147,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.501830252982194,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378606463723569,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.367296485963843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0631745611134044,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.409166789597276,0,0,0,0,0,0,0,0,0,0,0,0,0.387272524626469,0,0,-0.0342962087178835,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.313076322452351,0,0,0,0,0,0,0,0,0,0,0,0.141747220134818,0,3.46944695195361e-18,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0279386858132581,0,0.0166682556711436,0,0,0,0,0,0,0,0,0,0,0.0406342662967564,0,0,-0.0154899854634718,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.20924575742503,0,0.14352719706885,0,0,0,0.154473442954568,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.351276861950149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017593523587498,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.17197693819519,0,0,0.0588734087690948,0,0,0,0,0,0,0.0358151726172126,0,0,0,0.0421532650370778,0,0,-0.0305059479468816,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0422069631673641,0,0.0217381399765167,0,0,0,0,0,0,0,0,0,0,0.0218842066983055,0,0,-0.0407498237917791,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.131709979513198,0,0,0,0,0,0,0,0,0,0,0.0404454600673663,0,0,-0.00709188349408257,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0675737178270263,0,0.174749268138595,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251653557531342,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.48904945640502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.116184106571758,0.0190227322422253,0,0.27042035421463,0,0,0,0,0,0,0.0886191712036134,0,0,0,0,0,0,-0.00566094366599692,0,0.0361577522045018,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.235823250362609,0,0.442514064782819,0,0,0,0,0,0,0,0,0.0856407084445023,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.13838456089651,0,0,0,0.21536298391778,0,0,0.171516895311776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120560851836513,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202995999331817,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76492154700447,0,0,0,-0.386968257454118
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999973069681068,0.999965199009356
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999981884277656,0,-0.999981019897631
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.09557204860009e-06,0.999957376487567,-0.999974207421677,0
