,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0639601014125831,0,0,0,0.0746152907997049,0.25763271323112,0,0,0,0,0,0,0,0.0285742034643039,0,0,0,0,0,0,0,0,0.00330943087692537,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.108463105272955,0.0935621057290187,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120581538729391,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.113386405821995,0.110744567306259,0.0412195002706026,0.000246731475022029,0,0,0,0,0,0,0,0.00225759666438869,0,0,0,0.303333099624495,0,0.00340740768799643,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0736694679683147,0.127740151204771,0.111078249142982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188922091050857,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.057430737993738,0,0.0222812099932676,0.0889513061411309,0,0,0,0,0,0,0,0.0110922417274504,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0215674076479668,0,0.128800853099972,0.0866184674851542,0.0144843544648378,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189855012330596,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.271339573056695,0,0,0,0,0.0545680895016955,0,0,0,0,0,0,0.0206392908792533,0,0,0,0,0,0,0,0,0,0,0,0,0.00620678080342823
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.274203292786157,0,0,0,0.0291037915046346,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00616605967196063,0.139237600895487,0.0888283292263038,0,0,0,0,0,0,0,0,0.0755778725210761,0,0,0,-0.0127589422172214,0.0295551424846672,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00219646501714886,0.0596454537723984,0.120757391378988,0,0,0,0,0,0,0,0,0.111039724223589,0,0.138739979901151,0,0,0,0,0
