,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.174306368858904,0,0,0,0,0,0,0,0,0,0,0,0,0.0928772397335668,0.0678057218243419,0,0,0.0229514339061797,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.108521738302243,0,0,0,0,0,0,0,0.00735136547819853,0,0,0,0,0,0,0,0,0,-0.00632358762235439,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.142359619033712,0.0385415608632819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138698633348665,0.0898710672082777,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0347600105172111,0.14024680272149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.016529316331898,0,0.194557281004677,0,0,0,0,0,0,0.00931239867761795,0.0648983648762395,0,0,0,0,0.0370974550992077,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.0755768043689323,0,0,0,0,0,0.0183832377635145,0,0,0,0,0.183298534309741,0,0,0,0.0246338108137709,0,0,0,0,0,0.0910442167838863,0,0,0,-0.000189975145928831,0,0.0129651409266021,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0321114130897383,0,0,0,0,0,0,0.00720893990850617,0.082932505670679,0,0,0,0,0,0.0773012616340434,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.2685633719776,0,0,0,0,0,0,0.490842615515125,6.93889390390723e-18,0,0,0,0,0,0,0,0.237310420181826,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.33119340477154,0,0,0,0,0,0,0.0498071968515916,0,0.048315219636109,0,0,0,0,0,0,0,0.0527671444113216,0,-0.000138420260594405,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0414540489092855,0,0,0,0,0,0,0,0,0.00176930132149796,0,0,0,0,0,0.422515069363912,0,0.0899815561239413,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.167570499823471,0,0,0,0,0,0,0.0169447362766887,0,0,0,0,0,0,0.100002382191078,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.103202125769021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296310759709646,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.14897078927805,0,0,0,0,0.0754471790928103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.229953060900297,0,0,0,0,0,-0.0296458075316337,0,0,0,0,0.321345418738127,0,0,0,0,0,0,0,0,0.0571708715362808,0,0,0,0,-0.0804513871245351,0,0.0120502301676257,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.172668518408855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165871758422572,0,0.0887684480566798,0.0669513618210592,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.19442676664643,0,0,0,0,0,0,0,0,0.367714827420903,0,0,0,0,0,0,0.00234771846207795,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955135207160182,0,0,0,0,0,0,0,0,0,0,0,0.102197716843777,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.038546103457922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155463628655911,0.193917058035841,0.00869410209797099,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0276261968805195,0,0.126319754199347,0,0,0,0,0,0,0.000128920000494862,0,0,0,0.0220563868481261,0,0,0.0860044757240789,0,0,0,0,0,0
X3328.HK.EQUITY,0,0.0156653304925608,0,0,0,0,0,-0.00507180427231007,0,0,0,0.164874690316382,0.100089058645168,0,0,0,0.0400464796592778,0,0,0,0,0,0,0,0,0,-0.0160153992400735,0,0.0596155997473615,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.130800299553733,0,0,0,0,0,0,0.0246867454438099,0.152857981639428,0,0,0,0,0.035448418690406,0.0776741983419043,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116950470290635,0,0,0,0,0,0.0774371168633184,0.250818754939093,0,0.0617129942575656,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0293935080236448,0,0.28952986453438,0,0,0,0,0,0.0862687431591769,0.0431782200254626,0,0,0,0,0,0,0.112604081385499,0.0947075074784652,0,-0.00839147213397306,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0548038660640088,0,0,0,0,0,0,0.195678087611533,0,0,0,0,0,0,0,0,0.520467217796449,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.108537895716717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186495791797937,0,0,0,0,0,0
