,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.185469457975425,0,0,0,0,0,0,0,0.0515146847695448,0,0,0,0,0,0,0,0,0,0,-0.00800946151964641,0
X1398.HK.EQUITY,0,0,0,0,0.127821967640136,0,0,0.111513161506563,2.16840434497101e-19,0,0,0,0,0,-0.011309639096632,0,0.0151828901526531,0,0,0,0,0,0,0,0,0,-0.0145437332951235,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0140298345353065,0.129718365554565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164721883268501,0.0927375589432765,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.163476694685157,0.0512088682048195,0,0,0,0,0.0596543127645544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.428935782848264,0,0,0,0,0,0,0.0191423767192378,0,0,0,0.105513743684294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.00671274640175457,0.150951478309364,0,0,0,0,0,0,0,0.116176559730757,0,0,0,0.0374829162083562,0,0,0.00788472689787227,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.0320784574852456,0,0,0,0.0417079933009306,0,0,0,0,0,0,0.009307779747891,0,0,0,0,0.0161423831874701,0,0,0.108352885051444,0,-0.00755283133568917,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.336513648912626,0,0,0,0,0,0.0400150934022826,0.0257361278581449,0.0404661841932447,0,0,0,0,0,0,0.0098054303023991,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.121463622409044,0,0,0,0,0,0,0,0.39417561699647,0.0716628649444891,0,0,0,0,0,0,0.273984508318892,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0520748289584543,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.387537772203139,0,0.024700737252397,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.0809214218314563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00603747970890119,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0433983627535818,0,0,0,0,0,0,0.0265153281490466,0,0,0,0,0,0,0,0.147289894062007,0,0,0,0,0
