,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.227233565272071,0,0,0.0223466374669114,0.0333640781268199,0,0,0,0,0.00987287362162073,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148910774083359,0,0,0
X601398.CH.EQUITY,0.0724948387618521,0,0,0,0,0,0,0,0.0224128326610288,0,0,0,0,0,0,0,0.0651376349262297,0,0,0,0,0.0177651854848243,0.0428459607880549,0,0.0260530809926202,0,-0.00163899805849502,0,0,0
X2318.HK.EQUITY,0.081918273821857,0,0,0,0,0,0,0.0474271789913751,0.0307991447599333,0,0,0,0.0466234715249496,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121822436580818,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0205544880831567,0,0,0,0,0.0387291297518744,0,0,0,0.165972645510437,0,0,0,0,0,0.137660870591306,0,0.158464839700082,0,-0.0399484648560124,0,0,0
X939.HK.EQUITY,0.577344731283859,0,0,0,0,0,0,0.0243846492636271,0.0151572339970741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737968779445353,0,0,0,0,0,0.0833783532143996,0,0,0,-0.00375931034027849,0,0,0
X601288.CH.EQUITY,0.00321457950019539,0,0,0.0853913320692945,0,0.129625318934568,0,0,0,0.0146146275109144,0,0,0,0,0,0,0.0268663056323239,0,0,0,0,0,0.0392186899485554,0,0,0,-0.0126005258246414,0,0,0
X2628.HK.EQUITY,0.141960921038167,0,0,0,0,0,0,0,0.198384013826171,0,0,0,0.145419352254972,0,0,0,0,0,0,0,0,0,0.107590017758574,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.0650243537730662,0,0,0,0,0,0,0,0,0,0.335576151828145,0,0,0,0.0585470366864526,0.425642206485141,0,0,0,-0.00758368093093243,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0710548314421681,0,0,0,0,0,0,0,0.173417912669529,0,0,0,0,0,0,0,0,0,-0.0234506852404292,0,0,0
X3988.HK.EQUITY,0.298280083978108,0,0,0,0,0,0,0.150624304318518,0,0,0,0,0.0473629713419673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.168667449232926,0,0,0,0,0.017206808738075,0,0,0,0,0,0,0,0,0,0,0.0201166430699339,0,0,0.0345617822008481,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.159092715093335,0,0,0,0,0,0.0428751522432687,0.263012674018424,-0.0728961360270149,0,0,-0.0435011880785528,0,0,0.0247287413763447,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.103535235694293,0,0,0,0,0,0,0.29244743683454,0,0,0,0,0,0,-0.0283219034850483,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.126161853174919,0,0,0,0,0.18572180309529,0,0,0,0,0.0275712556008495,0,0,0,0,0,0,0,0.0487764513358112,-0.0110352125222241,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0392816158458924,0.0274819441023108,0,0,0,0,0,0,0,0.185782596955797,0,0,0,0,0.0123169266019808,0.130934712328126,0,0.0266758769523852,0,0,0,0,0
