,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.253640046454297,0,0,0,0,0,0,0.0230742818737156,0,0,0,0.0361064077779289,0,0,0,0,0,0,0.0594976584777843,0,0,0.00448985147807206,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.19449011199176,0,0,0,0,0,0,0,0,0.1193860271053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.282875086251008,0,0,0,0,0,0,0,0,0.010564698608303,0.0776830857422189,0,0,0.0514187890784928,0,0,0,0,0.0609288942395054,0,0,0,0,-0.0211818146537643,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.135248260536705,0,0.135345109884406,0,0,0,0.137458766440152,0,0,0,0,0.155519273514996,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.130356088566575,0,0,0,0.0389064179014161,0,0,0,0,0,0,0,0.0896342677734801,0,0,0,0,0,0,0,0,0,0.0139608289392518,0,0,-0.000115693968025321,0,0,0
X601939.CH.EQUITY,0,0,0,0.0919366235984448,0,0,0,0,0,0,0,0,0.0706717663264103,0,0,0,0.268328538977884,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.030086636618216,0,0,0,0,0,0,0.114246529533693,0,0,0,0.0543403560272276,0,0,0,0,0.0355361315420025,0,0,0,0,0.00812539942991497,0,0,0
X5.HK.EQUITY,0,0.150768807267272,0,0,1.73472347597681e-18,0.021588543060551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108190375939887,0,0,0,0.0017996640282038,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12377970394045,0,0,0,0,0,0,0,0,0,0,0,0,-7.10301414127746e-08,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.175161612792246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.270436183622847,0,0,0,0,0,0,0,0,0,0,0,0,0.231542878288488,0,0,0,0,0,0,0,0,0,0.00863131435739623,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0307455396804855,0,0,0.125090308891582,0,0,0.0486877129780722,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.294606542823028,0,0,0,0,0,0,0,0,0,0.0397563591811225,0,0,0.0348262075231567,0,0,0,0.181993557303088,0,0,0.37169714209471,0,0,0.0371077181134775,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.479600221246705,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0318390488425765,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0636187071837535,0.0926215972788096,0,0,0,0.123374357221876,0,0,0,0,0,0,0,0,0,-0.00214916950895885,0.0187596470177487,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0669007169575364,0,0,0,0.153236469637798,0,0,0,0,0,0,0,0,0,0.00227875019958484,0,0,0
X601166.CH.EQUITY,0,0,0,0.14487020159506,0,0,0,0,0,0,0.14058979730773,0,0.191094504862289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0901809863722014,0,0,0,0,0,0,0,0,0,0.050165738645579,0.156557906994204,0,0,0,-0.00287133575373432,0,-0.0354227994631151,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0381613734295261,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.108150588136325,0.0292846189550801,0,0,-0.000714516550663289,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.124945722589061,0,0,0,0.0870082177080862,0,0,0,0,0,0,0,0,0,0.00532904972488242,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.486269894106253,0,0,0,0,0,0,0,0,0.154054837984164,0,0,0,0,-0.0281404786066594,0,0,0
X000002.CH.EQUITY,0,0,0,0.170143780908161,0,0,0,0,0,0,0,0,0.306839178569432,0,0,0,0,0,0,0,0.0221697608938952,0,0,0,0,0,0.0152148912373581,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.038465692023802,0,0,0,0,0.0246665940367711,0.148830887132607,0,0,0,0,0,0,0,0,0,0,0,0.00443696107089717,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.0842739056549022,0,0,0,0,0,0,0,0,0.499856396589416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766354465845052,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363839563275111,0,0,0,0,0,0,0,0,0,0,0,0,0.00598714920272705,0,0.0476094776559882,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203771980537927,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182301457882019,0,0,0,0,-2.1173596554967,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340225131911519,0,0,0,0,0,-0.00590973350935261,0,0.337161274929182,0
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.27372861402749e-07,0.999982696432054,0,-0.999981086454473
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58588795516359e-07,0.999862874027512,-0.999886695877186,0
