,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.218914309866424,0,0,0,0,0,0,0,0,0.116375014159342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.260732348448734,0,0,0,0,0,0,0,0.0620261534156757,0,0,0.0125211847869962,0,0,0,0,0,0,0,0,0,0.0045400607644547,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.274971417495887,0,0,0,0,0,0,0,0.100225564514392,0,0,0,0.0128281181837436,0,0,0,0.0593690286386587,0,0,0,0,0,-0.0119833401485951,0,0,0
X939.HK.EQUITY,0.0525421811343779,0,0,0,0,0.00982182358888134,0,0,0,0,0,0,0.122772794916134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.144739822751597,0,0.182254779092271,0,0,0.176342452809409,0,0,0,0.0878824290176041,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0972937080310514,0,0,0,0,0,0,0,0,0.0644102813423962,0,0,0.275146071750106,0,0,0,0.00364964615705076,0,0,0,0,0,0.00764681121971118,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133262956407048,0,0,0.0452009024846376,0,0,0,0.0369609229137673,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.104951540494786,0,0,0.0397634205803041,0,0.0139604537554028,0,0,0,0,0,0,0,0,0,0,0.00926686538081458,0,0,0,0,0,0.126016261764334,0,0,0,0,0,0.0027867328034884,0
X3988.HK.EQUITY,0,0,0,0.105833144368663,0,0,0,0,0,0,0,0,0.145955968140833,2.31544351744203e-06,0,0,0,0,0,0,2.25075903617551e-07,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0770896647676865,0,0,0,0,0,0,0,0.177217173086084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0355992409617725,0.121522730021817,0,0,0,0.0421850948533195,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.46392306008415,0,0,0,0,0,0,0,0,0.0753613924597789,0,0,0.0975220993119421,0,0,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396146125775263,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274027116025449,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.522524806435509,0,0,0,0,0,0,0,0.0679053260116064,0,0,0,0.073837023120192,0,0,0,0,0.228445537669927,0,0,0,0,0.0289678147000512,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530912213559275,0,0,0.187973573822246,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624144995402518,0,0,0.20597610270295,0,0,0,0,0,0,0,0,0,0.00149043595094216,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.211649090479274,0,0,0,0,0,0,0,0,0.179565869112715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0875938391891914,0,0,0,0,0,0,0,0,0,0.0451964734007245,0,0.0667411982227113,0,0,0,-0.00169770637576324,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0457500958484822,0,0,0.0100655475254291,0,0,0,0,0,0.0617621773944209,0,0,0.170950134526464,0,0,0,-0.00345229298602168,0,0.0024068411229891,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144399983595958,0,0,0.0237381869364522,0,0,0,0,0,0,0,0,0,0.00477742353805062,0,0,0
X000002.CH.EQUITY,0,0,0,0,0.125907600250897,0,0,0,0,0,0,0,0,0.256626162231732,0,0,0,0,0,0,0,0.0198134549746149,0,0,0,0,0.0233304564027129,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622095412175675,0,0,0,0,0,0,0.208278834724094,0,0,0,0,0,-0.039514657581384,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.174803833334952,0.000904629720701818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0453175515086211,0,0,0,0,0,0,0,0.0165303163463049,0,0.0656184264616851,0,0,0,0.00606422761062132,0,0.0534066995753902,0
