,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,5.93611142368178e-06,0.0702535564161776,0,0.0517292424928367,0,0,0,0,0,0,0.0954269815673588,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67781675482273e-07,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0694542229013303,0,0,0.095898117306375,0,0,0.202513386509426,0,0,0,0,0,0,0,0,0,-0.00107689836422897,0,0,0
X601318.CH.EQUITY,0,0,0,0.00780444395150332,0,0,0,0,0,0,0,0,0,0.353609738971369,0,0,0,0,0.0683675380893477,0,0,0.127878925056254,0,0,0,0,0,0.0120259018374284,0,0
X2318.HK.EQUITY,0,0,0.326420650503934,0,0,0,0,0,0,0,0,0,0.0841165786757251,0,0,0,0,0,0,0,0,0.0728261716995364,0,0,0,0,-0.0209630428785546,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0405181275335929,0,0,0.00410622388602843,0,0,0.293487570904963,0,0,0,0,0.0619945724690923,0,0,0,0,-0.00117617661908229,0,0,0
X939.HK.EQUITY,0,0,0,0.0196933293486729,0,0,0,0,0.0707657061608772,0,0,0,0.078684197016443,0,0,0,0,0,0,0,0,0,0.153763632307442,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.150884787065963,0,0,0,0,0,0,0,0,0.00669939714652479,0,0,0.166238754956386,0,0.0399558198252568,0,0,0.025123743544639,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0.145449704053676,0,0,0,0,0,0,0,0.0615373717478387,0,0,0,0,0.0426059210885516,0,0,0,0,0,0,0,0.0222590848023156,0,-0.000991706203498314,0,0,0
X3988.HK.EQUITY,0.249117362139022,0,0,0,0,0,0,0,0,0,0,0,0.143754113168335,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44193512539242e-07,5.34701903899638e-06,0,0
X601988.CH.EQUITY,0,0,0,0,0.0518454920452772,0,0,0,0,0,0,0,0,0.169614182815304,0,0,0.0425444065995711,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.370984958556132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338471173463192,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0620987688912405,0,0,0,0,0,0,0,0,0,0,0,0.286041989338298,0,0,0,0,0,0.036328590403404,0
