,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0.0308425820291964,0,0,0,0,0,0,0,0,0.097235744704603,0,0.0883820087611577,0,0,0,0,0,0,0,0,0,0,0,-0.00723571571436945,0,0,0
X601398.CH.EQUITY,0,0,0,0.0379916950493909,0,0.103086046762991,0,0,0,0,0.0661815357991376,0,0,0,0,0,0.0867375031822498,0,0,0,0,0,0,0,0,0,-0.00248316487492919,0,0,0
X2318.HK.EQUITY,0,0,0,0.259260527359323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12205311724547,0,0,0,0,0.176025070998584,0,0,0,0,0,0,0,-0.0135405487341359,0,0,0
X939.HK.EQUITY,0.0969109479023945,0,0.0138276707889928,0,0,0,0,0,0,0.0686344022982969,0,0,0.173800706593045,0,0.010731565190734,0,0,0,0,0,0,0.0532277082009903,0,0.0865368302024863,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0559658110850061,0,0,0,0,0,0,0,0,0.0127788201699181,0.00868720714764909,0,0,0.148385787079683,0,0,0,0,0,0,0,0,0,-0.00638438599549614,0,0,0
X601288.CH.EQUITY,0,0,0,0.0806347028239054,0,0,0,0,0,0,0,0,0,0,0,0,0.0598713840541593,0,0,0.0193267587522152,0,0,0,0,0,0,0.000101996339416033,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.16736363913126,0,0,0.00518090927308341,0,0,0,0,0,0.0721228665701922,0,0,0.0699133820887168,0,0,0.002778142767618,0,0,0
X601988.CH.EQUITY,0,0,0,0.0489729511741662,0,0,0,0,0,0,0.108912170408888,0,0,0,0,0,0,0,0,0.025347475583247,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.135182922839818,-2.64697796016969e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.55712282112155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264647154475351,0,0,0
