,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0.18807171892528,0,0,0.0205058403098843,0,0.0301275585455583,0,0.0500194895949936,0,0,0.123751553855299,0,0,0,0,0,0,0,0.0583228102975091,0,0,-0.00425310850470035,0,0,0
X601398.CH.EQUITY,0,0,0,0.028596191135611,0.0795295196096397,0,0,0,0,0,0.146997468358438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.264456449071568,0,0,0,0,0,0,0,0.067862617619014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.214004049980381,0,0,0.172144595314121,0,0,0,0,0.164994599163823,0,0,0,0,0,0,0,-0.00904602083302839,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010677907979142,0,0,0.159821354918932,0,0,0.0391768495399147,0,0,0,0,0,0,-0.0069842012657377,0,0,0
X939.HK.EQUITY,0.112684325106927,0,0,0,0,0,0,0,0,0,0,0,0.213309331287202,0,0,0.00807856189856804,0,0,0,0,0,0,0,0.0887350951345183,0,0,-2.85810016451099e-07,0,0,0
X601288.CH.EQUITY,0,0,0,0.0201265117616096,0,0,0,0,0,0,0,0,0,0,0,0.0475099753334818,0.0468314328773957,0,0,0,0.0597965387211226,0,0,0,0,0,-0.00180838055417253,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.172860062851741,0,0,0,0,0,0,0,0,0,0,0.0874503299837785,0.0748841413883159,0,0,0.00341712604256398,0,0,0
X3988.HK.EQUITY,0.0777002344906909,0,0,0,0,0,0,0,0,0,0,0,0.115284809959478,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03145462816061e-06,0,0,0
X601988.CH.EQUITY,0,0,0,0.0445774680831101,0,0,0,0,0,0,0.0545815888231155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.475218624812749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00847393455826803,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190969404228971,0,0.398062826978045,0,0,-0.00320862391205068,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436981708084707,0,0,0,0.16860630827867,0,0,-0.00107858750518673,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173986881747793,0.462397950575133,0,0,0,0,0,0,-0.00313900906560361,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113160897763337,0,0,-1.32348898008484e-23,0,0,0.0552484309950796,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0.397595304823384,0,0,0,0,0,0,0,0,0,0,0.121731222439933,0,0,0,0,0,0,0,0,0,0.0450658892001465,0,0,0,0,-0.00290774323226784,0,0,0
X601166.CH.EQUITY,0,0,0,0.172831867880972,0,0,0,0,0,0,0.0890285413004783,0,0,0.160780253723093,0,0,0,0.0318066188955643,0,0,0,0,0,0,0,0,0.00129108698901463,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.115453285244268,0,0,0,0,0,0.219394249152949,0,0,0.0178245234665372,0,0,0,0,0,0,0.0092093424553742,0,0,0
X601319.CH.EQUITY,0,0,0,0.362017750509469,0,0,0,0,0,0,0,0,0,0.310288088478286,0,0,0,0,0,0,0,0,0,0,0,0,0.0162600566142876,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255157396110044,0,0,0,0,0.146415308519364,0,0,0,0,0,0,0,-0.0246581115154057,0,0,0
