,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0742618573188518,0,0,0,0.19078226894692,0,0,0,0,0,0,0.030031977441477,0.0439033067528432,0.0879196042147065,0,0,0,0,0,0.0328245030695103,0,0,0,0,0,-0.000115263587258619,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.49599954646826,0,0,0,0,0.076178465077835,0,0.104877762585765,0,0,0,0.0828781418829099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.101446172435334,0,0,0.0548339911567353,0,0,0,0.109056109542003,0,0,0,0.0764003331309636,0,0,0,0,0.00925677986556831,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.146242129429493,0,0,0,0,0,0,0,0,0,0.069895092587284,0,0,0.0833665048919824,0,0,0,0,0
X939.HK.EQUITY,0,0.40400497742874,0,0,0,0,0,0,0,0,0,0.0574535974878422,0,0,0,0,0,0,0,0,0,0,0,0,0.0680309362399135,0,-0.00302349046005694,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0995801275384898,0,0.04657344877823,0,0,0,0,0.0368480985088751,0.0661956297352366,0,0,0,0.0318332604782359,0,-0.00190770183142301,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0880174892293085,0,0,0.0471508417389298,0.0410802036305863,0.0352971530203658,0,0,0.0034291704269235,0,0.0236098285089799,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.249455689976745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0.304678343675958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846277524383547,0,0,0,0,0
