,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.134428871854473,0,8.67361737988404e-19,0,0,0,0,0,0.180287097073063,0,0,0.0114986718116925,0,0,-0.00198697826891488,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.320939261862552,0,0,0,0,0,0,0,0.269402520900012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0166153621409246,0.118436082054077,0,0,0,0,0,0,0.0755368806516213,0,0,0.0790126569564255,0.025744186469482,0,0.00160634297546753,0.000956839609740227,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0254110062140867,0,0,0,0,0,0,0,0.160083456702344,0,0,0,0.149178395732756,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0716194560314442,0,0,0,0,0,0,0,0.138552496899876,0,0.00656541333775177,0.0637266063186929,0,0,0.000585915426819569,0.023815892883248,0,0
X939.HK.EQUITY,0,0.455476793179198,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.163474205285623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0536852844330951,0,0,0,0,0,0,0,0.169182859535784,0,0,0,0,0,-0.00400368838873697,0.0234575428559503,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0537438267764689,0,0,0,0,0,0.0380888061606507,0,0.0942666019238372,0,0,0,0,0,0,0,0.0314593314270669,0,0,0,0,-0.00116925206346809,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0.103319312658632,0,0,0,0,0,0,0,0.166265037815166,0,0,0,0,0,0,0,0,0,0.0333131113303182,0,0,-3.30872245021211e-24,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.056906202277326,0,0,0,0,0,0,0,0.105729596716783,0,0,0,0.0462102402399213,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0634583936857358,0.0268746243692544,0,0,0,0,0,0,0,0.182577944096803,0,0,0,0.116556166965521,0,0.000766117579111569,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.170193274797463,0,0,0.178810547703492,0,0,0,0,0,0.127438642505682,1.73472347597681e-18,0,0,0.142492644946533,0,0,0.0028451270362339,0,0,0
X601628.CH.EQUITY,0,0,0,0.0584385850179395,0,0,0,0,0,0,0,0,0,0.4064280653336,0,0,0,0,0,0,0,0,0,0.179378621753462,0.215791285688834,0,0.0139635571122456,0.0224320082618653,0,0
X2628.HK.EQUITY,0,0.138877976899898,0,0,0,0,0,0,0,0,0,0.143039473096425,0.290931875747643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231659710326675,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.120068177805418,0,0,0,0,0,0,0,0.290515296442441,0,0,0,0,0,-0.00274384969691068,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.411343334591387,0,0,0,0,0,0,0,0.0845245233113837,0,0,0,0,0,0,0.119898542905071,0,0,0,0,0,0.00229766072313317,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0338480974267628,0.0072264801042224,0,0,0,0,0,0,0.140409791500786,0,-4.33680868994202e-19,0,0.0357379627689135,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0389208590990494,0,0,0,0,0,0,0,0,0.165764389624741,0,0,0,0.101197767952543,0,-0.0171620285775533,0.199119458062275,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0301640595439135,0,0,0,0,0,0,0,0.261585554024478,0,0.0323093625466615,0,0,0,0,0.00471171818152274,0,0
X388.HK.EQUITY,0,0,0,0,0,0.0175723882242874,0,0,0,0,0,0.0942145647453525,0,0.177149641118545,0,0,0,0,0,0,0.152569783385299,0,0,0,0,0,0.00188041376754965,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173146799355128,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.195455464079556,0,0,0.0234472014396183,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.114338115686614,0,0.285426385552288,0,0,0,0,0,0,0,0,0,0,0,0,-0.00240009754337326,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0256699084283092,0,0,0,0,0,0,0,0.343538662392766,0,0,0,0.277803194316255,0,-0.000398371246758636,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217199891614381,0,0,0,0.251210741626945,0,0,0.0619500588593243,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.146116477772588,0,0,0,0,0,0,0,0.0446555324886055,0,0.318863666704032,0,0,0,0.00462591103912721,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185347421049201,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04257181506608,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13244632560171e-05,0,0,0,-2.25521210268809e-07,0,0.999915238477619,0.999893622284707
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144284377806133,0.370235711457447,0,0
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60480788732275e-07,0.99995544084361,-0.999920978922832,0
