,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.073051977678773,0,0,0,0,0,0,0,0,0,0,0.203584033599393,0,0,0.00191136583472031,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335837903748569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.475886349049351,0,0,0,0,0,0,0,0,0,0,0,0.0295548622402966,0,0,0,0,0,0,0,0.0186689895666504,0,0,0,0,-0.000723069893159555,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120207467157969,0,0,0.037378649285158,0,0,0,0,0,0,0.166903599062731,0,0,0.00237278201657999,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174772692228518,0,0,0,0,0,0,0,0.128281133531805,0,0.100188088107602,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113125130588577,0,0,0.210947682346399,0,0,0,0,0,0,0,0.0487718219006095,0,0.110480146951454,0,0,-0.012371620858438,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0195037839932231,0,0,0,0,0,0,0,0,0,0.0368488769534653,0.170427932285,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0263624091681718,0.0727588014487219,0,0,0,0,0,0,0,0.00216891030919107,0,0.038472852864888,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339362754585037,0,0,0,0,0,0,0,0,0.0483693792716944,0,0,0,-0.00271505705005389,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238659053503235,0,0,0,0,0,0,0,0.0644292483734835,0,0.195523300017481,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398588019264406,0,0,0,0,0,0,0,0,0.22125838634787,0,0,0,-0.0033442340939756,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216748304996107,0,0,0,0,0,0,0,0,0,0,0,0,-2.61870084179792e-05,0.0774872080473988,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346310823843692,0,0,0,0,0,0,0,0.230845843882161,0,0,0,0,0.00318398573733384,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.298113869164969,0,0.256690201511288,0,0.134534275354715,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0433602983148713,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356925205975408,0,0,0,0,0,0,0,0,0.0822276697873879,0.0686846544890774,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0316208844015607,0,0.043447615958393,0,0,0,0,0,0,0.0303113295532903,0.0276692819930601,0.135935446781635,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175507733081405,0,0,0,0,0,0,0,0,0,0.0797383349172554,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0439244362911024,0.00814855009460887,0,0,0,0,0,0,0,0.00817088406395927,0,0.293886991976134,0,0,-0.00245442616617232,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897542392611636,0,0,0,0,0,0,0,0.0449546871837909,0.187336166917905,0,0,0,-0.00748451807381385,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38877420598295,0,0,0,0,0,0,0,0,0,0,0,0,-0.00519135208015029,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0996983475642417,0,0,0.270017066226399,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103450988817231,0,0,0
