,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0485644814042722,0,0,0,0,0,0,0,0,0,0.00749394768645596,0.120317012612818,0.125014891212288,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.303496739333154,0,0,0,0,0,0,0,0.0332381245784891,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881034246811627,0,0,0.136543753824203,0,0,0,0.0212138347203249,0,0,0.0877980867721619,0.00361596851223894,0,0.00273257725296895,0,0,0
X939.HK.EQUITY,0,0.317760112039115,0,0,0,0,0,0,0,0,0,0,0.0437531776951051,0,0,0,0,0,0,0,0.0647574428645812,0,0.02043802174031,0,0,0,-0.00119764343140716,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0294510577422678,0,0.269907697387747,0,0,0,0,0,0,0,0,0,0.00711361591145,0.0891846116277977,0.147361826305672,0,-0.0158122960329199,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.164714660236793,0,0,0,0,0,0,0,0,0,0,0.0761838448266324,0.149139395125289,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0523579799941296,0,0,0,0,0,0,0,0,0,0.040031905867754,0.0528829368004773,0.00725699838080228,0,-0.00175880781837989,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.286420579456534,0,0,0,0,0,0,0,0.0895062756195771,0,0,0,0,0,-0.000385400335810988,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0384412415746752,0.0530270823203557,0,0,0,0,0,0,0,0,0,0.119484712915854,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.192824999462678,0,0,0,0,0,0,0,0.0440642203546067,0,0,0.144270660621835,0.110999660651427,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.251263823429133,0,0,0.0277722772007959,0,0,0,0,0.273367082273702,0,0,0,0,0,-0.0199185827285442,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.136173903469862,0,0.172213614984376,0,0,0,0,0,0,0,0.0257271356075677,0,0,0,0.0609193851487723,0,-0.00220590913556749,0,0.0393473161047273,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.309292349950483,0,0,0.3110844422468,0,0.117032006561493,0,0,0,0,0.0115792142181132,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.214412541460416,0,0,0,0,0,0,0,0,0,0,0,0.381649214824661,0,0.00384626379322613,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0500160632360727,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0643909530596909,0.0732901672280007,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.47662037228825,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.175744060776157,0,0,0,0,0,0,0,0,0,0,0.0199578560631902,0.0476608112987449,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0885186744586705,0,0,0,0.0551286753913372,0,0,0,0,0,0.0284393004828118,0.221005668880697,0,0,-0.00690004287248335,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284588710170873,0,0.0210656052070724,0,0.0738795948970709,0,-0.00711017022586451,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.250242967847236,0,0,0,0,0,0,0,0,0.121614894259374,0.0815914780119298,0,0,0,-0.00183333498314823,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.450564090717097,0,0,0,0,0,0.0920125001260249,0,0,0,0,0,0,0,-0.0179077086298751,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0143633885382799,0,0.348301224272543,0,0,0,0,0,0,0,0.163986172517303,0,0,0,0,0,-0.00999942470721522,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0.0738247782310235,0,0,0,0,0,0,0.145552848147754,0,0,0,0,0,0.00428394176409114,0.104246999745216,0,0,0,0,0.0899711159431888,0,0.00717225807716587,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.354817827311901,0,0,0.0246891307959672,0,0,0,0,0,0,0,0,0,0,0,0.16669906888795,0,0.00404403445998667,0.0590126800948374,0.00339913582961157,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0766822747666931,0.2319780030749,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125879309286809,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71334697459854,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999976379738329,0.999969498657663
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69037797979266e-06,0.9999406232008,0,-0.999884977800535
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.56665844650313e-07,0.999879839244084,-0.999856144414112,0
