,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.124454190819085,0,0,0,0,0,0,0,0,0,0,0,0.180277256146953,0,0,0,-0.0123052358131807,0,0.00679909782680467,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0973401000044481,0,0,0,0,0,0,0,0.0181668174697359,0,0,0.065743153526706,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788469727443924,0,0,0,0,0,0,0,0,0.210927438232529,0,0,0,-0.0129245409435822,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0135277684805968,0,0,0,0,0,0,0,0,0,0,0,0.0883366941602135,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0671305547185255,0.167243146652023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138010297380021,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.127493349500407,0.0980252908997622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0397558969171932,0,0,0,0,0,0,0,0,0,0,0,0.023823678055843,0,0,0,-0.0114666230478544,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0704492853362749,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.158585697305852,0,0,0,-0.0180107093701147,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.065482475015625,0,0.00977879571252581,0,0,0,0,0,0,0,0,0,0.0302630710621383,0,0,0,-0.00594843000189973,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.101204400413416,0.120815232251815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00714280341844353,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.618827137231105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00621565274573991,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.185055822864872,0,0,0,0,0,0,0,0,0,0,0,0.338054374779343,0,0,0,-0.0416564553504743,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.350748117162099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.209299363483344,0.199505465063982,0,0,0,0,0,0,0,0,0,0,0.120904263553504,0,0,0,-0.00149855752493611,0.0834970444931217,0.0635149134861801,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.257156654450466,0,0,0,0,0,0.109351302919418,0,0,0,0,0,0.0976759036122462,0,0,0,-0.0303496643865328,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0250914639975081,0,0,0,0,0,0,0,0,0,0,0,0.046052300208041,0,0,0,-0.00918482880655179,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.228444952514884,0,0,0,0,0,0,0,0,0,0,0,0.0643090519334246,0,0,0,-0.000307880874117261,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00791842374297114,0.128170360106314,0,0,0,0,0,0,0,0,0,0,0.100323689724734,0.0330551775716134,0,0,-0.0053893296858371,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00757793700316621,0.0287465382782923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329597330625777,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.101321019755966,0,0,0.0526393037653418,0,0,0,0,0,0,0,0,0,0.226067409559781,0,0,0,0.00904463721684176,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0731762439542577,0,0,0.0291391779213162,0,0,0,0,0,0,0,0.0894815517634974,0.0693531967986324,0,0,0,0,0,-0.0273787493219107,0.00281933318875662
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.296071322773644,0.166748808063927,0,0,0,0,0,0,0,0,0,0,0.0736149259357428,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.438211470811267,0,0,0,0,0.0409115275497328,0,0,0,0,0.0947756545013969,0,0,0,0,-0.0138169704804019,0,-0.0149388478583581,0.0451164433097068
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.212384392211427,0.0141196685960962,0.138152859793125,0,0,0,0,0,0,0,0.0874866577625573,0,0,0,0,0,0,-0.00980333451523657,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.180295226524746,0.0520154421242322,0,0,0,0,0,0,0.0492151699244718,0,0,0,0,0,0,-0.00169858380610322,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16827387027767,0,0,0
