,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0826877330602546,0,0,0,0,0,0,0,0,0,0,0,0,0.271832754391316,0,0,-0.00487567504348648,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939235502934995,0,0,0,0,0,0.0176621331215361,0,0,0,0.0700540841173884,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0145880771743313,0,0,0,0,0,0,0,0,0,0,0,0,0.0916410565764953,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0591370584897484,0,0,0,0,0,0,0,0,0,0,0,0.189671835624924,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.127493349500407,0,0,0.0980252908997622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0671303860073108,0,0,0.167242709624773,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138010111884442,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0504298179364894,0,0,0,0,0,0,0,0,0,0,0,0,0.0439372164246133,0,0,-0.00763472962975284,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.134831801369967,0,0,0.0375018580939667,0,0,0,0,0,0,0,0,0,0.143011845493026,0,0,-0.00838100198066736,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186887592931568,0.0593744554672605,0,0.058035307136554,0,0,0,0,0,0,0,0,0,0,0.0132539480454029,0,0,-0.00290435021201392,0,-0.00164787205379994,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.153235685214561,0.00726199189489854,0,0.0424619760327012,0,0,0,0,0,0,0,0,0,0.0409825060142179,0,0,-0.00534150816300977,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543155032836108,0,0,0,0,0,0,0,0,0,0.0705269763217672,0,0,-0.010936158504829,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.256739539500325,0,0,0.12015512172237,0,0,0,0,0,0,0,0,0,0.0967825572740428,0,0,-0.00260223280684534,0.113994306144415,0.0391134522277123,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373250229059127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.319570448861812,0,0,0,0,0,0,0,0,0,0,0,0,0.256769578831958,0,0,-0.0250666258828088,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.319917830191543,0,0,0,0,0,0,0,0,0,0,0,0,0.0713009625747977,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604159507334743,0,0,-0.00894367957420722,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.304103966288176,0,0,0,0.0167058037831686,0,0,0,0,0,0,0,0,0.202730971054538,0,0,-0.00804432079384838,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117216419706807,0,0,0,0,0,0.0291540024657703,0,0,0,0.117613283728318,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124434138289048,0,0,0,0,0,0,0,0,0,0.0710624695762674,0,0,-0.0311942824048033,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0517344349192254,8.67361737988404e-19,0,0.0566512884130706,0,0,0,0,0,0,0,0,0,0,0.236883281995198,0,0,0.0116005286127123,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0241631777008152,0,0,0,0,0,0,0,0,0,0,0,0.350956737875506,0.0218504648458539,0,0,0,0,-0.0105154285653767,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.273928169244305,0,0,0.18739619524051,0,0,0,0,0,0,0,0,0.0708294522903513,0.0097733758018243,0,0,-0.00941353596275865,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12022853279266,0,0,0,0,0,0,0.00438956958398188,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363449273822809,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199994921175246,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0359796700893177,0.175145511418896,0,0,0,0,0,0.0276494163113447,0,0,0.00217789943396257,0,0,0,-0.00922475036994846,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166379777812788,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.153474069126,0,0,0,-0.136966060036917
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999977786098785,0.999971044983128
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999980313052708,0,-0.999984687763263
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.72551883828846e-07,0.999964993594937,-0.999976214165624,0
