,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0711347545312003,0.061756046517325,0,0,0,0,0.0208528791792313,0,0,0.00645838898951255,0.0111500268197515,0,0.0320918430834824,0,0,0.0161146135181109,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.235065742244946,0.0208673402449317,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103522087045683,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0179908565725779,0,0.0517049572765022,0.0144894840726506,0,0,0,0,0.126464965675838,0,0.0710433746619024,0,0,0.0314515403997512,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0680403813418622,0.118067839197818,0.129838312867352,0,0,0,0,0,0,0,0,0,0,0,-0.0144610242466046,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.246048334281648,0.0503687490176787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0654265419068376,0,0.152413189723664,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122712913709923,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0356125593214844,0.0148720010813179,0,0,0,0,0,0,0,0,0.0301506276258787,0,0,0,0,-0.00813221630174158,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0229697298364187,0,0.0965165242535228,0,0,0,0,0,0,0,0,0,0.0171426417826109,0,0.0218757458778116,0,0,0,0,0,0.0186294892149541
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.14698502845908,0,0.126916336910795,0.00857389877624944,0,0,0,0,0,0,0,0,0,0,0,0,-0.015352632316519,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0293979865309876,0.218438423435685,0.0652994688579709,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00631426678592343,0,-1.35525271560688e-20,0
