,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0.249445420811322,0,0,0,0.0188354566459271,0,0.0165021118554992,0,0,0,0,0,0,0,0,0,0,0,0,-0.00464643113293127,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0795750232463926,0,0,0,0.00161282017759392,0,0,0,0,0.0170246584955327,0.0802235219285358,0,0,0,0,0,0,0.0529930439363215,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.205837542786079,0.0249773971679393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198893989390164,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0651939177278631,0.136568675312821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232206613766261,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0.219192357919698,0,0,0,0.0339841832554356,0,0.0156790190918485,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192184808369042,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.00537503477399426,0,0,0,0.20562803175198,0,0,0,0,0.00741901076005783,0.13406890033926,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.0266089337863157,0,0,0,0.0483693614172229,0,0,0,0,0.00166513132353318,0.0770777978541288,0,0,0,0,0,0,0,0,-0.00410383063932629,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.129590944490521,0,0,0,0.0498445971371436,0.353964839793919,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.264062871229227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181079460950264,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.175814000443979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0268717038838378,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0317904745582147,0,0,0,0,0.0189457083164959,0,0,0,0,0,0,0.104161967972017,0.0313148222291597,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0500969005831926,0.0701410398662778,0,0,0,0.0877916189423956,0,0,0,0,0.0158602215231093,0,0,0,0,0,0.0752721102791361,0.204729867910246,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.203218666328006,0,0,0,0.0194537793833533,0,0.136053711534627,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323391404129497,0,0.0350633130541855,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.3057694855842,0,0,0,0,0.229498334017754,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00352726169262156,0.0133856134868151,0.0615947622840555,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.145709827982267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00740225596483366,0.122602055635694,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.0143541839687737,0,0,0,0,0,0,0,0.349307911175897,0,0,0,0,0,0.020189822908421,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969174723646639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760533448648966
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0757397622984974,0.0190455522926169,0,0,0,0,0,0,0,0,0,0,0,0,0.0165194055493883,0.0476550308350323,0,0.106505301846687,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.176952446205417,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043168810368425,0.0315737359350978,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315147006477484,0.036832095897673,0,0,0,0.0476188409468253,0,0,0,0,-0.00619365330237004,0,0,0
