,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.116658227028785,0,0,0,0,0.0378420328600224,0.195804394915294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00520677452851105,0.0155933333324182,2.16840434497101e-19,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0283605892061207,0,0,0,0,0,0,0,0,0.0183378982705835,0,0,0,0.143211167236935,0.04569790406792,0,0.0141327752843808,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.170106301551928,0.0385337647183304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0383483723230807,0.15383705689242,0,0,0,0,0,0,0,0,0,0,0,0,0.142330683859465,0,0,0,0,0
X939.HK.EQUITY,0.115201709447852,0,0,0,0,0,0,0,0,0.110424602875918,0.0955792538488074,0,0.0529811387498871,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.222396065735634,0.0405292740337354,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0328192510079117,0,0.0209486900789014,0.00324442356155752,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00275773948703643,0,0,0,0,0,0,0,0,0.00894956558023019,0,0,0,0.167705470066236,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0932742940473952,0,0,0.0212205942694133,0,0,0,0,0,0,0,0,0,0,0,0,-0.00170210407917649,0.0066530740777192,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0310727395205009,0,0.0165832137905751,0,0,0,0,0,0,0,0.0189308824247506,0,0,0.0397084380603842,0.0123988961185087,0.0483217777468657,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0574720728683932,0,0,0,0,0,0,0,0,0,0,0,0,0.320584182644148,0.179384077760438,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.264806583089305,0,0,0,0,0,0,0,0.0425552724229887,0,0,0,0,0,0,0,0,0.0575636001769484,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.258656512129611,0,0,0,0,0.327103698608271,0,0,0,0,0,0,0,0,0.0343907080360083,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.171593047268488,0,0,0.189533202903859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.20954212448001,0,0.341037174376593,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142757472455435,0,0.0361119421539964,0
X388.HK.EQUITY,0,-0.151726040277011,0,0,0,0,0,0,0,0,0.213864779663634,0,0.045310743668971,0,0,0,0,0,0,0.0701114249875215,0,0,-0.070327485496769,0,0,0,0,0.0998161260010764,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.172213953299341,0,0,0,0,0,0,0,0.293493014881706,0,0,0.0963638576056022,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0.15470315649951,0,0,0.0852541698315514,0,0.0457722803260799,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176080104994969,0.0578308350479435,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00415732587458903,0.0342105249745244,0,0,0,0,0,0,0,0,0,0,0.00891739924427166,0.0627312031659759,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0182208660717524,4.33680868994202e-19,0,0,0,0,0,0,0,0.00838255846860152,0,0,0,0.0697730216552843,0.137101182939317,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801805996880873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.078115076766108,0.0436680279949516,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.0173626657168844,0.0261754170313361,0,0,-0.0169702167412399,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0933571574709106,0.0712797182779135,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.189111374901914,0,0,0,0,0.0513114476405689
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0365662441707206,0,0,0,0.315804807468375,0,0,0,0.0438568306329368,0,0,0,0,0.0500798638680981,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0203271962951148,0.126511004341064,0,0,0,0,0,0,0,0,0.0348675125171958,0,0,0,0,0.127220617257594,0,-0.00664170510190862,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.112257874635963,0.184376095479469,0,0,0,0,0,0,0,0.0281592122439851,0,0,0.137415615621179,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0385182444581257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147259122897929,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0779889635062536,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88464937092382,0,0,0,0
